country	platform	sitesize	lb	c	ub	month	year			month	4														
Argentina	Desktop	1.00E+07	0.620141512	0.666666667	0.720738991	5	17																		
Argentina	Desktop	1000000	0.813935734	0.875	0.93	5	17				Column Labels														
Argentina	Desktop	100000	0.693099337	0.745098039	0.805531814	5	17				10000			100000			1000000			10000000			Total Sum of lb	Total Sum of c	Total Sum of ub
Argentina	Desktop	10000	0.493638144	0.530672579	0.573714629	5	17			Row Labels	Sum of lb	Sum of c	Sum of ub	Sum of lb	Sum of c	Sum of ub	Sum of lb	Sum of c	Sum of ub	Sum of lb	Sum of c	Sum of ub			
Qatar	Desktop	100000	0.868198117	0.933333333	0.93	5	17			Desktop	28.58885651	30.73369112	33.22388072	35.08213734	37.73738	40.52125215	39.76637148	42.31390997	44.52657454	24.63023172	25.80793904	26.99127083	128.067597	136.5929201	145.2629782
Qatar	Desktop	10000	0.634343226	0.681933842	0.737244464	5	17			Argentina	0.491655533	0.528541226	0.571410405	0.696597315	0.748858447	0.809597223	0.87	0.9	0.93	0.87	0.9	0.93	2.928252847	3.077399674	3.241007628
Australia	Desktop	1000000	0.568463053	0.611111111	0.660677409	5	17			Australia	0.470207441	0.505484025	0.546483069	0.53643095	0.576675849	0.623449155	0.496113209	0.533333333	0.576591193				1.5027516	1.615493208	1.746523417
Australia	Desktop	100000	0.506864889	0.544891641	0.589086977	5	17			Austria	0.397906499	0.427758817	0.462453687	0.413427675	0.444444444	0.480492661	0.413427675	0.444444444	0.480492661				1.224761848	1.316647706	1.423439009
Australia	Desktop	10000	0.497617343	0.534950312	0.578339322	5	17			Belgium	0.458059071	0.492424242	0.532364028	0.5545981	0.596205962	0.644563326	0.826855349	0.888888889	0.93				1.83951252	1.977519093	2.106927353
Austria	Desktop	1000000	0.413427675	0.444444444	0.480492661	5	17			Brazil	0.543233741	0.58398901	0.631355475	0.644124885	0.692449355	0.748612875	0.807432572	0.868008949	0.93	0.87	0.9	0.93	2.864791199	3.044447314	3.239968349
Austria	Desktop	100000	0.428461408	0.460606061	0.497965121	5	17			Bulgaria	0.413427675	0.444444444	0.480492661	0.569071034	0.611764706	0.661384016	0.852694579	0.916666667	0.93	0.87	0.9	0.93	2.705193288	2.872875817	3.001876676
Austria	Desktop	10000	0.407485182	0.438056126	0.473586196	5	17			Canada	0.539756367	0.580250751	0.627314012	0.576875825	0.620155039	0.670454876	0.712503014	0.765957447	0.828083096				1.829135206	1.966363237	2.125851984
US	Desktop	1.00E+07	0.582173664	0.62585034	0.676612114	5	17			Chile	0.556490624	0.598240469	0.646762848	0.761577295	0.81871345	0.885118059	0.87	0.9	0.93	0.87	0.9	0.93	3.058067919	3.21695392	3.391880908
US	Desktop	1000000	0.565299065	0.607709751	0.657000169	5	17			Colombia	0.617263825	0.663573086	0.717394495	0.75053024	0.806837607	0.872278984	0.87	0.9	0.93	0.87	0.9	0.93	3.107794065	3.270410693	3.449673479
US	Desktop	100000	0.520403619	0.559446093	0.604821919	5	17			Croatia	0.522224431	0.561403509	0.606938098	0.663407199	0.713178295	0.771023107	0.87	0.9	0.93	0.87	0.9	0.93	2.92563163	3.074581803	3.237961205
