accuracyreport.country	accuracyreport.platform	accuracyreport.sitesize	accuracyreport.lb	accuracyreport.c	accuracyreport.ub	accuracyreport.month	accuracyreport.year
Singapore	Desktop	1000000.0	0.5512368994373851	0.592592592592	0.6406568811418731	6	17
Singapore	Desktop	100000.0	0.5031336794392061	0.5408805031439999	0.5847505023628609	6	17
Singapore	Desktop	10000.0	0.5241672302690501	0.563492063492	0.6091960521577681	6	17
Slovakia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Slovakia	Desktop	1000000.0	0.41342767457803886	0.44444444444400005	0.4804926608564049	6	17
Slovakia	Desktop	100000.0	0.5401232522721691	0.5806451612906667	0.6277404117650125	6	17
Slovakia	Desktop	10000.0	0.4102474616967933	0.4410256410253333	0.4767965634653459	6	17
Portugal	Desktop	1000000.0	0.7892710151047689	0.8484848484853332	0.9173041707273052	6	17
Portugal	Desktop	100000.0	0.7036221000040938	0.7564102564106667	0.8177615478049504	6	17
Portugal	Desktop	10000.0	0.45070394031903754	0.48451730418933336	0.5238157696225598	6	17
Peru	Desktop	1000000.0	0.87	0.9	0.93	6	17
Peru	Desktop	100000.0	0.8320886108599739	0.8945147679319999	0.93	6	17
Peru	Desktop	10000.0	0.7091915866642856	0.7623975851666667	0.82423449973709	6	17
Ukraine	Desktop	1.0E7	0.87	0.9523809523813332	0.93	6	17
Ukraine	Desktop	1000000.0	0.7069613235291533	0.7599999999999999	0.8216424500652739	6	17
Ukraine	Desktop	100000.0	0.6613358313271764	0.710951526032	0.7686157285876024	6	17
Ukraine	Desktop	10000.0	0.6043010691320035	0.6496378192906667	0.7023289598645329	6	17
Denmark	Desktop	1000000.0	0.5315498673146214	0.571428571428	0.6177762782439491	6	17
Denmark	Desktop	100000.0	0.2849298838314307	0.30630630630666666	0.33115034734770243	6	17
Denmark	Desktop	10000.0	0.32042461245841297	0.34446397188	0.37240292344039316	6	17
Italy	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Italy	Desktop	1000000.0	0.6678447050888414	0.7179487179493332	0.7761804521540954	6	17
Italy	Desktop	100000.0	0.5934518771794198	0.637974683544	0.6897198448246185	6	17
Italy	Desktop	10000.0	0.497624981590107	0.5349585237853333	0.578348200218794	6	17
Czech Republic	Desktop	1000000.0	0.8486147004507684	0.9122807017546667	0.93	6	17
Czech Republic	Desktop	100000.0	0.6244183498804734	0.6712643678160001	0.7257096050182309	6	17
Czech Republic	Desktop	10000.0	0.5344640661496398	0.5745614035093333	0.6211632095951988	6	17
Kuwait	Desktop	100000.0	0.87	0.9	0.93	6	17
Kuwait	Desktop	10000.0	0.6251833127766676	0.6720867208666667	0.7265986578805578	6	17
Poland	Desktop	1.0E7	0.6890461242979717	0.7407407407413333	0.8008211014287829	6	17
Poland	Desktop	1000000.0	0.6996468339025368	0.7521367521373333	0.8131414260661266	6	17
Poland	Desktop	100000.0	0.6095794909844835	0.6553122465533333	0.7084636313366575	6	17
Poland	Desktop	10000.0	0.41816881763585184	0.44954128440400004	0.4860028977936746	6	17
UAE	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
UAE	Desktop	100000.0	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
UAE	Desktop	10000.0	0.5217063512538597	0.5608465608466667	0.6063359767957078	6	17
Israel	Desktop	1000000.0	0.87	0.9523809523813332	0.93	6	17
Israel	Desktop	100000.0	0.624668092245659	0.6715328467146667	0.7259998598341405	6	17
Israel	Desktop	10000.0	0.4674147935956266	0.5024818633066667	0.5432374069482285	6	17
Norway	Desktop	1000000.0	0.4510120086305878	0.48484848484799997	0.5241738118433508	6	17
Norway	Desktop	100000.0	0.4326568687444881	0.46511627906933334	0.5028411567102247	6	17
Norway	Desktop	10000.0	0.3440511127485405	0.3698630136986667	0.39986204311039275	6	17
Qatar	Desktop	100000.0	0.8586574779710133	0.9230769230773334	0.93	6	17
Qatar	Desktop	10000.0	0.5293890954971919	0.5691056910573333	0.6152649925611029	6	17
Australia	Desktop	1000000.0	0.8025360741811908	0.8627450980386667	0.93	6	17
Australia	Desktop	100000.0	0.5816711947543574	0.6253101736973333	0.6760281357466039	6	17
Australia	Desktop	10000.0	0.5168293171173922	0.5556036347906667	0.6006678049402303	6	17
Argentina	Desktop	1.0E7	0.87	0.9	0.93	6	17
Argentina	Desktop	1000000.0	0.87	0.9	0.93	6	17
Argentina	Desktop	100000.0	0.7028270467837824	0.7555555555560001	0.8168375234571856	6	17
Argentina	Desktop	10000.0	0.4854249536342269	0.52184320766	0.5641691206469526	6	17
India	Desktop	1.0E7	0.723498430511878	0.7777777777773333	0.8408621564990688	6	17
India	Desktop	1000000.0	0.7204585211401722	0.7745098039213333	0.8373291222282885	6	17
India	Desktop	100000.0	0.6359211941029607	0.68363019508	0.7390784058212267	6	17
India	Desktop	10000.0	0.5882551455673898	0.6323880752053334	0.6836801151365431	6	17
Switzerland	Desktop	1000000.0	0.7087331564207355	0.7619047619053334	0.823701704326707	6	17
Switzerland	Desktop	100000.0	0.5732400529874507	0.6162464986	0.666229319676119	6	17
Switzerland	Desktop	10000.0	0.43041173039893893	0.46270270270266667	0.5002318188163725	6	17
Taiwan	Desktop	1.0E7	0.87	0.9	0.93	6	17
Taiwan	Desktop	1000000.0	0.6922509899921733	0.744186046512	0.8045458507375126	6	17
Taiwan	Desktop	100000.0	0.6266238273224474	0.6736353077813333	0.7282728483367494	6	17
Taiwan	Desktop	10000.0	0.5532070098719276	0.5947105075053333	0.6429465769292692	6	17
Morocco	Desktop	1000000.0	0.87	0.9	0.93	6	17
Morocco	Desktop	100000.0	0.7279922095836346	0.7826086956520001	0.8460849028130232	6	17
Morocco	Desktop	10000.0	0.5203711109041801	0.5594111461613334	0.6047841377971329	6	17
Viet Nam	Desktop	1.0E7	0.87	0.9	0.93	6	17
Viet Nam	Desktop	1000000.0	0.7328945140253253	0.7878787878786667	0.8517824442461657	6	17
Viet Nam	Desktop	100000.0	0.5220494228589517	0.5612153708666666	0.6067347004383938	6	17
Viet Nam	Desktop	10000.0	0.40243675480465774	0.4326289479666667	0.467718827337492	6	17
Philippines	Desktop	1000000.0	0.5875024849268826	0.631578947368	0.6828053601645924	6	17
Philippines	Desktop	100000.0	0.6709727833317745	0.7213114754093333	0.7798159577835818	6	17
Philippines	Desktop	10000.0	0.7061299125034503	0.759106213652	0.8206761700589508	6	17
Hungary	Desktop	1.0E7	0.87	0.9	0.93	6	17
Hungary	Desktop	1000000.0	0.87	0.9	0.93	6	17
Hungary	Desktop	100000.0	0.8241880738367234	0.886021505376	0.93	6	17
Hungary	Desktop	10000.0	0.6019555437780154	0.647116324536	0.6996029504855185	6	17
Hong Kong	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
Hong Kong	Desktop	100000.0	0.6967882155816751	0.7490636704120001	0.8098190913318455	6	17
Hong Kong	Desktop	10000.0	0.5542857760938014	0.5958702064893333	0.6442003373431533	6	17
Turkey	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Turkey	Desktop	1000000.0	0.6102979958056763	0.656084656084	0.7092986898356453	6	17
Turkey	Desktop	100000.0	0.4429582227628046	0.4761904761906666	0.5148135652040117	6	17
Turkey	Desktop	10000.0	0.2926836107410209	0.31464174454800004	0.3401618603726721	6	17
Colombia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Colombia	Desktop	1000000.0	0.87	0.9	0.93	6	17
Colombia	Desktop	100000.0	0.728239573569691	0.7828746177373334	0.8463723934363386	6	17
Colombia	Desktop	10000.0	0.6018463909688433	0.6469989827066667	0.6994760912379545	6	17
Ireland	Desktop	1000000.0	0.87	0.9	0.93	6	17
Ireland	Desktop	100000.0	0.5705301909182642	0.6133333333333334	0.6630798719825018	6	17
Ireland	Desktop	10000.0	0.4860863168590353	0.5225541886346666	0.564937768212709	6	17
South Africa	Desktop	1000000.0	0.7087331564207355	0.7619047619053334	0.823701704326707	6	17
South Africa	Desktop	100000.0	0.4829420623388712	0.5191740412973334	0.561283462239251	6	17
South Africa	Desktop	10000.0	0.445538561924508	0.4789644012946667	0.5178124791760487	6	17
Egypt	Desktop	1.0E7	0.87	0.9	0.93	6	17
Egypt	Desktop	1000000.0	0.775176889834598	0.8333333333333334	0.90092373910666	6	17
