countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
Canada	124	0	biotherm.ca	1	2016	mobile	20123	0
Canada	124	0	biotherm.ca	1	2017	mobile	25574	0
Canada	124	0	biotherm.ca	2	2016	mobile	21984	0
Canada	124	0	biotherm.ca	2	2017	mobile	25531	0
Canada	124	0	biotherm.ca	3	2016	mobile	24576	0
Canada	124	0	biotherm.ca	3	2017	mobile	31080	0
Canada	124	0	biotherm.ca	4	2016	mobile	25842	0
Canada	124	0	biotherm.ca	4	2017	mobile	34415	0
Canada	124	0	biotherm.ca	5	2015	mobile	23222	0
Canada	124	0	biotherm.ca	5	2016	mobile	25518	0
Canada	124	0	biotherm.ca	5	2017	mobile	37310	0
Canada	124	0	biotherm.ca	6	2015	mobile	21864	0
Canada	124	0	biotherm.ca	6	2016	mobile	31953	0
Canada	124	0	biotherm.ca	7	2015	mobile	23159	0
Canada	124	0	biotherm.ca	7	2016	mobile	39702	0
Canada	124	0	biotherm.ca	8	2015	mobile	20276	0
Canada	124	0	biotherm.ca	8	2016	mobile	20488	0
Canada	124	0	biotherm.ca	9	2015	mobile	19167	0
Canada	124	0	biotherm.ca	9	2016	mobile	22930	0
Canada	124	0	biotherm.ca	10	2015	mobile	20312	0
Canada	124	0	biotherm.ca	10	2016	mobile	33655	0
Canada	124	0	biotherm.ca	11	2015	mobile	38356	0
Canada	124	0	biotherm.ca	11	2016	mobile	44144	0
Canada	124	0	biotherm.ca	12	2015	mobile	25490	0
Canada	124	0	biotherm.ca	12	2016	mobile	29014	0
Canada	124	0	clarisonic.ca	1	2016	mobile	28949	0
Canada	124	0	clarisonic.ca	1	2017	mobile	25785	0
Canada	124	0	clarisonic.ca	2	2016	mobile	21380	0
Canada	124	0	clarisonic.ca	2	2017	mobile	21524	0
Canada	124	0	clarisonic.ca	3	2016	mobile	28845	0
Canada	124	0	clarisonic.ca	3	2017	mobile	27665	0
Canada	124	0	clarisonic.ca	4	2016	mobile	34609	0
Canada	124	0	clarisonic.ca	4	2017	mobile	23823	0
Canada	124	0	clarisonic.ca	5	2015	mobile	17404	0
Canada	124	0	clarisonic.ca	5	2016	mobile	21547	0
Canada	124	0	clarisonic.ca	5	2017	mobile	36844	0
Canada	124	0	clarisonic.ca	6	2015	mobile	23064	0
Canada	124	0	clarisonic.ca	6	2016	mobile	21041	0
Canada	124	0	clarisonic.ca	7	2015	mobile	26483	0
Canada	124	0	clarisonic.ca	7	2016	mobile	19721	0
Canada	124	0	clarisonic.ca	8	2015	mobile	25703	0
Canada	124	0	clarisonic.ca	8	2016	mobile	17209	0
Canada	124	0	clarisonic.ca	9	2015	mobile	23408	0
Canada	124	0	clarisonic.ca	9	2016	mobile	19309	0
Canada	124	0	clarisonic.ca	10	2015	mobile	22577	0
Canada	124	0	clarisonic.ca	10	2016	mobile	21025	0
Canada	124	0	clarisonic.ca	11	2015	mobile	52808	0
Canada	124	0	clarisonic.ca	11	2016	mobile	53789	0
Canada	124	0	clarisonic.ca	12	2015	mobile	72691	0
Canada	124	0	clarisonic.ca	12	2016	mobile	47244	0
Canada	124	0	decleor.ca	1	2016	mobile	304	0
Canada	124	0	decleor.ca	2	2016	mobile	295	0
Canada	124	0	decleor.ca	2	2017	mobile	1	0
Canada	124	0	decleor.ca	3	2016	mobile	359	0
Canada	124	0	decleor.ca	4	2016	mobile	249	0
Canada	124	0	decleor.ca	5	2015	mobile	290	0
Canada	124	0	decleor.ca	5	2016	mobile	307	0
Canada	124	0	decleor.ca	6	2015	mobile	261	0
Canada	124	0	decleor.ca	6	2016	mobile	228	0
Canada	124	0	decleor.ca	7	2015	mobile	228	0
Canada	124	0	decleor.ca	7	2016	mobile	199	0
Canada	124	0	decleor.ca	8	2015	mobile	297	0
Canada	124	0	decleor.ca	8	2016	mobile	194	0
Canada	124	0	decleor.ca	9	2015	mobile	280	0
Canada	124	0	decleor.ca	9	2016	mobile	109	0
Canada	124	0	decleor.ca	10	2015	mobile	364	0
Canada	124	0	decleor.ca	11	2015	mobile	307	0
Canada	124	0	decleor.ca	11	2016	mobile	26	0
Canada	124	0	decleor.ca	12	2015	mobile	378	0
Canada	124	0	decleor.ca	12	2016	mobile	25	0
Canada	124	0	en.laroche-posay.ca	1	2017	mobile	25205	0
Canada	124	0	en.laroche-posay.ca	2	2017	mobile	27332	0
Canada	124	0	en.laroche-posay.ca	3	2017	mobile	30637	0
Canada	124	0	en.laroche-posay.ca	4	2017	mobile	32451	0
Canada	124	0	en.laroche-posay.ca	5	2015	mobile	25681	0
Canada	124	0	en.laroche-posay.ca	5	2017	mobile	40079	0
Canada	124	0	en.laroche-posay.ca	6	2015	mobile	21811	0
Canada	124	0	en.laroche-posay.ca	7	2015	mobile	26382	0
Canada	124	0	en.laroche-posay.ca	8	2015	mobile	26161	0
Canada	124	0	en.laroche-posay.ca	9	2015	mobile	20733	0
Canada	124	0	en.laroche-posay.ca	10	2015	mobile	26718	0
Canada	124	0	en.laroche-posay.ca	11	2015	mobile	29761	0
Canada	124	0	en.laroche-posay.ca	12	2015	mobile	32717	0
Canada	124	0	essie.ca	1	2016	mobile	8457	0
Canada	124	0	essie.ca	1	2017	mobile	18854	0
Canada	124	0	essie.ca	2	2016	mobile	7764	0
Canada	124	0	essie.ca	2	2017	mobile	33665	0
Canada	124	0	essie.ca	3	2016	mobile	9053	0
Canada	124	0	essie.ca	3	2017	mobile	31159	0
Canada	124	0	essie.ca	4	2016	mobile	7282	0
Canada	124	0	essie.ca	4	2017	mobile	21466	0
Canada	124	0	essie.ca	5	2015	mobile	7650	0
Canada	124	0	essie.ca	5	2016	mobile	11547	0
Canada	124	0	essie.ca	5	2017	mobile	31489	0
Canada	124	0	essie.ca	6	2015	mobile	11157	0
Canada	124	0	essie.ca	6	2016	mobile	21757	0
Canada	124	0	essie.ca	7	2015	mobile	11762	0
Canada	124	0	essie.ca	7	2016	mobile	17678	0
Canada	124	0	essie.ca	8	2015	mobile	9608	0
Canada	124	0	essie.ca	8	2016	mobile	18762	0
Canada	124	0	essie.ca	9	2015	mobile	8769	0
Canada	124	0	essie.ca	9	2016	mobile	15250	0
Canada	124	0	essie.ca	10	2015	mobile	9320	0
Canada	124	0	essie.ca	10	2016	mobile	28570	0
Canada	124	0	essie.ca	11	2015	mobile	7868	0
Canada	124	0	essie.ca	11	2016	mobile	17426	0
Canada	124	0	essie.ca	12	2015	mobile	9521	0
Canada	124	0	essie.ca	12	2016	mobile	30550	0
Canada	124	0	garnier.ca	1	2016	mobile	35289	0
Canada	124	0	garnier.ca	1	2017	mobile	22528	0
Canada	124	0	garnier.ca	2	2016	mobile	43734	0
Canada	124	0	garnier.ca	2	2017	mobile	24092	0
Canada	124	0	garnier.ca	3	2016	mobile	36537	0
Canada	124	0	garnier.ca	3	2017	mobile	25786	0
Canada	124	0	garnier.ca	4	2016	mobile	34554	0
Canada	124	0	garnier.ca	4	2017	mobile	32911	0
Canada	124	0	garnier.ca	5	2015	mobile	28990	0
Canada	124	0	garnier.ca	5	2016	mobile	36736	0
Canada	124	0	garnier.ca	5	2017	mobile	80264	0
Canada	124	0	garnier.ca	6	2015	mobile	29437	0
Canada	124	0	garnier.ca	6	2016	mobile	32433	0
Canada	124	0	garnier.ca	7	2015	mobile	34122	0
Canada	124	0	garnier.ca	7	2016	mobile	29766	0
