date,sw.desktop,sw.mobile,sw,ga.desktop,ga.mobile,ga,country,site
1/1/2017,24002.66,295284.36,319287.02,48463.13,528478.87,576942.00,ww,Idealfit.com
 08/01/2017,30086.83,197055.23,227142.06,50224.58,426289.42,476514.00,ww,Idealfit.com
 15/01/2017,29764.65,260506.00,290270.65,45944.46,386677.54,432622.00,ww,Idealfit.com
 22/01/2017,29788.95,279826.19,309615.14,49860.31,448244.69,498105.00,ww,Idealfit.com
 29/01/2017,37849.25,251678.95,289528.20,56491.79,493039.21,549531.00,ww,Idealfit.com
 05/02/2017,32489.97,371593.80,404083.77,57268.84,432627.16,489896.00,ww,Idealfit.com
 12/02/2017,26006.55,286095.97,312102.52,40458.89,278366.11,318825.00,ww,Idealfit.com
 19/02/2017,26521.51,257063.77,283585.28,57593.45,330502.55,388096.00,ww,Idealfit.com
 26/02/2017,30523.79,274513.72,305037.51,59572.27,358478.73,418051.00,ww,Idealfit.com
 05/03/2017,30484.71,254127.93,284612.64,58099.92,344254.08,402354.00,ww,Idealfit.com
 12/03/2017,28800.58,327022.68,355823.26,53508.95,338211.05,391720.00,ww,Idealfit.com
 19/03/2017,30910.52,331366.12,362276.64,64899.38,354889.62,419789.00,ww,Idealfit.com
 26/03/2017,32697.85,268941.60,301639.45,59243.19,333355.81,392599.00,ww,Idealfit.com
 02/04/2017,30490.64,175841.41,206332.05,56636.36,302048.64,358685.00,ww,Idealfit.com
 09/04/2017,29387.29,130795.88,160183.17,51809.87,293359.13,345169.00,ww,Idealfit.com
 16/04/2017,35956.28,260599.02,296555.30,53590.87,320125.13,373716.00,ww,Idealfit.com
 23/04/2017,35812.02,352365.09,388177.11,58551.91,348624.09,407176.00,ww,Idealfit.com
 30/04/2017,30471.08,169646.55,200117.63,53972.20,333202.81,387175.00,ww,Idealfit.com
 07/05/2017,29980.18,177949.16,207929.34,49603.82,304709.18,354313.00,ww,Idealfit.com
 14/05/2017,31590.30,214245.30,245835.60,51509.41,304218.59,355728.00,ww,Idealfit.com
