site	country	weekbegins	weekends	direct	displayads	mail	organic_search	paid_search	referrals	social
figleaves.com*	999	24.07.2017	30.07.2017	0.314100906	0.025873221	0.054333765	0.322897801	0.075032342	0.175161708	0.032600259
javari.co.uk*	999	24.07.2017	30.07.2017	0	0	0	1	0	0	0
boots.com*	999	24.07.2017	30.07.2017	0.189990214	0.007352809	0.016496687	0.587847665	0.069223242	0.108570646	0.020518737
lecreuset.co.uk*	999	24.07.2017	30.07.2017	0.212765957	0.026595745	0	0.531914894	0.026595745	0.20212766	0
sainsbury.co.uk*	999	24.07.2017	30.07.2017	1	0	0	0	0	0	0
simbasleep.com*	999	24.07.2017	30.07.2017	0.173831776	0.037383178	0	0.409345794	0.093457944	0.127102804	0.158878505
uk.lizearle.com#	999	24.07.2017	30.07.2017	0.110837438	0.036945813	0.147783251	0.278325123	0.160098522	0.229064039	0.036945813
whistles.com*	999	24.07.2017	30.07.2017	0.243014395	0.042337003	0.063505504	0.426756986	0.055038103	0.139712108	0.029635902
fitness-superstore.co.uk*	999	24.07.2017	30.07.2017	0.106210621	0.02520252	0.0270027	0.562556256	0.184518452	0.090009001	0.00450045
mulberry.com*	999	24.07.2017	30.07.2017	0.180826636	0.048220436	0.015068886	0.412887486	0.157146958	0.105482204	0.080367394
sanderson-uk.com*	999	24.07.2017	30.07.2017	0.183391003	0	0.051903114	0.477508651	0	0.252595156	0.034602076
elc.co.uk*	999	24.07.2017	30.07.2017	0.172752809	0.042134831	0.126404494	0.448033708	0.098314607	0.084269663	0.028089888
hobbs.co.uk*	999	24.07.2017	30.07.2017	0.315129683	0.050432277	0.060518732	0.277377522	0.06556196	0.190634006	0.040345821
missselfridge.com*	999	24.07.2017	30.07.2017	0.261129331	0.011364743	0.040913076	0.447965711	0.040913076	0.170438679	0.027275384
disneystore.co.uk*	999	24.07.2017	30.07.2017	0.261255743	0.029096478	0.034915773	0.422664625	0.042266462	0.158346095	0.051454824
steamer.co.uk*	999	24.07.2017	30.07.2017	0.151515152	0	0	0.484848485	0.242424242	0.090909091	0.03030303
store.apple.com#	999	24.07.2017	30.07.2017	0.10137873	2.64E-04	0.044869225	0.015038587	8.80E-05	0.828077268	0.010283998
zalando.co.uk*	999	24.07.2017	30.07.2017	0.22437614	0.039686421	0.051670742	0.376636783	0.0371871	0.226161369	0.044281445
harveynichols.com*	999	24.07.2017	30.07.2017	0.274542327	0.015050989	0.019351272	0.476901339	0.055903674	0.122558054	0.035692345
thewhitecompany.com*	999	24.07.2017	30.07.2017	0.195236603	0.016452523	0.065810091	0.416248825	0.090488875	0.163663428	0.052099655
zarahome.com*	999	24.07.2017	30.07.2017	0.174620947	3.22E-04	0.071938248	0.600185262	0.025010789	0.110453574	0.017468876
asos.com*	999	24.07.2017	30.07.2017	0.34513332	0.011949767	0.051290788	0.209525566	0.086295437	0.215606672	0.080198451
fatface.com*	999	24.07.2017	30.07.2017	0.286885246	0	0.089418778	0.380774963	0.074515648	0.142324888	0.026080477
pcworld.co.uk*	999	24.07.2017	30.07.2017	0.202283593	0.004131716	0.01136222	0.621193738	0.070858938	0.073918376	0.016251418
tedbaker.com*	999	24.07.2017	30.07.2017	0.236163568	0.029316067	0.045862559	0.423374373	0.096401301	0.119422508	0.049459623
zara.com*	999	24.07.2017	30.07.2017	0.355564624	6.26E-04	0.023667846	0.439504137	0.006737113	0.14076349	0.03313713
boden.co.uk*	999	24.07.2017	30.07.2017	0.260638298	0.022796353	0.102583587	0.202887538	0.117781155	0.259118541	0.034194529
dreams.co.uk*	999	24.07.2017	30.07.2017	0.162926187	0.019504534	0.010638837	0.536552004	0.128729926	0.113987537	0.027660976
ralphlauren.co.uk*	999	24.07.2017	30.07.2017	0.23876104	0.018285856	0.086204752	0.251299913	0.18547083	0.193854957	0.026122652
emmabridgewater.co.uk*	999	24.07.2017	30.07.2017	0.189189189	0	0.057915058	0.135135135	0.00965251	0.588803089	0.019305019
harlequin.uk.com*	999	24.07.2017	30.07.2017	0.192727273	0	0.163636364	0.356363636	0	0.269090909	0.018181818
lauraashley.com*	999	24.07.2017	30.07.2017	0.18829033	0.012791463	0.069073898	0.44821285	0.094656823	0.140925371	0.046049265
hotpoint.co.uk*	999	24.07.2017	30.07.2017	0.16442953	0	0	0.620805369	0.05033557	0.11409396	0.05033557
joules.com*	999	24.07.2017	30.07.2017	0.225258045	0.009107468	0.091074681	0.279902854	0.050394657	0.306010929	0.038251366
samsung.com*	999	24.07.2017	30.07.2017	0.179227379	0.008773151	0.028863246	0.593743674	0.058620913	0.100706834	0.030064802
