site	country	oldest	newest	year	month	ga
garnier.co.uk*	826	87379.94262	107204.2986	16	12	88793
garnier.co.uk*	826	70121.51108	114318.2764	16	5	116953
garnier.co.uk*	826	104693.1161	161022.5816	16	4	139928
garnier.co.uk*	826	108743.1865	174618.6039	16	6	146814
garnier.co.uk*	826	118949.5537	185340.5648	16	3	108798
garnier.co.uk*	826	141238.4039	186943.8024	16	10	127155
garnier.co.uk*	826	105103.8018	189507.634	16	1	104394
garnier.co.uk*	826	109437.2028	196848.1738	16	2	145826
garnier.co.uk*	826	138981.8661	201217.1634	16	7	234589
garnier.co.uk*	826	184980.1882	237796.2827	16	9	134869
garnier.co.uk*	826	184829.5936	255670.7588	17	4	201473
garnier.co.uk*	826	202860.8488	260693.9425	16	8	251937
garnier.co.uk*	826	157181.0117	271375.7954	17	3	222310
garnier.co.uk*	826	182099.7236	290232.723	17	2	192466
garnier.co.uk*	826	207712.1835	290377.2818	16	11	98269
garnier.co.uk*	826	209933.5153	324869.4681	17	5	204216
garnier.co.uk*	826	227418.6083	344656.1259	17	1	132753
garnier.com.ru*	643	118311.636	351042.3775	16	7	128673
garnier.com.ru*	643	109761.5316	396273.2313	17	5	147040
garnier.com.ru*	643	139942.7911	398509.7926	16	1	153189
garnier.com.ru*	643	146723.1726	401532.9216	17	4	132251
garnier.com.ru*	643	121239.4317	413551.3956	17	1	145039
garnier.com.ru*	643	135825.9164	423919.6247	16	5	126356
garnier.com.ru*	643	144914.8064	448811.7302	16	4	131676
garnier.com.ru*	643	217704.1018	671800.6961	16	3	198227
garnier.com.ru*	643	223159.9207	680679.1082	16	6	235247
garnier.com.ru*	643	201185.3975	682230.755	16	11	224594
garnier.com.ru*	643	210953.7335	712701.4137	16	9	160110
garnier.com.ru*	643	240063.066	777708.415	17	3	201857
garnier.com.ru*	643	320706.9443	1033166.047	16	12	374737
garnier.com.ru*	643	323965.1324	1162580.235	17	2	336454
garnier.com.ru*	643	408840.2659	1177887.636	16	2	513473
garnier.com.ru*	643	375504.8127	1334229.831	16	10	273385
garnier.com.ru*	643	424309.446	1344368.943	16	8	302753
garnier.de*	276	184713.1364	690397.9188	17	2	357548
garnier.de*	276	213448.5752	778547.3598	17	3	256377
garnier.de*	276	223823.7393	826006.2764	17	1	379730
garnier.de*	276	246919.5707	966365.2693	17	5	556335
garnier.de*	276	260826.327	992032.3442	17	4	424854
garnier.de*	276	430503.5499	1271663.962	16	9	661498
garnier.de*	276	400748.6526	1344081.8	16	12	835860
garnier.de*	276	405995.4186	1395127.135	16	11	485347
garnier.de*	276	452870.553	1438733.308	16	10	666596
garnier.de*	276	632394.4599	1780496.394	16	8	843958
garnier.de*	276	659680.4143	2008179.571	16	7	112775
garnier.es*	724	57481.89276	188773.2443	16	1	93638
garnier.es*	724	60545.11964	194934.4598	16	2	99943
garnier.es*	724	80943.55832	236734.666	16	3	175331
garnier.es*	724	79890.38857	257695.1504	16	7	149600
garnier.es*	724	81186.77022	274423.5156	16	6	135967
garnier.es*	724	90423.58546	274686.67	16	4	204667
garnier.es*	724	97492.1739	317637.9903	16	5	222383
garnier.es*	724	95952.67897	358965.0661	17	2	155394
garnier.es*	724	122627.2454	413055.4366	16	10	184267
garnier.es*	724	118596.6821	417241.5146	16	11	162342
garnier.es*	724	123559.3239	485875.2974	17	1	161836
garnier.es*	724	155665.9028	501276.6236	16	12	189250
garnier.es*	724	165583.1426	554639.1981	16	9	196066
garnier.es*	724	175787.4941	663101.8711	17	4	227644
garnier.es*	724	158957.5581	710572.6441	17	3	275840
garnier.es*	724	204584.7765	803785.3225	17	5	229366
garnier.es*	724	279192.4473	916218.4614	16	8	266987
garnier.fr*	250	80316.47921	192321.0978	17	2	128786
garnier.fr*	250	88840.24257	219961.446	17	1	128596
garnier.fr*	250	96686.04077	283560.7106	16	10	139160
garnier.fr*	250	91189.14695	320621.7674	16	2	177310
garnier.fr*	250	107741.0532	323153.2677	16	3	168792
garnier.fr*	250	123617.3004	350294.7552	17	4	216369
garnier.fr*	250	127785.953	360245.1531	16	4	247507
garnier.fr*	250	117646.543	366462.7309	16	11	174929
garnier.fr*	250	127840.571	372202.6084	16	7	226658
