takevisits.site	takevisits.country	takevisits.source	takevisits.site2	takevisits.traffic_source	takevisits.landingpage	takevisits.sendingpage	takevisits.user	takevisits.pages	takevisits.year	takevisits.month	takevisits.day
submarino.com.br*	76	1240	google.com.br	1	submarino.com.br/produto/16314188/panela-de-arroz-ph10-visor-glass-preta?WT.srch=1&condition=NEW&cor=Preta&epar=bp_pl_00_go_g35162&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0Py28GPZI8WvIHR6bUxgI_bq3cG0Nq082-xm-inzPIQaAqvV8P8HAQ&opn=XMLGOOGLE&sellerId=47998976002889&voltagem=110V	google.com.br/shopping/product/12415827648857022839?sclient=psy-ab&rlz=1C1RLNS_pt-BRBR736BR736&biw=1440&bih=770&q=panela+eletrica+philco&oq=&pbx=1&bav=on.2,or.r_cp.&ion=1&espv=2&sns=1&pf=p&tch=1&ech=9&psi=eOr4WKWxIMi5wASb4bfYDA.1492707960263.5&sa=X&sqi=2&ved=0ahUKEwjKlaXGwrPTAhUGi5AKHQwECjAQ8wIItAMwEg	ad0deb89ca6722618f79a9359dae000cc7e1c49c	["submarino.com.br/produto/16314188/panela-de-arroz-ph10-visor-glass-preta?WT.srch=1&condition=NEW&cor=Preta&epar=bp_pl_00_go_g35162&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0Py28GPZI8WvIHR6bUxgI_bq3cG0Nq082-xm-inzPIQaAqvV8P8HAQ&opn=XMLGOOGLE&sellerId=47998976002889&voltagem=110V","submarino.com.br/produto/16314188/panela-de-arroz-ph10-visor-glass-preta-127v?WT.srch=1&condition=NEW&epar=bp_pl_00_go_g35162&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0Py28GPZI8WvIHR6bUxgI_bq3cG0Nq082-xm-inzPIQaAqvV8P8HAQ&opn=XMLGOOGLE&sellerId=47998976002889"]	17	4	20
submarino.com.br*	76	1240	outlook.office.com	5	submarino.com.br/produto/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660	outlook.office.com/owa/?realm=uniespbr.onmicrosoft.com	aa38c7a0318d3f9762c2ff80fab3a178b0798c9c	["submarino.com.br/produto/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660","submarino.com.br/produto/129217112/notebook-samsung-expert-x23-intel-core-5-i5-8gb-geforce-910m-de-2gb-1tb-led-hd-15-6-windows-10-preto?WT.srch=1&condition=NEW&epar=bp_pl_00_go_g35174&gclid=CPy-oeH6s9MCFYUHkQodjKABSg&opn=XMLGOOGLE&sellerId=00776574000660"]	17	4	20
submarino.com.br*	76	1240	NULL	6	submarino.com.br/garantia/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?buyboxToken=undefined&condition=NEW&offerType=BOLETO&pricingId=58ed23522ab79c00158e1d68&productId=129287971&productSku=129287989&sellerId=00776574000660	NULL	aa38c7a0318d3f9762c2ff80fab3a178b0798c9c	["submarino.com.br/garantia/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?buyboxToken=undefined&condition=NEW&offerType=BOLETO&pricingId=58ed23522ab79c00158e1d68&productId=129287971&productSku=129287989&sellerId=00776574000660","submarino.com.br/produto/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660","cliente.submarino.com.br/s/?guest=false&h=responsive","minhaconta.submarino.com.br/#/account/home","submarino.com.br/garantia/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?buyboxToken=undefined&condition=NEW&offerType=BOLETO&pricingId=58ed23522ab79c00158e1d68&productId=129287971&productSku=129287989&sellerId=00776574000660","sacola.submarino.com.br/simple-basket?cartId=WT0eDSS6qkQWul47eSCVSpHOn4g","submarino.com.br/busca/?conteudo=vga+hdmi","submarino.com.br/produto/8258061","submarino.com.br/produto/8258061/cabo-adaptador-conversor-hdmi-para-vga?condition=NEW","sacola.submarino.com.br/simple-basket#/basket","sacola.submarino.com.br/current-checkout/?#/payment","submarino.com.br/?epar=lomadee&loja=03&opn=AFLNOVOSUB&utm_source=lomadee&lmdsid=989735629734","submarino.com.br/?epar=lomadee&loja=03&opn=AFLNOVOSUB&utm_source=lomadee&lmdsid=619635629734","submarino.com.br/?epar=lomadee&loja=03&opn=AFLNOVOSUB&utm_source=lomadee&lmdsid=682535629734","submarino.com.br/?epar=lomadee&loja=03&opn=AFLNOVOSUB&utm_source=lomadee&lmdsid=908635629734","submarino.com.br/produto/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-2gb-de-memoria-dedicada-1tb-led-full-hd-15-6-windows-10-preto?opn=AFLNOVOSUB&epar=b2wafiliados&loja=03&franq=AFL-03-179014","sacola.submarino.com.br/current-checkout/?#/purchase?oneClick=false","sacola.submarino.com.br/api/v1/bank-slip?orderid=03-493084814&customerToken=386Bbue7jEl5fmI1N2TUNbQIfAIiKoyuTAdFKpL2zCYq1bI3_zLlzHayr_dLcXew&mediaType=pdf","submarino.com.br/produto/129287971/notebook-samsung-expert-x41-intel-core-5-i7-8gb-geforce-910m-de-2gb-1tb-led-full-hd-15-6-windows-10-preto?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660"]	17	4	20
submarino.com.br*	76	3017	google.com.br	1	submarino.com.br	google.com.br/?gws_rd=cr&ei=Q2z5WIOELYr4jwS3u7uADQ#q=submarino	04685462875401	["submarino.com.br","submarino.com.br/busca/?conteudo=j7","submarino.com.br"]	17	4	20
submarino.com.br*	76	3017	NULL	5	minhaconta.submarino.com.br/#/account/home	NULL	60597604355796	["minhaconta.submarino.com.br/#/account/home","cliente.submarino.com.br/s/?p=l,lg&h=responsive","submarino.com.br","submarino.com.br/busca/?conteudo=pendrive%2016gb","submarino.com.br/produto/109067276","submarino.com.br/produto/109067276/pen-drive-16gb-sandisk-cruzer-blade-preto-e-vermelho?condition=NEW"]	17	4	20
submarino.com.br*	76	3017	buscape.com.br	6	submarino.com.br/produto/9845635/mesa-de-computador-prisma-nogueira-germai-moveis?opn=COMPARADORESSUB&loja=03&epar=102414&hl=lower&s_term=COMPARADORESSUB	buscape.com.br/maior-preco/escrivaninha-mesa-para-pc?precomax=179.99	82092936493030	["submarino.com.br/produto/9845635/mesa-de-computador-prisma-nogueira-germai-moveis?opn=COMPARADORESSUB&loja=03&epar=102414&hl=lower&s_term=COMPARADORESSUB","submarino.com.br/produto/9845635/mesa-de-computador-prisma-nogueira-germai-moveis?condition=NEW&epar=102414&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660","submarino.com.br/produto/120148026?DCSext.recom=RR_item_page.history-RecentHistoricalItems&nm_origem=rec_item_page.history-RecentHistoricalItems&nm_ranking_rec=1","submarino.com.br/produto/120148026/escrivaninha-prisma-noce-1-gaveta-germai?DCSext.recom=RR_item_page.history-RecentHistoricalItems&condition=NEW&nm_origem=rec_item_page.history-RecentHistoricalItems&nm_ranking_rec=1","submarino.com.br/produto/120080551/painel-para-tv-ate-47-flash-ii-com-suporte-chocolate-ebano-at.home?opn=COMPARADORESSUB&loja=03&epar=102414&hl=lower&s_term=COMPARADORESSUB"]	17	4	20
submarino.com.br*	76	3017	NULL	5	submarino.com.br	NULL	83042255855867	["submarino.com.br","submarino.com.br/categoria/271288","submarino.com.br/produto/126897773","submarino.com.br/produto/126897773/notebook-dell-inspiron-gaming-edition-i15-7559-a10-intel-core-i5-8gb-geforce-gtx-960m-de-4gb-1tb-8gb-ssd-tela-15.6-windows-10-preto?condition=NEW","submarino.com.br/produto/126897773","submarino.com.br/produto/126897773/notebook-dell-inspiron-gaming-edition-i15-7559-a10-intel-core-i5-8gb-geforce-gtx-960m-de-4gb-1tb-8gb-ssd-tela-15.6-windows-10-preto?condition=NEW","submarino.com.br/categoria/271288","submarino.com.br/categoria/271288/?limite=24&offset=24","submarino.com.br/categoria/271288/?filtro=%5B%7B%22id%22%3A%22category.id%22%2C%22value%22%3A%22271288%22%2C%22fixed%22%3Atrue%7D%2C%7B%22id%22%3A%22extra.PROCESSADOR%22%2C%22value%22%3A%22Intel%20Core%20i7%22%7D%5D&ordenacao=bestSellers&origem=omega","submarino.com.br/categoria/271288/?filtro=%5B%7B%22id%22%3A%22category.id%22%2C%22value%22%3A%22271288%22%2C%22fixed%22%3Atrue%7D%2C%7B%22id%22%3A%22extra.MARCA%22%2C%22value%22%3A%22Dell%22%7D%2C%7B%22id%22%3A%22extra.PROCESSADOR%22%2C%22value%22%3A%22Intel%20Core%20i7%22%7D%5D&ordenacao=bestSellers&origem=omega","submarino.com.br/produto/131501702","submarino.com.br/produto/131501702/notebook-dell-inspiron-i15-5567-a40c-intel-core-7-i7-8gb-amd-radeon-r7-m445-de-4gb-1tb-tela-led-15-6-windows-10-cinza?condition=NEW","submarino.com.br","submarino.com.br/busca/?conteudo=C%C3%B3d.131501681","submarino.com.br"]	17	4	20
submarino.com.br*	76	3017	zoom.com.br	5	submarino.com.br/produto/131501702/notebook-dell-inspiron-i15-5567-a40c-intel-core-7-i7-8gb-memoria-dedicada-de-4gb-1tb-tela-led-15-6-windows-10-cinza?epar=zoom&opn=COMPARADORESSUB&loja=03&hl=lower&s_term=COMPARADORESSUB	zoom.com.br/lead?oid=41846798&sortorder=-1&index=&searchterm=&pagesize=&channel=12&og=19188&utm_source=couponroller&utm_medium=parceiros&utm_term=Notebook&utm_campaign=Submarino&utm_content=Notebook+Dell+Inspiron+i15-5567-A40C+Intel+Core+7+i7+8GB+%28AMD+Radeon+R7+M445+de+4GB%29+1TB+Tela+LED+15%2C6%22+Windows+10+-+Cinza&subid=100-4	83042255855867	["submarino.com.br/produto/131501702/notebook-dell-inspiron-i15-5567-a40c-intel-core-7-i7-8gb-memoria-dedicada-de-4gb-1tb-tela-led-15-6-windows-10-cinza?epar=zoom&opn=COMPARADORESSUB&loja=03&hl=lower&s_term=COMPARADORESSUB","submarino.com.br/produto/131501702/notebook-dell-inspiron-i15-5567-a40c-intel-core-7-i7-8gb-memoria-dedicada-de-4gb-1tb-tela-led-15-6-windows-10-cinza?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660","submarino.com.br/produto/131501702/notebook-dell-inspiron-i15-5567-a40c-intel-core-7-i7-8gb-amd-radeon-r7-m445-de-4gb-1tb-tela-led-15-6-windows-10-cinza?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660","submarino.com.br/produto/126897731/notebook-dell-inspiron-i15-5558-b30-intel-core-i5-4gb-1tb-tela-15-windows-10-branco?condition=NEW&epar=lomadee&loja=03&opn=AFLNOVOSUB&utm_source=lomadee&lmdsid=981635569797","submarino.com.br/produto/126897731/notebook-dell-inspiron-i15-5558-b30-intel-core-i5-4gb-1tb-tela-15-windows-10-branco?condition=NEW&epar=lomadee&lmdsid=981635569797&opn=AFLNOVOSUB&sellerId=00776574000660&utm_source=lomadee"]	17	4	20
submarino.com.br*	76	3017	NULL	5	submarino.com.br	NULL	83042255855867	["submarino.com.br","submarino.com.br/busca/?conteudo=F5-573G-50KS","submarino.com.br/produto/22111932?oferta=58ee2163079998c697cd69df","submarino.com.br/produto/22111932/notebook-intel-com-teclado-numerico-acer-nxgjqal004-f5-573g-50ks-core-i5-7200u-kabylake-8gb-ddr4-1t?condition=NEW&oferta=58ee2163079998c697cd69df"]	17	4	20
submarino.com.br*	76	3017	forum.techtudo.com.br	6	submarino.com.br/produto/127166155/notebook-acer-e5-574g-75me-intel-core-i7-8gb-4gb-de-memoria-dedicada-1tb-tela-led-15.6-windows-10-grafite?condition=NEW&epar=lomadee&opn=AFLNOVOSUB&sellerId=00776574000660&utm_source=lomadee	forum.techtudo.com.br/perguntas/251157/dell-ou-acer-socorro	83042255855867	["submarino.com.br/produto/127166155/notebook-acer-e5-574g-75me-intel-core-i7-8gb-4gb-de-memoria-dedicada-1tb-tela-led-15.6-windows-10-grafite?condition=NEW&epar=lomadee&opn=AFLNOVOSUB&sellerId=00776574000660&utm_source=lomadee","submarino.com.br/produto/127166155/notebook-acer-e5-574g-75me-intel-core-i7-8gb-geforce-940m-de-4gb-1tb-tela-led-15.6-windows-10-grafite?amp%3Bepar=lomadee&amp%3Bopn=AFLNOVOSUB&amp%3BsellerId=00776574000660&amp%3Butm_source=lomadee&condition=NEW"]	17	4	20
