monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
brit.co*	203	6686.212941096445	6518.386365466188	10109.670269257098	3662.3210335066015	17	1
brit.co*	170	8578.3407130402	8111.3027483941	4261.976526388603	1750.9012930625602	17	1
brit.co*	458	7882.459947433302	7774.490240136863	24917.429019204075	11827.253003000667	17	1
brit.co*	554	15986.80182119991	15441.997601382349	31062.836185501055	15247.144761463362	17	1
brit.co*	586	4166.511380355434	4052.7274684823674	0.0	0.0	17	1
brit.co*	682	3357.2224030331317	3143.502467761383	8174.409492833131	4140.705524136924	17	1
brit.co*	233	1836.8674454179597	1798.9728058180247	0.0	0.0	17	1
brit.co*	585	175.28530745860397	175.28530745860397	0.0	0.0	17	1
brit.co*	8	258.91766384034656	258.91766384034656	0.0	0.0	17	1
brit.co*	40	4719.970389820572	4642.623488219684	5913.25170451494	2669.4353708446915	17	1
brit.co*	72	1402.273328086406	1348.7943782823124	0.0	0.0	17	1
brit.co*	104	138.16766313090463	138.16766313090463	0.0	0.0	17	1
brit.co*	136	441.25942033255046	441.25942033255046	0.0	0.0	17	1
brit.co*	360	7437.508390395675	7246.863993434581	35477.81717674891	18575.955661222088	17	1
brit.co*	392	10783.279526687627	10523.94415427559	10523.512574151933	5813.955735862756	17	1
brit.co*	616	16119.804904586774	15690.84959731466	9418.544333649723	4887.32019510701	17	1
brit.co*	840	1318572.956963783	1247755.8088331176	1264556.0537997044	1046073.1028110062	17	1
brit.co*	807	959.9325994429146	959.9325994429146	8079.844279525975	3753.439822951053	17	1
brit.co*	70	572.4082167223282	572.4082167223282	0.0	0.0	17	1
brit.co*	422	1525.3849329816353	1417.5987901323906	0.0	0.0	17	1
brit.co*	454	236.46987288145075	236.46987288145075	0.0	0.0	17	1
brit.co*	710	22338.51937660673	21523.337208091532	52494.107736535494	26436.983748096503	17	1
brit.co*	4	65.87524587845145	65.87524587845145	0.0	0.0	17	1
brit.co*	36	64028.02117531679	62228.59020297294	112484.87938452857	56160.879800705225	17	1
brit.co*	68	395.7357672352871	336.8080653839807	0.0	0.0	17	1
brit.co*	100	5134.752571875751	4911.904579134606	10920.187957568804	5897.355454652985	17	1
brit.co*	196	1512.9487479319162	1512.9487479319162	0.0	0.0	17	1
brit.co*	356	31376.22827515645	30316.366296813	89759.01227303279	59548.06536691727	17	1
brit.co*	388	1130.994203773483	1080.9089288572625	0.0	0.0	17	1
brit.co*	484	14952.877396314856	14453.66162688693	11117.617100260679	5395.4965659365525	17	1
brit.co*	516	434.134660539999	434.134660539999	0.0	0.0	17	1
brit.co*	580	190.37057655752784	190.37057655752784	0.0	0.0	17	1
brit.co*	740	762.6682409263777	762.6682409263777	0.0	0.0	17	1
brit.co*	804	3959.5575102066264	3921.755350430932	1734.4206314486114	618.8167770575874	17	1
brit.co*	643	10116.085073236414	9303.016950755731	10174.810493467074	5116.608516642437	17	1
brit.co*	450	37.693954361199324	37.693954361199324	0.0	0.0	17	1
brit.co*	578	5536.597356970586	5454.745923891307	0.0	0.0	17	1
brit.co*	642	12680.48851790631	12585.2054790874	6123.825598598819	3080.264961822975	17	1
brit.co*	706	37.501123828966506	37.501123828966506	0.0	0.0	17	1
brit.co*	834	4442.416707963268	4407.588766587048	0.0	0.0	17	1
brit.co*	417	62.06219882170838	62.06219882170838	0.0	0.0	17	1
brit.co*	705	2788.2136785724074	2725.8413768983814	0.0	0.0	17	1
brit.co*	32	10589.37633179117	10339.523257960025	8723.334116997405	3799.597745507257	17	1
brit.co*	96	459.378626310833	459.378626310833	0.0	0.0	17	1
brit.co*	288	877.5594919739375	877.5594919739375	0.0	0.0	17	1
brit.co*	320	979.6360864641342	921.2662358171405	0.0	0.0	17	1
brit.co*	352	1003.230262953932	1003.230262953932	0.0	0.0	17	1
brit.co*	480	239.6193800878782	239.6193800878782	0.0	0.0	17	1
brit.co*	512	1154.222273888809	1077.303166764769	0.0	0.0	17	1
brit.co*	608	23478.099372149663	22936.38046492541	30237.332722190113	18613.929177625385	17	1
brit.co*	704	11690.158312780228	11430.40707379026	0.0	0.0	17	1
brit.co*	736	147.98286028161638	147.98286028161638	0.0	0.0	17	1
brit.co*	800	791.5709665768231	712.5498416339349	0.0	0.0	17	1
brit.co*	832	320.5095373675894	320.5095373675894	0.0	0.0	17	1
brit.co*	31	408.8163530055046	408.8163530055046	0.0	0.0	17	1
