Date	Visits	Avg. Visit Duration	Pages / Visit	Bounce Rate	Total Page Views	Unique Visitors	device	platform	Column1
1/1/2017	"2,242,023.58"	0:01:41	2.12	61.34%	"4,763,778.05"	"1,594,578.13"	desktop	sw	01.01.17
1/2/2017	"2,126,752.71"	0:01:41	2.03	63.22%	"4,309,759.24"	"1,497,070.87"	desktop	sw	01.02.17
1/3/2017	"2,294,016.00"	0:01:57	2.24	59.56%	"5,130,969.27"	"1,571,542.44"	desktop	sw	01.03.17
1/4/2017	"2,366,367.30"	0:01:43	2.12	61.99%	"5,025,280.84"	"1,553,219.66"	desktop	sw	01.04.17
1/5/2017	"2,258,482.66"	0:01:41	2.41	63.38%	"5,444,708.48"	"1,491,247.02"	desktop	sw	01.05.17
1/6/2017	"2,055,250.06"	0:01:45	2.11	62.41%	"4,327,376.57"	"1,363,257.71"	desktop	sw	01.06.17
1/7/2017	"2,036,123.79"	0:01:40	2.03	62.94%	"4,142,557.57"	"1,401,845.03"	desktop	sw	01.07.17
1/1/2017	"1,532,525.57"	0:01:05	1.56	72.63%	"2,395,198.99"	"723,671.00"	mobile	sw	01.01.17
1/2/2017	"1,311,563.47"	0:01:09	2	67.81%	"2,629,339.69"	"628,593.00"	mobile	sw	01.02.17
1/3/2017	"1,395,825.08"	0:00:56	1.49	70.27%	"2,075,960.31"	"588,517.00"	mobile	sw	01.03.17
1/4/2017	"1,498,310.61"	0:01:13	1.63	69.81%	"2,441,170.71"	"678,756.00"	mobile	sw	01.04.17
1/5/2017	"1,568,108.72"	0:01:49	1.83	64.74%	"2,862,932.81"	"741,008.00"	mobile	sw	01.05.17
1/6/2017	"1,243,340.09"	0:01:42	1.64	63.79%	"2,034,875.41"	"575,710.00"	mobile	sw	01.06.17
1/7/2017	"1,235,028.96"	0:01:26	1.58	66.12%	"1,946,445.51"	"631,811.00"	mobile	sw	01.07.17
1/1/2017	"1,413,661.00"	0:01:40	1.63	66.57%	"2,310,835.00"	"1,198,612.00"	desktop	ga	01.01.17
1/2/2017	"1,453,781.00"	0:01:31	1.62	68.48%	"2,354,711.00"	"1,248,721.00"	desktop	ga	01.02.17
1/3/2017	"1,326,925.00"	0:01:37	1.61	67.30%	"2,137,050.00"	"1,079,686.00"	desktop	ga	01.03.17
1/4/2017	"1,313,420.00"	0:01:51	1.6	59.88%	"2,101,188.00"	"1,031,582.00"	desktop	ga	01.04.17
1/5/2017	"1,385,047.00"	0:01:39	1.64	63.71%	"2,268,325.00"	"1,197,276.00"	desktop	ga	01.05.17
1/6/2017	"1,527,168.00"	0:01:34	1.64	70.41%	"2,512,065.00"	"1,371,574.00"	desktop	ga	01.06.17
1/7/2017	"1,641,357.00"	0:01:44	1.84	63.98%	"3,017,480.00"	"1,457,894.00"	desktop	ga	01.07.17
1/1/2017	"10,319,844.00"	0:00:26	1.16	88.72%	"12,015,883.00"	"8,324,810.00"	mobile	ga	01.01.17
1/2/2017	"9,178,811.00"	0:00:29	1.24	84.24%	"11,385,921.00"	"7,523,063.00"	mobile	ga	01.02.17
1/3/2017	"9,015,571.00"	0:00:24	1.18	87.75%	"10,672,967.00"	"7,007,940.00"	mobile	ga	01.03.17
1/4/2017	"7,377,643.00"	0:00:34	1.23	80.74%	"9,048,681.00"	"5,868,122.00"	mobile	ga	01.04.17
1/5/2017	"7,107,084.00"	0:00:29	1.2	82.34%	"8,512,930.00"	"5,878,145.00"	mobile	ga	01.05.17
1/6/2017	"8,739,667.00"	0:00:22	1.21	83.23%	"10,544,665.00"	"7,077,511.00"	mobile	ga	01.06.17
1/7/2017	"13,332,231.00"	0:00:19	1.45	42.91%	"19,367,006.00"	"5,744,794.00"	mobile	ga	01.07.17
1/1/2017	2743876.048								01.01.17
1/2/2017	2417957.401								01.02.17
1/3/2017	2452645.53								01.03.17
1/4/2017	2627727.909								01.04.17
1/5/2017	2615370.034								01.05.17
1/6/2017	2433739.608								01.06.17
1/7/2017	2383349.413								01.07.17
