site	country	platform	rawvisits	estimatedvisits	year	month
business.panasonic.com	84013	desktop	18.6	2612.592	16	3
business.panasonic.com	84045	desktop	10	1623.227708	16	3
business.panasonic.com	398	desktop	5.6	173.1326062	16	3
business.panasonic.com	462	desktop	2	138.5680371	16	3
business.panasonic.com	84046	desktop	1	184.2196278	16	3
business.panasonic.com	591	desktop	1	161.5575406	16	3
business.panasonic.com	84015	desktop	5	665.6009746	16	3
business.panasonic.com	84047	desktop	4.6	824.0460952	16	3
business.panasonic.com	48	desktop	1	277.5440608	16	3
business.panasonic.com	112	desktop	1	47.83836005	16	3
business.panasonic.com	368	desktop	1	93.89622401	16	3
business.panasonic.com	400	desktop	1	94.90248115	16	3
business.panasonic.com	528	desktop	12	1859.271119	16	3
business.panasonic.com	688	desktop	2	154.7530896	16	3
business.panasonic.com	752	desktop	11	1231.378737	16	3
business.panasonic.com	784	desktop	9	1798.867444	16	3
business.panasonic.com	84016	desktop	1	155.3268344	16	3
business.panasonic.com	84048	desktop	75.9	11478.24021	16	3
business.panasonic.com	8401	desktop	1	222.8962391	16	3
business.panasonic.com	84017	desktop	59.2	6912.354811	16	3
business.panasonic.com	84049	desktop	7	699.0920299	16	3
business.panasonic.com	50	desktop	2	99.93582447	16	3
business.panasonic.com	498	desktop	3.2	139.2591333	16	3
business.panasonic.com	818	desktop	9.6	605.9977875	16	3
business.panasonic.com	8402	desktop	1	141.0113973	16	3
business.panasonic.com	84018	desktop	12	1956.953599	16	3
business.panasonic.com	84050	desktop	2.6	209.7625552	16	3
business.panasonic.com	84019	desktop	15.6	1682.246904	16	3
business.panasonic.com	84051	desktop	25.2	2759.356939	16	3
business.panasonic.com	180	desktop	1	3045.817462	16	3
business.panasonic.com	276	desktop	119.4	3630.889666	16	3
business.panasonic.com	372	desktop	5.6	595.3456595	16	3
business.panasonic.com	404	desktop	1	335.3387437	16	3
business.panasonic.com	724	desktop	12.6	2129.527942	16	3
business.panasonic.com	756	desktop	7	930.9252856	16	3
business.panasonic.com	788	desktop	1	91.71130821	16	3
business.panasonic.com	8404	desktop	15.6	1940.03582	16	3
business.panasonic.com	84020	desktop	8	1214.76422	16	3
business.panasonic.com	8405	desktop	3.6	843.2033737	16	3
business.panasonic.com	84021	desktop	10	2007.30103	16	3
business.panasonic.com	84053	desktop	27.6	2699.869294	16	3
business.panasonic.com	214	desktop	1	102.9570808	16	3
business.panasonic.com	246	desktop	7	518.9003414	16	3
business.panasonic.com	470	desktop	1	99.08463973	16	3
business.panasonic.com	854	desktop	1	284.2816117	16	3
business.panasonic.com	8406	desktop	184.5	16505.75294	16	3
business.panasonic.com	84022	desktop	3	590.6984467	16	3
business.panasonic.com	84023	desktop	4	605.2143319	16	3
business.panasonic.com	84055	desktop	23.6	2444.149211	16	3
business.panasonic.com	56	desktop	7	714.9258318	16	3
business.panasonic.com	152	desktop	5	595.2957755	16	3
business.panasonic.com	344	desktop	5.6	500.1802646	16	3
business.panasonic.com	376	desktop	22.8	1832.633895	16	3
business.panasonic.com	440	desktop	3	405.5093202	16	3
business.panasonic.com	504	desktop	2	158.1184348	16	3
business.panasonic.com	600	desktop	1.6	148.4173672	16	3
business.panasonic.com	760	desktop	1	66.52216695	16	3
business.panasonic.com	792	desktop	13.6	3335.366363	16	3
business.panasonic.com	8408	desktop	11.6	1219.090602	16	3
business.panasonic.com	84024	desktop	22.1	2571.256259	16	3
business.panasonic.com	8409	desktop	16.8	2057.063305	16	3
business.panasonic.com	84025	desktop	17	1552.701206	16	3
business.panasonic.com	218	desktop	4	497.7596597	16	3
business.panasonic.com	250	desktop	32.38571429	2818.08756	16	3
business.panasonic.com	410	desktop	7.6	1062.102598	16	3
business.panasonic.com	474	desktop	1	73.32578854	16	3
business.panasonic.com	634	desktop	1	141.2845064	16	3
business.panasonic.com	826	desktop	29.2	4757.567693	16	3
business.panasonic.com	858	desktop	2	215.2549251	16	3
business.panasonic.com	84026	desktop	26.6	3620.00552	16	3
business.panasonic.com	84027	desktop	33	3925.899373	16	3
business.panasonic.com	92	desktop	1	307.1034168	16	3
business.panasonic.com	124	desktop	102.4	11422.62208	16	3
business.panasonic.com	156	desktop	7	7101.292044	16	3
business.panasonic.com	188	desktop	1	99.31465171	16	3
business.panasonic.com	348	desktop	5.6	675.725906	16	3
business.panasonic.com	380	desktop	17	2178.235783	16	3
business.panasonic.com	540	desktop	1	71.68080329	16	3
business.panasonic.com	604	desktop	1	230.2770257	16	3
business.panasonic.com	764	desktop	14.2	1955.503572	16	3
business.panasonic.com	860	desktop	1	65.28808954	16	3
business.panasonic.com	84028	desktop	2	808.4470277	16	3
business.panasonic.com	84029	desktop	12	1780.028138	16	3
business.panasonic.com	158	desktop	13	1068.696391	16	3
business.panasonic.com	702	desktop	17.2	1736.182061	16	3
business.panasonic.com	862	desktop	2	323.4126509	16	3
business.panasonic.com	84030	desktop	4	745.4730285	16	3
business.panasonic.com	191	desktop	1	85.50874398	16	3
business.panasonic.com	703	desktop	3	459.6760032	16	3
business.panasonic.com	84031	desktop	9	1172.605546	16	3
business.panasonic.com	32	desktop	3	378.30183	16	3
business.panasonic.com	96	desktop	1	228.8888169	16	3
business.panasonic.com	608	desktop	7	978.5216877	16	3
business.panasonic.com	704	desktop	9	1671.707772	16	3
business.panasonic.com	84032	desktop	7	1028.244525	16	3
business.panasonic.com	705	desktop	4	347.5980208	16	3
business.panasonic.com	84033	desktop	3	388.6152303	16	3
business.panasonic.com	258	desktop	1	71.6015816	16	3
business.panasonic.com	578	desktop	4	674.5294955	16	3
business.panasonic.com	642	desktop	12	1582.267985	16	3
business.panasonic.com	84034	desktop	49.08571429	5680.941177	16	3
business.panasonic.com	643	desktop	215.2	2376.99058	16	3
business.panasonic.com	84035	desktop	6.6	1167.754291	16	3
business.panasonic.com	4	desktop	1	387.2748736	16	3
business.panasonic.com	36	desktop	37.6	3579.83816	16	3
business.panasonic.com	68	desktop	2	167.6467359	16	3
business.panasonic.com	100	desktop	16.17142857	1996.719591	16	3
business.panasonic.com	196	desktop	1	76.37779997	16	3
business.panasonic.com	356	desktop	39.4	6595.320242	16	3
business.panasonic.com	484	desktop	18	2510.709191	16	3
business.panasonic.com	804	desktop	18.6	617.178541	16	3
business.panasonic.com	84036	desktop	62.2	7262.480997	16	3
business.panasonic.com	84037	desktop	23	3073.00878	16	3
business.panasonic.com	70	desktop	1	49.75609007	16	3
business.panasonic.com	710	desktop	4	953.4076822	16	3
business.panasonic.com	807	desktop	2	209.7810262	16	3
business.panasonic.com	999	desktop	2216.642857	238339.1779	16	3
business.panasonic.com	84039	desktop	33.2	4064.841674	16	3
business.panasonic.com	8	desktop	2	55.98672526	16	3
business.panasonic.com	40	desktop	4.6	261.9174477	16	3
business.panasonic.com	104	desktop	2	95.11442307	16	3
business.panasonic.com	328	desktop	1.6	943.1341218	16	3
business.panasonic.com	360	desktop	26.2	2749.893191	16	3
business.panasonic.com	392	desktop	74.7	6917.723232	16	3
business.panasonic.com	616	desktop	36.8	4189.560354	16	3
business.panasonic.com	840	desktop	1005.785714	120973.5163	16	3
business.panasonic.com	84040	desktop	9	2111.731402	16	3
business.panasonic.com	233	desktop	3	175.8015002	16	3
business.panasonic.com	84041	desktop	18.2	1587.992056	16	3
business.panasonic.com	170	desktop	2	219.6279411	16	3
business.panasonic.com	458	desktop	18.8	2216.7205	16	3
business.panasonic.com	554	desktop	9.6	1146.56556	16	3
business.panasonic.com	586	desktop	10.6	1201.348528	16	3
business.panasonic.com	682	desktop	12.6	1592.249626	16	3
business.panasonic.com	84010	desktop	7	830.3136064	16	3
