clickstream_sample.ts	clickstream_sample.source_id	clickstream_sample.sub_id	clickstream_sample.user_id	clickstream_sample.session_id	clickstream_sample.user_ip	clickstream_sample.country_id	clickstream_sample.user_agent	clickstream_sample.is_from_one_way	clickstream_sample.is_link	clickstream_sample.http_referer	clickstream_sample.previous_site	clickstream_sample.requested_site	clickstream_sample.http_code	clickstream_sample.http_redirect_to_url	clickstream_sample.content_type	clickstream_sample.application_name	clickstream_sample.is_from_browser	clickstream_sample.version	clickstream_sample.client_redirect	clickstream_sample.client_redirect_duration	clickstream_sample.version_number	clickstream_sample.server_redirect	clickstream_sample.ip_hash	clickstream_sample.year	clickstream_sample.month	clickstream_sample.day	clickstream_sample.app
1496057653	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0			http://www.buzztroopers.com/	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057671	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	http://www.buzztroopers.com/	http://www.buzztroopers.com/	http://www.buzztroopers.com/how-old-are-you-really-based-off-your-habits/	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057687	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	http://www.buzztroopers.com/how-old-are-you-really-based-off-your-habits/	http://www.buzztroopers.com/how-old-are-you-really-based-off-your-habits/	http://www.buzztroopers.com/	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057705	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	http://www.buzztroopers.com/	http://www.buzztroopers.com/	http://www.buzztroopers.com/can-we-guess-your-age/	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057715	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	http://tpc.googlesyndication.com/safeframe/1-0-5/html/container.html	http://tpc.googlesyndication.com/safeframe/1-0-5/html/container.html	http://simplythesearch.com/	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057731	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		212.139.238.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	http://simplythesearch.com/	http://simplythesearch.com/	https://simplythesearch.com/index.php?a=privacy	0								5.0.0.1		77b4ada3a61617faf3479e7ab1887984	17	5	29	kafka-consumer-a08
1496057885	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		82.40.30.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	https://simplythesearch.com/index.php?a=privacy	https://simplythesearch.com/index.php?a=privacy	https://uk.protectyourbubble.com/	0								5.0.0.1		1dbcc0dfb5af3c1df71741fa600d7390	17	5	29	kafka-consumer-a08
1496057937	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		138.37.237.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	https://uk.protectyourbubble.com/	https://uk.protectyourbubble.com/	https://uk.protectyourbubble.com/javascript:;	0								5.0.0.1		a2eae63f24bb5ec63933845371c3b920	17	5	29	kafka-consumer-a08
1496057964	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		138.37.237.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	https://uk.protectyourbubble.com/javascript:;	https://uk.protectyourbubble.com/javascript:;	https://uk.protectyourbubble.com/../terms-and-conditions	0								5.0.0.1		a2eae63f24bb5ec63933845371c3b920	17	5	29	kafka-consumer-a08
1496057991	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		138.37.237.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0	https://uk.protectyourbubble.com/../terms-and-conditions	https://uk.protectyourbubble.com/../terms-and-conditions	https://uk.protectyourbubble.com/about-us	0								5.0.0.1		a2eae63f24bb5ec63933845371c3b920	17	5	29	kafka-consumer-a08
1496059094	747	chrome	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or		86.178.111.0	826	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"	0	0			http://www.5starmusiq.com/	0								5.0.0.1		ee4c9d6ade0764a7d6d3c498312fcdcb	17	5	29	kafka-consumer-a08
