monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
chitai-gorod.ru*	643	1816854.6929497763	1601836.038522136	2333448.3066061568	1941427.2081491838	17	1
chitai-gorod.ru*	578	824.8566256486661	709.920270761958	0.0	0.0	17	1
chitai-gorod.ru*	642	6482.197982711481	6382.3300642979175	0.0	0.0	17	1
chitai-gorod.ru*	417	1285.562617224764	1217.6074949677293	0.0	0.0	17	1
chitai-gorod.ru*	705	86.77670716300136	86.77670716300136	0.0	0.0	17	1
chitai-gorod.ru*	32	250.17146302291243	250.17146302291243	0.0	0.0	17	1
chitai-gorod.ru*	352	74.02309990837536	74.02309990837536	0.0	0.0	17	1
chitai-gorod.ru*	704	308.26779804608657	308.26779804608657	0.0	0.0	17	1
chitai-gorod.ru*	31	1685.3362336541493	1685.3362336541493	0.0	0.0	17	1
chitai-gorod.ru*	191	79.32394347126255	79.32394347126255	0.0	0.0	17	1
chitai-gorod.ru*	703	141.91027059781607	141.91027059781607	0.0	0.0	17	1
chitai-gorod.ru*	702	767.5146099784566	707.8662530955343	0.0	0.0	17	1
chitai-gorod.ru*	124	2931.1918038809195	2362.9327316281638	0.0	0.0	17	1
chitai-gorod.ru*	156	427.2804266376735	369.8653426826452	0.0	0.0	17	1
chitai-gorod.ru*	380	623.7096930003045	623.7096930003045	0.0	0.0	17	1
chitai-gorod.ru*	604	143.09298117600687	143.09298117600687	0.0	0.0	17	1
chitai-gorod.ru*	860	1815.7744205150696	1735.1758225625335	0.0	0.0	17	1
chitai-gorod.ru*	795	72.93811593015973	72.93811593015973	0.0	0.0	17	1
chitai-gorod.ru*	250	3467.6011290521164	2790.9544041951467	3286.716887848597	1831.251540358847	17	1
chitai-gorod.ru*	410	877.4600613845099	827.9936099804615	0.0	0.0	17	1
chitai-gorod.ru*	442	196.2102074945373	196.2102074945373	0.0	0.0	17	1
chitai-gorod.ru*	762	236.0262660085165	236.0262660085165	0.0	0.0	17	1
chitai-gorod.ru*	826	9014.197516001374	7676.6801716999935	0.0	0.0	17	1
chitai-gorod.ru*	56	352.7697093042779	352.7697093042779	0.0	0.0	17	1
chitai-gorod.ru*	344	4.190471809222168E-4	4.190471809222168E-4	0.0	0.0	17	1
chitai-gorod.ru*	376	1033.312138141423	1033.312138141423	2749.561246308177	1272.2059665057095	17	1
chitai-gorod.ru*	440	1154.4827488403319	882.3200713614503	0.0	0.0	17	1
chitai-gorod.ru*	504	118.98143303239114	118.98143303239114	0.0	0.0	17	1
chitai-gorod.ru*	792	1109.0673278016031	1109.0673278016031	0.0	0.0	17	1
chitai-gorod.ru*	887	42.336557829262965	42.336557829262965	0.0	0.0	17	1
chitai-gorod.ru*	214	179.23023790043152	179.23023790043152	0.0	0.0	17	1
chitai-gorod.ru*	246	1474.5914633428188	1146.079513137227	0.0	0.0	17	1
chitai-gorod.ru*	20	851.1738666132131	851.1738666132131	0.0	0.0	17	1
chitai-gorod.ru*	276	7377.559700623884	6582.591316103621	7988.939050808421	3471.6142269030915	17	1
chitai-gorod.ru*	372	125.7209853875095	125.7209853875095	0.0	0.0	17	1
chitai-gorod.ru*	724	752.360023486833	752.360023486833	0.0	0.0	17	1
chitai-gorod.ru*	756	831.8108911786923	765.0027294644328	0.0	0.0	17	1
chitai-gorod.ru*	51	1353.6798673301457	1289.103266459797	0.0	0.0	17	1
chitai-gorod.ru*	499	166.27892622452376	166.27892622452376	0.0	0.0	17	1
chitai-gorod.ru*	498	2253.5816872198275	2023.5668847963773	0.0	0.0	17	1
chitai-gorod.ru*	818	0.0	0.0	7.4909149791787675	3.9959931340604724	17	1
chitai-gorod.ru*	112	7927.216480900405	7797.378003265139	0.0	0.0	17	1
chitai-gorod.ru*	208	280.4873599452646	280.4873599452646	0.0	0.0	17	1
chitai-gorod.ru*	496	89.84660650018168	89.84660650018168	0.0	0.0	17	1
chitai-gorod.ru*	528	8197.53020538555	7030.580309733667	0.0	0.0	17	1
chitai-gorod.ru*	688	90.60169412705953	90.60169412705953	0.0	0.0	17	1
chitai-gorod.ru*	752	872.367188018123	780.2200072524184	20193.57617137158	7413.245612185788	17	1
chitai-gorod.ru*	784	140.8349257753598	140.8349257753598	0.0	0.0	17	1
chitai-gorod.ru*	398	6271.781530348399	5792.338426027921	0.0	0.0	17	1
chitai-gorod.ru*	12	102.22164452341522	102.22164452341522	0.0	0.0	17	1
chitai-gorod.ru*	268	1032.812233652266	1032.812233652266	0.0	0.0	17	1
chitai-gorod.ru*	428	3794.5770864250126	3132.0399792054473	0.0	0.0	17	1
chitai-gorod.ru*	620	142.92800555581587	142.92800555581587	3934.6667826609096	1814.6614106373663	17	1
chitai-gorod.ru*	203	3395.5671093746955	3126.345777053127	1859.7356100343327	991.1532918712157	17	1
chitai-gorod.ru*	458	128.3155617783315	128.3155617783315	0.0	0.0	17	1
chitai-gorod.ru*	233	1685.5181284496891	1600.3448077582534	0.0	0.0	17	1
chitai-gorod.ru*	40	581.590730111456	581.590730111456	0.0	0.0	17	1
chitai-gorod.ru*	360	112.21615681999069	112.21615681999069	0.0	0.0	17	1
chitai-gorod.ru*	392	111.57265228066494	111.57265228066494	0.0	0.0	17	1
chitai-gorod.ru*	616	1640.1466800617895	1535.7165517570188	0.0	0.0	17	1
chitai-gorod.ru*	840	7004.2465673960105	6810.1715517782595	26704.6973521578	12697.37411450256	17	1
chitai-gorod.ru*	36	180.21192401940453	180.21192401940453	0.0	0.0	17	1
chitai-gorod.ru*	68	76.62330418505404	76.62330418505404	0.0	0.0	17	1
chitai-gorod.ru*	100	496.0003378268902	496.0003378268902	0.0	0.0	17	1
chitai-gorod.ru*	196	237.704049232283	237.704049232283	0.0	0.0	17	1
chitai-gorod.ru*	484	160.3005098031472	160.3005098031472	0.0	0.0	17	1
chitai-gorod.ru*	804	27956.25085566048	26331.691674785976	35188.37850388734	16884.94601909362	17	1
chitai-gorod.ru*	643	1654459.6490839855	1466997.5850513196	1916471.5201305274	1567945.5592020866	17	2
chitai-gorod.ru*	418	32.50682695395939	32.50682695395939	0.0	0.0	17	2
chitai-gorod.ru*	450	35.576474415500314	35.576474415500314	0.0	0.0	17	2
chitai-gorod.ru*	578	630.7245569687618	630.7245569687618	0.0	0.0	17	2
chitai-gorod.ru*	642	10018.536959367242	8840.534607645863	0.0	0.0	17	2
chitai-gorod.ru*	417	654.4906937202369	641.5798967928525	0.0	0.0	17	2
chitai-gorod.ru*	705	252.46360973590433	252.46360973590433	0.0	0.0	17	2
chitai-gorod.ru*	32	350.8452803164529	350.8452803164529	0.0	0.0	17	2
chitai-gorod.ru*	31	1353.301023701251	1284.202634900887	0.0	0.0	17	2
chitai-gorod.ru*	158	131.27811710435523	131.27811710435523	0.0	0.0	17	2
chitai-gorod.ru*	414	132.741189107703	132.741189107703	0.0	0.0	17	2
chitai-gorod.ru*	702	242.66753042188515	242.66753042188515	0.0	0.0	17	2
chitai-gorod.ru*	124	568.3651109402884	568.3651109402884	0.0	0.0	17	2
chitai-gorod.ru*	156	5735.106759013767	5735.106759013767	0.0	0.0	17	2
chitai-gorod.ru*	348	359.07052326534125	359.07052326534125	0.0	0.0	17	2
chitai-gorod.ru*	380	705.2929850364513	705.2929850364513	0.0	0.0	17	2
chitai-gorod.ru*	764	396.9710233920963	396.9710233920963	0.0	0.0	17	2
chitai-gorod.ru*	860	669.503605736932	638.9831935636553	0.0	0.0	17	2
chitai-gorod.ru*	795	29.899484544916806	29.899484544916806	0.0	0.0	17	2
chitai-gorod.ru*	250	7081.0755895038865	6098.462079935237	0.0	0.0	17	2
chitai-gorod.ru*	410	306.1752665142988	306.1752665142988	0.0	0.0	17	2
chitai-gorod.ru*	442	250.11217190384184	250.11217190384184	0.0	0.0	17	2
chitai-gorod.ru*	762	433.3252197334825	433.3252197334825	0.0	0.0	17	2
chitai-gorod.ru*	826	4980.037137718934	4211.409299552032	0.0	0.0	17	2
chitai-gorod.ru*	56	128.61197251513056	128.61197251513056	0.0	0.0	17	2
chitai-gorod.ru*	344	63.0094463881216	63.0094463881216	0.0	0.0	17	2
chitai-gorod.ru*	376	1436.0737133566372	1373.9086347908672	983.1632157461333	525.6397667174964	17	2
chitai-gorod.ru*	440	920.16397411095	920.16397411095	0.0	0.0	17	2
chitai-gorod.ru*	792	701.4319449401069	701.4319449401069	1970.6067455503414	953.3947997801179	17	2
chitai-gorod.ru*	214	183.36268114199726	183.36268114199726	0.0	0.0	17	2
chitai-gorod.ru*	246	979.0464604584611	979.0464604584611	0.0	0.0	17	2
chitai-gorod.ru*	470	696.7196140155836	696.7196140155836	0.0	0.0	17	2
chitai-gorod.ru*	276	15449.519326601816	13739.54611208259	16415.21113228498	8341.620402774686	17	2
chitai-gorod.ru*	404	11.674853063205573	11.674853063205573	0.0	0.0	17	2
chitai-gorod.ru*	724	908.8077659170489	908.8077659170489	0.0	0.0	17	2
chitai-gorod.ru*	756	1648.7500297355723	1648.7500297355723	0.0	0.0	17	2
chitai-gorod.ru*	51	696.9679767358855	696.9679767358855	0.0	0.0	17	2
chitai-gorod.ru*	498	2015.9563437057413	1788.7626778564925	0.0	0.0	17	2
chitai-gorod.ru*	112	6559.451362304009	6327.046536859839	0.0	0.0	17	2
chitai-gorod.ru*	208	239.19023989853167	239.19023989853167	0.0	0.0	17	2
chitai-gorod.ru*	496	85.52312309445199	85.52312309445199	0.0	0.0	17	2
chitai-gorod.ru*	528	8262.416609569005	7003.076198188015	24298.369302467618	11569.433552777282	17	2
chitai-gorod.ru*	752	362.2840073971964	362.2840073971964	53232.262036284505	28390.49973269793	17	2
chitai-gorod.ru*	398	5349.213955829933	5144.034004268922	0.0	0.0	17	2
chitai-gorod.ru*	12	39.8224438738409	39.8224438738409	0.0	0.0	17	2
chitai-gorod.ru*	76	239.33651618070908	239.33651618070908	0.0	0.0	17	2
chitai-gorod.ru*	268	1342.6906894598535	1342.6906894598535	0.0	0.0	17	2
chitai-gorod.ru*	428	3455.750051708768	3311.683362038971	0.0	0.0	17	2
chitai-gorod.ru*	620	175.91454224832586	175.91454224832586	1824.718757773303	982.234057587889	17	2
chitai-gorod.ru*	203	2585.1931326822496	2106.0381325410613	0.0	0.0	17	2
chitai-gorod.ru*	554	364.3137731877122	364.3137731877122	0.0	0.0	17	2
chitai-gorod.ru*	233	5276.642935015809	3499.42975101697	0.0	0.0	17	2
