dailydata.site	dailydata.country	dailydata.platform	dailydata.rawvisits	dailydata.estimatedvisits	dailydata.year	dailydata.month	dailydata.day
lookfantastic.com*	999	mobile	21.0	88785.26194588712	17	3	29
lookfantastic.com*	826	mobile	6.0	29220.066347782184	17	2	9
lookfantastic.com*	826	mobile	4.0	36601.97494242998	17	2	7
lookfantastic.com*	826	mobile	3.0	16790.496554509173	17	2	11
lookfantastic.com*	826	mobile	9.0	42516.410675539104	17	2	12
lookfantastic.com*	826	mobile	14.0	56400.40064528559	17	1	14
lookfantastic.com*	826	mobile	2.0	20627.29552737	17	2	4
lookfantastic.com*	826	mobile	3.0	28849.091258066397	17	2	3
lookfantastic.com*	826	mobile	6.0	53076.013087911866	17	2	2
lookfantastic.com*	826	mobile	5.0	25276.208540477925	17	1	31
lookfantastic.com*	826	mobile	9.0	42299.69121844554	17	2	17
lookfantastic.com*	826	mobile	10.0	47989.458914709954	17	2	18
lookfantastic.com*	826	mobile	6.0	27171.427915056047	17	1	11
lookfantastic.com*	826	mobile	5.0	26765.91903548765	17	2	19
lookfantastic.com*	826	mobile	6.0	26664.809057254206	17	1	9
lookfantastic.com*	826	mobile	1.0	18776.40852208053	17	5	11
lookfantastic.com*	826	mobile	5.0	26610.431853751186	17	6	1
lookfantastic.com*	826	mobile	2.0	18265.687515136393	17	5	12
lookfantastic.com*	826	mobile	5.0	25922.893037238897	17	6	2
lookfantastic.com*	826	mobile	7.0	32136.201015957922	17	1	8
lookfantastic.com*	826	mobile	3.0	24405.422386583334	17	5	13
lookfantastic.com*	826	mobile	2.0	13305.224686406294	17	2	22
lookfantastic.com*	826	mobile	1.0	18502.378642952892	17	5	14
lookfantastic.com*	826	mobile	0.0	6162.675446876999	17	5	15
lookfantastic.com*	826	mobile	5.0	26263.471330715885	17	5	31
lookfantastic.com*	826	mobile	5.0	41548.9797656084	17	1	29
lookfantastic.com*	826	mobile	4.0	21216.539432875208	17	2	23
lookfantastic.com*	826	mobile	2.0	18832.735940309543	17	5	16
lookfantastic.com*	826	mobile	2.0	19075.34167035628	17	5	19
lookfantastic.com*	826	mobile	1.0	13062.426503197396	17	5	30
lookfantastic.com*	826	mobile	2.0	30301.443803550428	17	5	17
lookfantastic.com*	826	mobile	4.0	20921.045553371587	17	1	22
lookfantastic.com*	826	mobile	2.0	30787.50551520054	17	5	18
lookfantastic.com*	826	mobile	8.0	72493.1151155966	17	2	28
lookfantastic.com*	826	mobile	5.0	27071.34241843073	17	2	27
lookfantastic.com*	826	mobile	8.0	38930.99644830396	17	5	29
lookfantastic.com*	826	mobile	1.0	12987.453018658827	17	1	27
lookfantastic.com*	826	mobile	1.0	13189.683936453564	17	3	4
lookfantastic.com*	826	mobile	9.0	45978.33409456491	17	3	5
lookfantastic.com*	826	mobile	5.0	48034.873367202716	17	3	6
lookfantastic.com*	826	mobile	6.0	32103.090265543193	17	3	7
lookfantastic.com*	826	mobile	8.0	39285.08060792894	17	5	28
lookfantastic.com*	826	mobile	2.0	13442.03699719812	17	3	8
lookfantastic.com*	826	mobile	9.0	37684.270878768264	17	1	3
lookfantastic.com*	826	mobile	4.0	22282.7663901856	17	3	10
lookfantastic.com*	826	mobile	4.0	22711.50296636408	17	3	11
lookfantastic.com*	826	mobile	4.0	33931.857590797204	17	1	2
lookfantastic.com*	826	mobile	3.0	17644.839712258432	17	3	13
lookfantastic.com*	826	mobile	1.0	12766.259304852076	17	3	16
lookfantastic.com*	826	mobile	2.0	19033.306001151137	17	5	20
lookfantastic.com*	826	mobile	3.0	26084.94642077918	17	5	26
lookfantastic.com*	826	mobile	3.0	17084.679489886392	17	3	17
lookfantastic.com*	826	mobile	3.0	17682.088015048816	17	3	20
lookfantastic.com*	826	mobile	4.0	21837.521061898915	17	3	18
lookfantastic.com*	826	mobile	10.0	48758.2664812836	17	3	21
lookfantastic.com*	826	mobile	2.0	26784.17786033954	17	5	27
lookfantastic.com*	826	mobile	1.0	13268.438154141208	17	3	19
lookfantastic.com*	826	mobile	3.0	25160.27246774641	17	5	21
lookfantastic.com*	826	mobile	3.0	36303.434266122924	17	5	22
lookfantastic.com*	826	mobile	3.0	42898.83770019063	17	5	23
lookfantastic.com*	826	mobile	0.0	4638.6006660417725	17	3	28
lookfantastic.com*	826	mobile	3.0	25141.005796831316	17	5	24
lookfantastic.com*	826	mobile	5.0	27704.626699756096	17	3	29
lookfantastic.com*	826	mobile	1.0	18621.03563578293	17	5	25
lookfantastic.com*	826	mobile	2.0	14304.825784827868	17	3	31
lookfantastic.com*	826	mobile	2.0	14491.865392624319	17	4	1
lookfantastic.com*	826	mobile	3.0	20115.698778873262	17	4	2
lookfantastic.com*	826	mobile	5.0	29474.282280672844	17	4	3
lookfantastic.com*	826	mobile	6.0	31857.111681125527	17	3	27
lookfantastic.com*	826	mobile	10.0	45754.11775349574	17	2	8
lookfantastic.com*	826	mobile	1.0	12604.570547291147	17	2	10
lookfantastic.com*	826	mobile	3.0	16604.172553441942	17	2	6
lookfantastic.com*	826	mobile	4.0	38031.326772786946	17	2	13
lookfantastic.com*	826	mobile	4.0	21032.551928572153	17	2	5
