site	country	platform	estimatedvisits	year	month
charityjob.co.uk*	UK	mobile	371843.6443	17	1
charityjob.co.uk*	UK	mobile	359328.5484	17	2
charityjob.co.uk*	UK	mobile	334473.2754	17	3
charityjob.co.uk*	UK	mobile	307604.5863	17	4
charityjob.co.uk*	UK	mobile	293275.0663	17	5
cv-library.co.uk*	UK	mobile	6362230.434	17	1
cv-library.co.uk*	UK	mobile	5907138.537	17	2
cv-library.co.uk*	UK	mobile	6208744.614	17	3
cv-library.co.uk*	UK	mobile	5161880.281	17	4
cv-library.co.uk*	UK	mobile	4240522.017	17	5
indeed.co.uk*	UK	mobile	3.17E+07	17	1
indeed.co.uk*	UK	mobile	2.77E+07	17	2
indeed.co.uk*	UK	mobile	2.92E+07	17	3
indeed.co.uk*	UK	mobile	2.56E+07	17	4
indeed.co.uk*	UK	mobile	2.55E+07	17	5
monster.co.uk*	UK	mobile	3523661.557	17	1
monster.co.uk*	UK	mobile	2426510.51	17	2
monster.co.uk*	UK	mobile	2762583.132	17	3
monster.co.uk*	UK	mobile	2175159.612	17	4
monster.co.uk*	UK	mobile	2418563.379	17	5
totaljobs.com*	UK	mobile	9076035.712	17	1
totaljobs.com*	UK	mobile	8353323.845	17	2
totaljobs.com*	UK	mobile	8850343.014	17	3
totaljobs.com*	UK	mobile	7397295.742	17	4
totaljobs.com*	UK	mobile	7017865.804	17	5
charityjob.co.uk*	WW	mobile	412446.0895	17	1
charityjob.co.uk*	WW	mobile	376713.0092	17	2
charityjob.co.uk*	WW	mobile	362551.0228	17	3
charityjob.co.uk*	WW	mobile	333877.7335	17	4
charityjob.co.uk*	WW	mobile	313386.4735	17	5
cv-library.co.uk*	WW	mobile	6570516.718	17	1
cv-library.co.uk*	WW	mobile	6063566.069	17	2
cv-library.co.uk*	WW	mobile	6495204.736	17	3
cv-library.co.uk*	WW	mobile	5498277.385	17	4
cv-library.co.uk*	WW	mobile	4462060.393	17	5
indeed.co.uk*	WW	mobile	3.36E+07	17	1
indeed.co.uk*	WW	mobile	2.95E+07	17	2
indeed.co.uk*	WW	mobile	3.11E+07	17	3
indeed.co.uk*	WW	mobile	2.77E+07	17	4
indeed.co.uk*	WW	mobile	2.73E+07	17	5
monster.co.uk*	WW	mobile	4334555.125	17	1
monster.co.uk*	WW	mobile	3250053.062	17	2
monster.co.uk*	WW	mobile	3894716.458	17	3
monster.co.uk*	WW	mobile	2954108.419	17	4
monster.co.uk*	WW	mobile	3362761.669	17	5
totaljobs.com*	WW	mobile	1.03E+07	17	1
totaljobs.com*	WW	mobile	9667231.098	17	2
totaljobs.com*	WW	mobile	1.04E+07	17	3
totaljobs.com*	WW	mobile	8647546.417	17	4
totaljobs.com*	WW	mobile	8353602.869	17	5
