ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201703	alamy.com	208	14374.0	36310.0	5759.0	12846.0	5886.0	14765.0	ga	0.3	17	3	0.0	2204.6880566698687	76.8	12896.14828779599
201703	berkley-fishing.com	208	455.0	1356.0	212.0	215.0	225.0	244.0	ga	0.3	17	3	0.0	0.0	2.0	360.9943807440956
201705	betternet.co	208	9344.0	621.0	755.0	381.0	1010.0	385.0	qc	0.5	17	5	0.0	0.0	23.2	3649.274059131331
201703	braun.dk	208	6707.0	7510.0	2276.0	2033.0	2630.0	2314.0	ga	0.3	17	3	0.0	0.0	17.0	2505.21740066311
201704	bulkpowders.dk	208	115359.0	119250.0	26119.0	16553.0	33233.0	20402.0	ga	0.3	17	4	4.0	197478.96156256678	237.77142857142854	37814.751794993186
201702	citrus.ua	208	1856.0	1027.0	213.0	178.0	235.0	189.0	ga	0.3	17	2	1.0	57664.99181977073	8.0	1191.7676629460004
201705	cookieandkate.com	208	5425.0	4299.0	3411.0	2165.0	4293.0	2743.0	qc	0.5	17	5	1.0	47268.18980825216	23.200000000000003	3765.4347048847276
201703	drudgereport.com	208	22384.0	135490.0	5488.0	7241.0	10788.0	13225.0	qc	0.5	17	3	0.0	0.0	49.28168498168498	8270.295930454555
201701	gentlemansgazette.com	208	3627.0	4847.0	2225.0	2418.0	2703.0	3052.0	qc	0.5	17	1	0.0	0.0	45.285714285714285	5518.953088696619
201703	indeed.com	208	2090382.0	704737.0	366083.0	159575.0	490279.0	196401.0	ga	0.3	17	3	1.0	19017.065405562193	186.39999999999995	29033.94322866368
201704	lenta.ru	208	40299.0	58060.0	6714.0	16569.0	16117.0	22539.0	ga	0.3	17	4	2.0	63346.87640165216	222.7177489177489	36667.13319369192
201705	militaria.pl	208	4458.0	7814.0	582.0	805.0	731.0	931.0	ga	0.3	17	5	0.0	0.0	6.0	988.2077534886165
201704	mixedmartialarts.com	208	17192.0	8292.0	8167.0	2480.0	10421.0	3753.0	qc	0.5	17	4	0.0	0.0	53.88571428571429	9221.868762099559
201701	mk.ru	208	5308.0	16005.0	2919.0	2624.0	3775.0	3585.0	ga	0.3	17	1	1.0	42513.40123858532	15.0	2018.839485593164
201703	movellas.com	208	76241.0	159314.0	13346.0	19495.0	22135.0	30220.0	ga	0.3	17	3	0.0	0.0	42.4	6375.81078587461
201703	nasamnatam.com	208	509.0	648.0	198.0	150.0	225.0	172.0	ga	0.3	17	3	0.0	9253.864466629233	3.0	511.97970773658164
201703	photobucket.com	208	48462.0	196546.0	24927.0	44622.0	26362.0	47643.0	qc	0.5	17	3	0.0	11490.463756599003	66.60000000000001	10903.511390357753
201701	pic-words.ru	208	11219.0	2570.0	6734.0	1494.0	8693.0	2015.0	ga	0.3	17	1	1.0	36629.24379554358	33.08571428571429	4072.7027813545064
201703	popularwoodworking.com	208	2070.0	1542.0	1380.0	777.0	1512.0	805.0	ga	0.3	17	3	0.0	28714.667062970428	9.6	1511.4188011644512
201704	sahibinden.com	208	471750.0	188651.0	14567.0	5848.0	20654.0	7043.0	ga	0.3	17	4	2.0	74592.00487458674	6.0	1071.5730661323291
201702	technologyreview.com	208	8012.0	11984.0	5378.0	7326.0	6285.0	8724.0	qc	0.5	17	2	0.0	0.0	118.6	18580.540926078887
201705	thejoysofboys.com	208	55.0	37.0	32.0	28.0	33.0	28.0	qc	0.5	17	5	0.0	0.0	1.0	112.442884497765
201703	theonion.com	208	13471.0	11364.0	10206.0	6533.0	11028.0	7150.0	qc	0.5	17	3	1.0	33949.20275200865	89.6	12754.37131026635
201701	topuniversities.com	208	7721.0	34399.0	3326.0	9391.0	3649.0	10727.0	ga	0.3	17	1	6.0	343539.74502721115	137.49999999999997	18491.697815180378
201701	whats-on-netflix.com	208	13306.0	12368.0	9756.0	8446.0	10269.0	8596.0	ga	0.3	17	1	0.0	0.0	79.0	9044.53392989188
201701	yaplakal.com	208	7424.0	25489.0	1579.0	2778.0	2412.0	4347.0	ga	0.3	17	1	1.0	49727.179933939864	142.39523809523808	16395.42187824104
201701	appcrawlr.com	208	20912.0	12420.0	7897.0	3868.0	8557.0	4080.0	ga	0.3	17	1	4.0	62022.48119171761	66.2	8142.972518481546
201703	ballislife.com	208	1461.0	758.0	1061.0	486.0	1285.0	574.0	qc	0.5	17	3	0.0	0.0	11.0	1402.7063033220338
201703	bookanaut.com	208	36214.0	15879.0	29638.0	13114.0	32267.0	13466.0	ga	0.3	17	3	0.0	17152.37363149927	57.6	9136.2961095291
201703	chainreactioncycles.com	208	211688.0	295892.0	33720.0	32028.0	41728.0	41053.0	ga	0.3	17	3	2.0	96559.94796362853	220.19523809523804	33774.50997230296
201703	clicksanatate.ro	208	750.0	318.0	587.0	252.0	622.0	276.0	ga	0.3	17	3	1.0	9980.377005850933	2.0	286.5824237972642
201703	cyclingweekly.co.uk	208	10046.0	8340.0	6010.0	4209.0	6905.0	4629.0	ga	0.3	17	3	1.0	64295.34084523618	98.48571428571428	14218.642637058016
201703	gazetawroclawska.pl	208	3778.0	3762.0	1618.0	1777.0	1701.0	1984.0	ga	0.3	17	3	1.0	37754.70607862016	8.0	1284.0377939726104
201704	gazetevatan.com	208	105937.0	105336.0	10242.0	3933.0	15433.0	4719.0	ga	0.3	17	4	0.0	10571.353374190723	8.0	1337.0249975337751
201704	husqvarna.com	208	14.0	30.0	10.0	7.0	10.0	10.0	ga	0.3	17	4	0.0	0.0	64.80000000000001	10218.07206362886
201705	innfrad.com	208	420.0	153.0	158.0	52.0	170.0	54.0	ga	0.3	17	5	0.0	0.0	3.0	510.2603868925912
201705	internationalliving.com	208	432.0	651.0	279.0	380.0	300.0	398.0	ga	0.3	17	5	0.0	0.0	3.0	480.3627191732196
201703	investlithuania.com	208	293.0	301.0	196.0	155.0	239.0	160.0	ga	0.3	17	3	1.0	52035.91732809849	2.0	418.1821976763605
201703	nationalreview.com	208	5661.0	3.0	1959.0	2.0	2766.0	3.0	qc	0.5	17	3	0.0	0.0	48.885714285714286	7218.060374277588
201705	oklivetv.com	208	30688.0	34735.0	3601.0	3977.0	4635.0	5093.0	ga	0.3	17	5	2.0	87232.91693540516	26.6	4312.072555848775
