monthlycountrydis.site	monthlycountrydis.country	monthlycountrydis.dvisits	monthlycountrydis.dusers	monthlycountrydis.mvisits	monthlycountrydis.musers	monthlycountrydis.year	monthlycountrydis.month
disneystore.de*	40	4464.329333	4167.203079	4918.516825	1501.783547	16	9
disneystore.de*	360	46.7650575	46.7650575	106.3712143	0	16	9
disneystore.de*	616	0	0	359.989597	0	16	9
disneystore.de*	840	1159.80086	1109.231592	2482.741365	0	16	9
disneystore.de*	999	90756.56563	83987.05898	125136.9716	66548.02728	16	9
disneystore.de*	36	93.98725165	93.98725165	0	0	16	9
disneystore.de*	100	729.0826702	609.6169703	0	0	16	9
disneystore.de*	804	869.9526503	869.9526503	0	0	16	9
disneystore.de*	643	724.9714462	678.0330695	43.07491441	0	16	9
disneystore.de*	642	425.4937848	425.4937848	87.72724176	8.388245153	16	9
disneystore.de*	608	216.2479823	169.8201188	0	0	16	9
disneystore.de*	191	111.7806982	111.7806982	0	0	16	9
disneystore.de*	703	196.4859587	196.4859587	0	0	16	9
disneystore.de*	158	87.82504444	87.82504444	0	0	16	9
disneystore.de*	862	230.4631298	230.4631298	0	0	16	9
disneystore.de*	156	890.7320527	890.7320527	0	0	16	9
disneystore.de*	348	169.9005453	169.9005453	457.6015743	70.52746906	16	9
disneystore.de*	380	355.6583741	323.6547033	1222.503544	120.4379393	16	9
disneystore.de*	250	432.6654362	432.6654362	1296.597605	0	16	9
disneystore.de*	442	92.62006952	92.62006952	0	0	16	9
disneystore.de*	826	891.7729221	891.7729221	0	0	16	9
disneystore.de*	792	1044.297471	1044.297471	1205.842231	256.6844543	16	9
disneystore.de*	276	72296.2531	66119.27759	102576.9361	63465.33408	16	9
disneystore.de*	372	149.9615107	149.9615107	0	0	16	9
disneystore.de*	724	260.1181533	260.1181533	0	0	16	9
disneystore.de*	756	3140.250389	3140.250389	10164.88052	1076.456162	16	9
disneystore.de*	788	107.7360052	107.7360052	0	0	16	9
disneystore.de*	51	78.98066062	78.98066062	0	0	16	9
disneystore.de*	208	304.0993236	304.0993236	0	0	16	9
disneystore.de*	528	340.048781	340.048781	0	0	16	9
disneystore.de*	398	30.91129571	30.91129571	0	0	16	9
disneystore.de*	300	160.6201717	160.6201717	214.1888398	48.41537938	16	9
disneystore.de*	620	157.1287319	157.1287319	0	0	16	9
disneystore.de*	203	495.6247618	495.6247618	0	0	16	9
disneystore.de*	8	92.08623875	92.08623875	0	0	16	10
disneystore.de*	40	6369.431798	5665.018023	14842.58328	6071.490563	16	10
disneystore.de*	360	0	0	15.26078047	0	16	10
disneystore.de*	616	378.2377406	378.2377406	319.575463	48.72327666	16	10
disneystore.de*	840	1246.678715	1246.678715	0	0	16	10
disneystore.de*	999	100108.0994	93194.40638	201367.292	104267.413	16	10
disneystore.de*	710	388.7208521	388.7208521	0	0	16	10
disneystore.de*	36	226.8626164	226.8626164	0	0	16	10
disneystore.de*	100	315.4364494	315.4364494	0	0	16	10
disneystore.de*	356	77.30677566	77.30677566	0	0	16	10
disneystore.de*	804	589.1763689	589.1763689	0	0	16	10
disneystore.de*	643	1451.761011	1403.363013	0	0	16	10
disneystore.de*	32	287.369516	287.369516	0	0	16	10
disneystore.de*	704	198.8096525	198.8096525	0	0	16	10
disneystore.de*	703	401.8114571	401.8114571	0	0	16	10
disneystore.de*	124	118.804909	118.804909	0	0	16	10
disneystore.de*	348	110.6172762	110.6172762	0	0	16	10
disneystore.de*	380	340.7076629	340.7076629	0	0	16	10
disneystore.de*	604	188.634095	188.634095	0	0	16	10
disneystore.de*	250	699.172528	699.172528	703.0881592	351.5440796	16	10
disneystore.de*	410	114.7777747	114.7777747	0	0	16	10
disneystore.de*	826	271.3872503	271.3872503	0	0	16	10
disneystore.de*	792	275.9941922	275.9941922	450.5742743	0	16	10
disneystore.de*	246	89.57741034	89.57741034	0	0	16	10
disneystore.de*	470	204.9547824	204.9547824	0	0	16	10
disneystore.de*	276	79534.17255	73692.39017	152898.8194	91379.27879	16	10
disneystore.de*	372	178.2390159	178.2390159	0	0	16	10
disneystore.de*	724	570.710079	570.710079	4496.980147	1100.335987	16	10
disneystore.de*	756	3427.715334	3334.705292	18491.58223	3356.16627	16	10
disneystore.de*	50	172.4183872	103.275986	0	0	16	10
disneystore.de*	498	186.5204128	142.3106231	0	0	16	10
disneystore.de*	112	130.1473853	130.1473853	0	0	16	10
disneystore.de*	208	0	0	9020.541474	1959.87405	16	10
disneystore.de*	528	482.1420294	369.4053502	0	0	16	10
disneystore.de*	752	133.356089	133.356089	0	0	16	10
disneystore.de*	398	39.96008578	39.96008578	0	0	16	10
disneystore.de*	300	158.7903096	158.7903096	128.2867646	0	16	10
disneystore.de*	620	292.9421715	292.9421715	0	0	16	10
disneystore.de*	203	362.668524	362.668524	0	0	16	10
disneystore.de*	40	9072.141143	8559.985687	12794.33652	5258.832077	16	11
disneystore.de*	616	536.6058742	536.6058742	772.7020281	189.4007358	16	11
disneystore.de*	840	420.98463	420.98463	0	0	16	11
disneystore.de*	999	145241.8288	132885.5162	171560.271	94510.49315	16	11
disneystore.de*	100	709.4204025	591.2349942	0	0	16	11
disneystore.de*	356	119.7484747	119.7484747	0	0	16	11
disneystore.de*	484	164.5222465	164.5222465	0	0	16	11
disneystore.de*	804	488.57675	488.57675	0	0	16	11
disneystore.de*	643	2289.231844	2184.352786	2466.196983	386.2866776	16	11
disneystore.de*	288	37.38162121	37.38162121	0	0	16	11
disneystore.de*	191	277.1897899	277.1897899	0	0	16	11
disneystore.de*	703	62.13964459	62.13964459	423.4302746	60.07705536	16	11
disneystore.de*	348	577.1002508	577.1002508	0	0	16	11
disneystore.de*	380	92.28976558	92.28976558	0	0	16	11
disneystore.de*	250	1185.249503	1185.249503	1834.900362	0	16	11
disneystore.de*	442	396.0518585	396.0518585	0	0	16	11
