visits.site	visits.country	visits.source	visits.site2	visits.traffic_source	visits.landingpage	visits.sendingpage	visits.user	visits.pages	visits.refpath	visits.year	visits.month	visits.day
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/zu-amazon/aHR0cHM6Ly93d3cuYW1hem9uLmNvLnVrL05hYXZhLVdvbWVucy1RdWFydGVyLURpYW1vbmQtRWFycmluZ3MvZHAvQjAwNVFaMkZORT9TdWJzY3JpcHRpb25JZD1BS0lBSUJVTktZRlZWNVM3R1ZYUSZ0YWc9cHJpdWswNS0yMSZsaW5rQ29kZT1zcDEmY2FtcD0yMDI1JmNyZWF0aXZlPTE2NTk1MyZjcmVhdGl2ZUFTSU49QjAwNVFaMkZORQ==	UftRM7czZDc3YSQSxiWyBoRd4UrP6fcG	"[""eharmony.co.uk"",""eharmony.co.uk/about/terms"",""eharmony.co.uk/affiliates"",""eharmony.co.uk/promotional-code""]"	"[""eharmony.co.uk""]"	17	5	9
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/gp/help/customer/display.html/ref=ap_cookie_error_help	zHlUsV23qo3zjg1uBdGvNVqmXfuhvlq3	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/belfast-city/belfast-singles"",""eharmony.co.uk/local-dating/dundee-city/dundee-singles""]"	"[""eharmony.co.uk""]"	17	5	16
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/mobile-phone-portable-speakers	UftRM7czZDc3YSQSxiWyBoRd4UrP6fcG	"[""eharmony.co.uk"",""eharmony.co.uk/promotional-code"",""eharmony.co.uk/local-dating/east-midlands/leicester-singles"",""eharmony.co.uk/lifestyle/chinese-dating""]"	"[""eharmony.co.uk""]"	17	5	11
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	dOnSN2Eu3DvdPejY5KS2BTR5ezSioNIR	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/south-west-england/bristol-singles"",""eharmony.co.uk/local-dating/south-west-england/bristol-singles/10"",""eharmony.co.uk/local-dating/ld/12877812920""]"	"[""eharmony.co.uk""]"	17	5	6
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	lRbngkxlTkPodNIz4Ot4r4YyjUVTJpye	"[""eharmony.co.uk"",""eharmony.co.uk/lifestyle/over-60s-dating""]"	"[""eharmony.co.uk""]"	17	5	1
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/portable-bluetooth-speakers	NZaNrbHWaFI3v4UWk1ezmPuLHFOPoI99	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	8
eharmony.co.uk	826	1560	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com	2DhgsJKiTdcGLbZ1IC060APqKdx7RBJT	"[""eharmony.co.uk"",""eharmony.co.uk/tour""]"	"[""eharmony.co.uk""]"	17	5	28
eharmony.co.uk	826	1747	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/mens-grooming	z0O2XS7qlSPPo5keWiJHgwoPwFOi63or	"[""eharmony.co.uk"",""eharmony.co.uk/local-dating/east-midlands"",""eharmony.co.uk/local-dating/east-midlands/hucknall-singles"",""eharmony.co.uk/local-dating/east-of-england/cambridge-singles""]"	"[""eharmony.co.uk""]"	17	5	29
eharmony.co.uk	826	1940	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/drives-storage	k6DWSX0A7MIOd4eoC4dcbbBvqnjXPmtJ	"[""eharmony.co.uk""]"	"[""eharmony.co.uk""]"	17	5	6
eharmony.co.uk	826	1747	uk.priceunicorn.com	6	eharmony.co.uk	uk.priceunicorn.com/digital-cameras	bsof7TODsg8Qm0Qbkxee763SkUXgs5rO	"[""eharmony.co.uk"",""eharmony.co.uk/dating-uk""]"	"[""eharmony.co.uk""]"	17	5	30
