site	country	trafficsource	refid	site	refflag	visits	visits	year	month
godaddy.com*	999	3	9004	SecureServer Mail	0	44074.00619	7764385.68	17	5
godaddy.com*	999	3	1400		0	4426.222698	691209.894	17	5
godaddy.com*	999	3	9028		0	1217.742914	200417.6486	17	5
godaddy.com*	999	3	9003		0	1309.403896	198574.3382	17	5
godaddy.com*	999	3	1600		0	687.8583072	108015.2689	17	5
godaddy.com*	999	3	9061		0	117	16381.39447	17	5
godaddy.com*	999	3	9100		0	197.2	13589.00477	17	5
godaddy.com*	999	3	2060		0	73.01818182	12515.542	17	5
godaddy.com*	999	3	9012		0	19.8	2909.122908	17	5
godaddy.com*	999	3	9010		0	29	2336.728546	17	5
godaddy.com*	999	3	29741		0	12	2101.132415	17	5
godaddy.com*	999	3	2660		0	71.4	1576.879886	17	5
godaddy.com*	999	3	9011		0	5	623.6567903	17	5
godaddy.com*	999	3	2711		0	4	600.3235473	17	5
godaddy.com*	999	3	9024		0	4	427.2957561	17	5
godaddy.com*	999	3	83		0	6	323.636482	17	5
godaddy.com*	999	3	3027890		0	3	255.8696251	17	5
godaddy.com*	999	3	3027926		0	1	37.5202217	17	5
godaddy.com*	999	3	9027		0	1	31.12558639	17	5
godaddy.com*	999	3	9019		0	1	29.07820491	17	5
godaddy.com*	999	3	3027889		0	1	14.56474604	17	5
