ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201612	aajtaklite.com	356	5656445.0	342068.0	1137864.0	66629.0	1599604.0	83102.0	16	12	2975.0	17713.40652413296	43167.38777497549
201606	abhibus.com	356	1614932.0	3370923.0	325369.0	562406.0	426642.0	782051.0	16	6	1396.0	332866.7099100077	928232.3568854355
201608	ace2three.com	356	5708846.0	1.4086301E7	2663250.0	4514347.0	3309744.0	5285248.0	16	8	17725.0	3262552.9643471916	4709807.330109905
201604	alternet.org	356	119869.0	53618.0	100602.0	43188.0	105012.0	46294.0	16	4	633.0	93415.17674690703	102535.24164431269
201601	andhrajyothy.com	356	0.0	0.0	2332161.0	1601930.0	3686106.0	2621452.0	16	1	7695.0	2413363.4114275416	5645619.546744349
201610	androidcentral.com	356	1933098.0	735522.0	1326978.0	502728.0	1451439.0	538875.0	16	10	622.0	117359.53241538936	129092.39675721107
201607	antarvasna.com	356	1.19052931E8	1.5808898E7	8844155.0	1257630.0	1.1755635E7	1568409.0	16	7	21924.0	2378297.3082267684	1.860065473998613E7
201609	antarvasnapornvideos.com	356	2744637.0	1207547.0	493330.0	220156.0	540682.0	237366.0	16	9	1504.0	246303.2716645832	804069.1729470443
201703	artofmanliness.com	356	204021.0	112056.0	102268.0	52952.0	111516.0	56045.0	17	3	372.0	56223.33093408466	73214.42781334212
201602	askmebazaar.com	356	0.0	0.0	7388587.0	8329112.0	9091278.0	1.0447054E7	16	2	44006.0	8109532.788609195	1.872154372806996E7
201604	babycenter.com	356	4311429.0	701207.0	1792601.0	336014.0	2057532.0	360615.0	16	4	6461.0	728383.419533823	1223760.5977754716
201701	bankexamstoday.com	356	1350146.0	1024592.0	487137.0	323663.0	657557.0	411983.0	17	1	1774.0	252910.7740275222	471534.18986281176
201605	bankexamstoday.com	356	1196910.0	1533552.0	305799.0	365766.0	438703.0	485109.0	16	5	2165.0	316998.2486782681	711197.5328247298
201602	bharatdarshan.co.nz	356	0.0	0.0	122713.0	104704.0	136819.0	119573.0	16	2	1120.0	165597.86440141688	266274.6705004033
201608	bluestone.com	356	1406496.0	877766.0	402476.0	192654.0	495134.0	241170.0	16	8	1898.0	258392.29463889313	615213.0843515755
201605	bollymoviereviewz.com	356	1126752.0	790400.0	551291.0	372579.0	652512.0	442076.0	16	5	2729.0	385279.5924652976	577162.8487480012
201609	bollywoodpapa.com	356	6274228.0	1355631.0	2047463.0	312303.0	2190508.0	346772.0	16	9	4113.0	539453.0253487568	1388719.2246062153
201703	businessdictionary.com	356	1883508.0	7561.0	1238443.0	2741.0	1356348.0	3696.0	17	3	6616.0	757445.1530001552	991261.5673516932
201607	businessdictionary.com	356	1057630.0	603033.0	696959.0	389269.0	760508.0	415543.0	16	7	5197.0	626903.51078971	822062.2950933637
201611	carblogindia.com	356	1042486.0	516213.0	597124.0	305478.0	663679.0	334781.0	16	11	1874.0	296849.1598128635	432473.48299827945
201611	chegg.com	356	2023966.0	7304607.0	150414.0	266297.0	253734.0	563231.0	16	11	1391.0	245785.4774465332	636524.4375698164
201606	cleartax.in	356	907046.0	7009819.0	215399.0	818232.0	251347.0	951470.0	16	6	821.0	248178.1493467809	681287.7847473307
201609	clickmaza.com	356	390496.0	284812.0	211958.0	153285.0	224867.0	171102.0	16	9	2080.0	225389.71671725262	297194.44462617044
201608	comicbook.com	356	513373.0	208230.0	256790.0	80570.0	302842.0	97895.0	16	8	852.0	258406.715131079	358824.9667751279
201612	coursehero.com	356	293756.0	1376367.0	146673.0	201492.0	161122.0	260913.0	16	12	1043.0	149304.1582909616	284207.36520780995
201608	dailyobjects.com	356	3039718.0	704473.0	454466.0	74305.0	505783.0	90239.0	16	8	1234.0	168902.54182009367	639717.5367403292
201701	digitalspy.com	356	287519.0	136261.0	227042.0	87358.0	232307.0	89056.0	17	1	1044.0	134711.4053346442	162923.27985165303
201603	domain.com.au	356	0.0	0.0	292800.0	54060.0	306638.0	61937.0	16	3	1081.0	85979.37150022938	96693.23068640375
201610	equitymaster.com	356	794141.0	3059857.0	391596.0	1406123.0	493579.0	1781267.0	16	10	271.0	106775.60564192173	384889.3372189743
201608	financialexpress.com	356	6829547.0	1.0126392E7	2463509.0	2844367.0	2699719.0	3287163.0	16	8	6497.0	1715282.934582634	3694323.3478645794
201611	foodpanda.in	356	3289428.0	6430434.0	886061.0	641924.0	1016539.0	956015.0	16	11	2176.0	610059.9365750831	2265391.2352419742
201601	freecharge.in	356	0.0	0.0	5153964.0	4070156.0	6377638.0	5515692.0	16	1	29003.0	6209079.548772397	2.9732830516953215E7
201701	gaonconnection.com	356	319371.0	67423.0	223811.0	17379.0	234811.0	21094.0	17	1	202.0	18273.7447109041	25762.482975809206
201604	gazabpost.com	356	0.0	0.0	2815853.0	599169.0	3376775.0	754071.0	16	4	16043.0	1664183.8577773906	2726226.6010872363
201610	gionee.co.in	356	1535734.0	1004685.0	897960.0	406557.0	986906.0	442536.0	16	10	2926.0	360831.8271991235	631738.0758480636
201612	goibibo.com	356	2.6468009E7	3.7331137E7	4480512.0	3753473.0	5278987.0	5034332.0	16	12	10624.0	2834762.9463831824	1.0050218761514334E7
201701	hi5.com	356	467166.0	2878480.0	103013.0	116834.0	178650.0	244559.0	17	1	98.0	23757.51854565576	35810.449213500106
201605	hi5.com	356	552052.0	2945212.0	116801.0	146946.0	192649.0	280042.0	16	5	181.0	60919.58789608306	123312.04288448139
201610	hindimind.in	356	275966.0	124370.0	121086.0	48240.0	132048.0	52617.0	16	10	540.0	70912.92442958934	123479.97219584591
201609	hindisoch.com	356	1486816.0	609310.0	541331.0	188441.0	606685.0	216315.0	16	9	1906.0	213295.95282997895	435874.54805152596
201608	hubii.com	356	375232.0	1170.0	256770.0	475.0	267709.0	519.0	16	8	148.0	17749.336079869394	24879.08423874902
201602	independent.co.uk	356	780243.0	619569.0	615860.0	399786.0	661459.0	428135.0	16	2	5392.0	982378.0358487868	1197845.0673374892
201606	indiabullshomeloans.com	356	340267.0	165768.0	133564.0	54387.0	162526.0	65484.0	16	6	687.0	77632.54200385962	103698.10838006808
201703	indiewire.com	356	292653.0	165404.0	134235.0	69576.0	144991.0	75163.0	17	3	177.0	68532.41412076054	102039.38916105684
201607	indiewire.com	356	306083.0	212298.0	177362.0	109117.0	189895.0	116691.0	16	7	657.0	212043.17596481208	321329.300944129
201608	inquisitr.com	356	589187.0	254626.0	404974.0	173071.0	435874.0	182594.0	16	8	1570.0	252347.43112800078	302408.77633523516
201612	inshorts.com	356	567456.0	361998.0	470397.0	135549.0	500354.0	214874.0	16	12	307.0	78986.79092175052	91741.83375911179
201603	justpicsplease.com	356	0.0	0.0	211817.0	104498.0	237516.0	117420.0	16	3	558.0	71519.91257053702	133019.84363877762
201703	kathiravan.com	356	138876.0	24813.0	124456.0	6576.0	125486.0	7435.0	17	3	18.0	4935.530707584311	7784.49935437696
201608	keralamatrimony.com	356	1683510.0	1.8872359E7	112665.0	680516.0	217485.0	1320184.0	16	8	649.0	97559.12670796723	118870.19148319948
201601	khurki.net	356	0.0	0.0	125392.0	24263.0	133177.0	25139.0	16	1	1167.0	122295.28038169723	775761.0715444487
201701	krishnaporn.com	356	7672163.0	289578.0	1820063.0	89129.0	2216396.0	104549.0	17	1	3973.0	420842.896775219	1742062.6166318906
201608	kuchrangpyarkeaisebhi.com	356	253725.0	177432.0	103829.0	73061.0	121867.0	81859.0	16	8	802.0	70543.19542300508	108257.26854941621
201610	libertyshoesonline.com	356	516029.0	184526.0	137108.0	40622.0	168443.0	51941.0	16	10	144.0	25114.556269820565	139830.75709893883
201603	lybrate.com	356	0.0	0.0	1411562.0	510576.0	1599295.0	611736.0	16	3	4376.0	777977.9761220928	1755395.6251066388
201602	medindia.net	356	2915651.0	1540360.0	1295194.0	616802.0	1408436.0	672609.0	16	2	7903.0	1124894.7212882307	1749117.2534174118
201703	momjunction.com	356	6116427.0	564713.0	3824511.0	335883.0	4805993.0	386787.0	17	3	4609.0	487937.9655628074	870548.37316125
201607	momjunction.com	356	2593895.0	381966.0	1635196.0	208315.0	1964444.0	233172.0	16	7	5497.0	628362.3294742294	876095.1543294715
201702	moneycontrol.com	356	1.505351E7	2.36158441E8	1905472.0	1.3483776E7	3159211.0	2.8126084E7	17	2	10006.0	3566825.8962650816	7171268.150350763
201606	moneycontrol.com	356	1.3666288E7	2.54308355E8	1543683.0	1.3593272E7	2837717.0	3.022436E7	16	6	7880.0	2419158.0668671876	5224325.734676524
201602	mycity4kids.com	356	0.0	0.0	784393.0	222022.0	909173.0	270728.0	16	2	2875.0	350297.71754077857	516153.8769194205
201609	mydala.com	356	155872.0	206788.0	113863.0	71027.0	114133.0	78092.0	16	9	2884.0	295127.05600376544	564755.354538356
201611	newsroompost.com	356	2196419.0	583204.0	1637013.0	299061.0	1709805.0	312672.0	16	11	658.0	151351.38010121157	179974.39856963183
201612	newstracklive.com	356	5355982.0	294588.0	2703592.0	84150.0	2998095.0	95438.0	16	12	624.0	72469.55487279012	137216.5407907757
201612	pagalguy.com	356	7706759.0	1.0021625E7	498237.0	452881.0	884699.0	725101.0	16	12	3282.0	559918.527917343	1300328.6607352206
201601	paisabazaar.com	356	0.0	0.0	162591.0	204503.0	181700.0	241010.0	16	1	1056.0	156898.7411598052	315054.50979597267
201612	palpalindia.com	356	422153.0	178239.0	231938.0	38288.0	251915.0	50056.0	16	12	255.0	34928.84201283708	45823.5367492882
201703	proptiger.com	356	658632.0	776161.0	370827.0	305776.0	409228.0	351015.0	17	3	706.0	142374.4700910546	270547.0143141225
