apps_usage_source.app	apps_usage_source.source	apps_usage_source.country	apps_usage_source.devices	apps_usage_source.users	apps_usage_source.dailyinstalls	apps_usage_source.dailyuninstalls	apps_usage_source.dailyupdates	apps_usage_source.sessions	apps_usage_source.usagetime	apps_usage_source.sessionsquared	apps_usage_source.realsessionsquared	apps_usage_source.usagesquared	apps_usage_source.isinstalled	apps_usage_source.isuninstalled	apps_usage_source.qualified_active_users	apps_usage_source.year	apps_usage_source.month	apps_usage_source.day
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.kannadamatrimony	981	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.marathimatrimony	886	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	20
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	20
com.kannadamatrimony	981	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.marathimatrimony	886	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.kannadamatrimony	5019	356	13.0	3.0	2.0	0.0	0.0	15.0	2402.3340000000003	90.0	117.0	2667799.410594	2.0	0.0	6.0	16	2	19
com.kannadamatrimony	5019	356	17.0	5.0	0.0	0.0	0.0	12.0	1253.114	21.0	40.0	350754.177826	0.0	0.0	9.0	16	2	20
com.kannadamatrimony	960	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.marathimatrimony	966	356	30.0	6.0	1.0	0.0	0.0	33.0	5819.643000000001	275.0	335.0	8838737.485399002	1.0	0.0	15.0	16	2	20
com.bengalimatrimony	5019	356	14.0	2.0	0.0	0.0	0.0	2.0	90.269	0.0	2.0	4527.642565	0.0	0.0	5.0	16	2	20
com.marathimatrimony	960	356	3.0	1.0	0.0	0.0	0.0	3.0	150.002	4.0	9.0	22500.600004000004	0.0	0.0	3.0	16	2	20
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.kannadamatrimony	981	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16	2	26
com.kannadamatrimony	961	356	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16	2	20
com.kannadamatrimony	5019	356	10.0	1.0	0.0	0.0	0.0	2.0	271.704	1.0	4.0	73823.063616	0.0	0.0	4.0	16	2	26
com.kannadamatrimony	960	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.marathimatrimony	966	356	31.0	5.0	1.0	1.0	0.0	13.0	3330.191	28.0	49.0	2695040.1725069997	1.0	1.0	17.0	16	2	19
com.kannadamatrimony	955	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.kannadamatrimony	961	356	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	16	2	19
com.marathimatrimony	5084	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.kannadamatrimony	955	356	3.0	1.0	1.0	0.0	0.0	2.0	624.068	1.0	4.0	389460.868624	1.0	0.0	2.0	16	2	19
com.bengalimatrimony	5019	356	13.0	1.0	1.0	0.0	0.0	3.0	220.70499999999998	4.0	9.0	48710.697024999994	1.0	0.0	6.0	16	2	19
com.marathimatrimony	960	356	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16	2	19
com.bengalimatrimony	961	356	10.0	7.0	1.0	0.0	0.0	44.0	12132.607000000002	709.0	790.0	7.041504693998303E7	1.0	0.0	8.0	16	2	26
com.marathimatrimony	955	356	6.0	2.0	0.0	0.0	0.0	4.0	480.733	4.0	10.0	160768.067125	0.0	0.0	3.0	16	2	26
com.kannadamatrimony	952	356	98.0	23.0	2.0	3.0	0.0	75.0	17453.534000000003	712.0	839.0	5.084156623393201E7	2.0	3.0	83.0	16	2	20
com.bengalimatrimony	966	356	19.0	4.0	0.0	0.0	0.0	8.0	2521.733	8.0	20.0	4960616.021985	0.0	0.0	8.0	16	2	20
com.bengalimatrimony	961	356	7.0	3.0	2.0	0.0	0.0	4.0	1280.058	1.0	6.0	866280.701882	2.0	0.0	5.0	16	2	20
com.marathimatrimony	955	356	3.0	3.0	2.0	0.0	0.0	13.0	2602.2299999999996	46.0	69.0	3182611.5412039994	2.0	0.0	3.0	16	2	20
com.kannadamatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.marathimatrimony	902	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16	2	26
com.bengalimatrimony	990	356	16.0	5.0	0.0	0.0	0.0	13.0	892.9179999999999	22.0	43.0	310462.78388600005	0.0	0.0	14.0	16	2	20
com.marathimatrimony	5019	356	38.0	5.0	2.0	1.0	0.0	13.0	4298.684	30.0	51.0	4186383.8035900006	2.0	1.0	25.0	16	2	20
com.kannadamatrimony	966	356	24.0	9.0	1.0	1.0	0.0	21.0	6275.383000000001	28.0	61.0	1.1936578206665002E7	1.0	1.0	16.0	16	2	20
com.bengalimatrimony	5067	356	2.0	1.0	0.0	0.0	0.0	5.0	226.053	16.0	25.0	51099.958808999996	0.0	0.0	1.0	16	2	19
com.bengalimatrimony	981	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.kannadamatrimony	891	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.kannadamatrimony	966	356	22.0	4.0	1.0	1.0	0.0	21.0	11350.77	139.0	177.0	1.0316555198830602E8	1.0	1.0	16.0	16	2	26
com.kannadamatrimony	955	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.bengalimatrimony	5019	356	14.0	2.0	0.0	0.0	0.0	10.0	3717.6929999999998	40.0	58.0	1.0442036843524998E7	0.0	0.0	5.0	16	2	26
com.marathimatrimony	960	356	3.0	1.0	0.0	0.0	0.0	1.0	60.001	0.0	1.0	3600.120001	0.0	0.0	3.0	16	2	26
com.kannadamatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.marathimatrimony	902	356	1.0	1.0	0.0	0.0	0.0	1.0	280.964	0.0	1.0	78940.769296	0.0	0.0	1.0	16	2	19
com.bengalimatrimony	5003	356	14.0	4.0	1.0	0.0	0.0	20.0	4079.752	110.0	146.0	6795232.601802	1.0	0.0	8.0	16	2	20
com.kannadamatrimony	5003	356	19.0	2.0	0.0	1.0	0.0	6.0	501.57	16.0	26.0	206413.858628	0.0	1.0	9.0	16	2	20
com.bengalimatrimony	902	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	20
com.bengalimatrimony	990	356	19.0	7.0	0.0	0.0	0.0	12.0	2476.9260000000004	9.0	26.0	1988991.5933140002	0.0	0.0	14.0	16	2	19
com.marathimatrimony	5019	356	39.0	4.0	1.0	0.0	0.0	6.0	1120.5359999999998	2.0	10.0	596721.5957259999	1.0	0.0	24.0	16	2	19
com.kannadamatrimony	952	356	100.0	21.0	2.0	3.0	1.0	69.0	11987.653	338.0	455.0	2.4304698886127E7	2.0	2.0	82.0	16	2	19
com.marathimatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.marathimatrimony	981	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.kannadamatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.marathimatrimony	902	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.bengalimatrimony	5019	356	14.0	3.0	0.0	0.0	0.0	6.0	2440.036	5.0	14.0	2751276.2405999997	0.0	0.0	7.0	16	2	27
com.marathimatrimony	960	356	3.0	1.0	0.0	0.0	0.0	9.0	1098.4270000000001	64.0	81.0	1206541.8743290002	0.0	0.0	2.0	16	2	27
com.bengalimatrimony	952	356	183.0	42.0	5.0	5.0	0.0	165.0	38619.675	1053.0	1341.0	1.1106318543544099E8	4.0	3.0	115.0	16	2	19
com.kannadamatrimony	960	356	3.0	1.0	0.0	0.0	0.0	12.0	2031.0829999999999	121.0	144.0	4125298.1528889993	0.0	0.0	3.0	16	2	26
com.marathimatrimony	966	356	36.0	7.0	0.0	0.0	0.0	16.0	2130.16	23.0	48.0	1271677.0756380002	0.0	0.0	19.0	16	2	26
com.bengalimatrimony	952	356	190.0	53.0	8.0	3.0	0.0	221.0	54915.994	2402.0	2791.0	1.8340024888007802E8	7.0	2.0	120.0	16	2	20
com.bengalimatrimony	5003	356	14.0	2.0	0.0	0.0	0.0	10.0	912.6669999999999	64.0	82.0	642712.9009569999	0.0	0.0	6.0	16	2	26
com.marathimatrimony	5048	356	1.0	1.0	0.0	0.0	0.0	2.0	580.047	1.0	4.0	336454.522209	0.0	0.0	1.0	16	2	26
com.marathimatrimony	990	356	17.0	4.0	0.0	0.0	0.0	20.0	3876.4539999999997	64.0	100.0	3776822.1281580003	0.0	0.0	12.0	16	2	19
com.marathimatrimony	5084	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.kannadamatrimony	981	356	2.0	1.0	0.0	0.0	0.0	1.0	20.0	0.0	1.0	400.0	0.0	0.0	1.0	16	2	27
com.kannadamatrimony	5003	356	19.0	6.0	0.0	0.0	0.0	16.0	3315.216	54.0	80.0	3735032.7383259996	0.0	0.0	10.0	16	2	19
com.marathimatrimony	5067	356	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.marathimatrimony	981	356	3.0	1.0	0.0	0.0	0.0	1.0	410.018	0.0	1.0	168114.76032399997	0.0	0.0	1.0	16	2	20
com.kannadamatrimony	952	356	106.0	22.0	5.0	5.0	0.0	107.0	22252.609999999997	1303.0	1495.0	8.338896574964403E7	5.0	4.0	82.0	16	2	26
com.bengalimatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.kannadamatrimony	891	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.bengalimatrimony	5003	356	12.0	2.0	0.0	0.0	0.0	10.0	948.0829999999999	50.0	68.0	736699.8015889998	0.0	0.0	8.0	16	2	19
com.marathimatrimony	951	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
com.bengalimatrimony	5067	356	3.0	2.0	0.0	0.0	0.0	15.0	7451.731	145.0	173.0	5.3813916666181006E7	0.0	0.0	2.0	16	2	26
com.bengalimatrimony	981	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.kannadamatrimony	891	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.kannadamatrimony	990	356	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	16	2	19
com.kannadamatrimony	966	356	19.0	7.0	0.0	0.0	1.0	20.0	7418.111	67.0	100.0	1.3225189503119E7	0.0	0.0	16.0	16	2	19
com.marathimatrimony	951	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	20
com.kannadamatrimony	961	356	4.0	1.0	0.0	0.0	0.0	2.0	80.0	1.0	4.0	6400.0	0.0	0.0	3.0	16	2	26
com.bengalimatrimony	5067	356	1.0	1.0	0.0	0.0	0.0	6.0	1330.3069999999998	25.0	36.0	1769716.7142489995	0.0	0.0	1.0	16	2	27
com.kannadamatrimony	891	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.bengalimatrimony	961	356	4.0	2.0	0.0	0.0	0.0	2.0	180.001	0.0	2.0	23400.060001	0.0	0.0	3.0	16	2	19
com.marathimatrimony	955	356	2.0	1.0	0.0	0.0	0.0	2.0	208.518	1.0	4.0	43479.756324	0.0	0.0	1.0	16	2	19
com.kannadamatrimony	5048	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	19
com.marathimatrimony	905	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	19
