site	country	dvisits	dusers	mvisits	musers	year	month
jobs.theguardian.com	124	5160.356121	5080.216282	6729.922291	710.3615971	16	10
jobs.theguardian.com	156	166.0242108	166.0242108	0	0	16	10
jobs.theguardian.com	188	246.5216927	246.5216927	0	0	16	10
jobs.theguardian.com	348	1197.775172	1122.217097	2027.542346	310.2936683	16	10
jobs.theguardian.com	380	5951.33343	5826.491957	1561.548213	149.934978	16	10
jobs.theguardian.com	764	2189.020734	2069.481227	0	0	16	10
jobs.theguardian.com	218	586.3421196	586.3421196	0	0	16	10
jobs.theguardian.com	250	9876.172769	8965.452358	6236.428705	784.4374287	16	10
jobs.theguardian.com	410	627.7008018	517.2618865	65.05385916	1.7908242	16	10
jobs.theguardian.com	634	1498.117696	1468.28701	0	0	16	10
jobs.theguardian.com	826	921128.4719	848945.3183	628512.7114	489456.3686	16	10
jobs.theguardian.com	858	281.4693765	281.4693765	0	0	16	10
jobs.theguardian.com	56	3572.437251	3246.796683	0	0	16	10
jobs.theguardian.com	120	230.5716403	230.5716403	0	0	16	10
jobs.theguardian.com	152	1427.195104	1318.09419	732.4167205	108.8941152	16	10
jobs.theguardian.com	184	358.592419	358.592419	0	0	16	10
jobs.theguardian.com	344	4018.676134	3665.359717	3091.672452	693.590938	16	10
jobs.theguardian.com	376	2450.175344	2144.147179	520.9226688	260.4613344	16	10
jobs.theguardian.com	440	628.9647793	628.9647793	0	0	16	10
jobs.theguardian.com	504	687.2643977	513.9891988	0	0	16	10
jobs.theguardian.com	600	107.4744654	107.4744654	0	0	16	10
jobs.theguardian.com	760	506.0862497	253.9317682	0	0	16	10
jobs.theguardian.com	792	9978.19311	9453.501659	7667.430951	1219.824015	16	10
jobs.theguardian.com	887	47.74041252	47.74041252	0	0	16	10
jobs.theguardian.com	214	213.9175418	213.9175418	0	0	16	10
jobs.theguardian.com	246	955.6394966	900.1050605	0	0	16	10
jobs.theguardian.com	470	1540.684428	1248.93799	0	0	16	10
jobs.theguardian.com	566	1813.404945	1700.582855	0	0	16	10
jobs.theguardian.com	854	167.305357	167.305357	0	0	16	10
jobs.theguardian.com	84	79.67487445	79.67487445	0	0	16	10
jobs.theguardian.com	116	117.1212729	117.1212729	0	0	16	10
jobs.theguardian.com	276	6565.551707	6023.400002	4076.269141	751.9601742	16	10
jobs.theguardian.com	372	17077.9817	12880.9638	0	0	16	10
jobs.theguardian.com	404	2652.141072	2560.713308	8609.33687	1168.404955	16	10
jobs.theguardian.com	724	10326.88516	10083.84315	3855.877337	243.7780825	16	10
jobs.theguardian.com	756	4778.367087	4309.547594	5275.563623	802.3835007	16	10
jobs.theguardian.com	788	2099.973762	1899.657116	0	0	16	10
