find_in_visits.site	find_in_visits.country	find_in_visits.source	find_in_visits.site2	find_in_visits.traffic_source	find_in_visits.landingpage	find_in_visits.sendingpage	find_in_visits.user	find_in_visits.pages	find_in_visits.timestamps	find_in_visits.year	find_in_visits.month	find_in_visits.day
shippingline.org	616	243	shipingline.org	5	shippingline.org	shipingline.org/freight/oocl/schedules	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["shippingline.org","shippingline.org/freight/OOCL","shippingline.org/track/?container=2585076440&line=oocl&type=bill"]	[1493049644000,1493049654000,1493049726000]	17	4	24
ipko.pl	616	243	kitco.com	5	ipko.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["ipko.pl","ipko.pl/index.html","ipko.pl/index.html#home","ipko.pl/index.html#transactions/beneficiaries","ipko.pl/index.html#home","ipko.pl/logout.html"]	[1493033664000,1493033713000,1493033715000,1493033730000,1493033898000,1493033903000]	17	4	24
finanse.mf.gov.pl	616	243	google.pl	1160	finanse.mf.gov.pl/pit/stawki-podatkowe	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["finanse.mf.gov.pl/pit/stawki-podatkowe"]	[1493032668000]	17	4	24
klasyfikacje.gofin.pl	616	243	google.pl	1160	klasyfikacje.gofin.pl/pkwiu/1,2,7369,uslugi-zwiazane-z-obsluga-rynku-nieruchomosci.html	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["klasyfikacje.gofin.pl/pkwiu/1,2,7369,uslugi-zwiazane-z-obsluga-rynku-nieruchomosci.html"]	[1493032597000]	17	4	24
e-podatnik.pl	616	243	google.pl	1160	e-podatnik.pl/artykul/doradca_podatnika/1254/Uslugi_rzeczoznawstwa_a_VAT.html	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["e-podatnik.pl/artykul/doradca_podatnika/1254/Uslugi_rzeczoznawstwa_a_VAT.html"]	[1493032490000]	17	4	24
interpretacja-podatkowa.pl	616	243	google.pl	1160	interpretacja-podatkowa.pl/interpretacja/pokaz/1-_podatek-od-towarow-i-uslug-oraz-podatek-akcyzowy_/2-podatek-od-towarow-i-uslug/12098-stawki-podatku-uslugi-wyceny-wycena-nieruchomosci.html	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["interpretacja-podatkowa.pl/interpretacja/pokaz/1-_podatek-od-towarow-i-uslug-oraz-podatek-akcyzowy_/2-podatek-od-towarow-i-uslug/12098-stawki-podatku-uslugi-wyceny-wycena-nieruchomosci.html"]	[1493032414000]	17	4	24
wskazniki.gofin.pl	616	243	google.pl	1160	wskazniki.gofin.pl/8,97,2,ryczalt-od-przychodow-ewidencjonowanych.html	google.pl/search?client=opera&q=stawki+podatku+dochodowego+przy+rycza%C5%82cie+od+przychod%C3%B3w+ewidencjonowanych+wynosz%C4%85&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wskazniki.gofin.pl/8,97,2,ryczalt-od-przychodow-ewidencjonowanych.html"]	[1493031395000]	17	4	24
ksiegowosc.infor.pl	616	243	google.pl	1160	ksiegowosc.infor.pl/podatki/ryczalt/karta-podatkowa/225529,Zakres-uslug-jubilerskich-i-grawerskich-opodatkowanych-karta-podatkowa.html	google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["ksiegowosc.infor.pl/podatki/ryczalt/karta-podatkowa/225529,Zakres-uslug-jubilerskich-i-grawerskich-opodatkowanych-karta-podatkowa.html"]	[1493031105000]	17	4	24
kozak-diamonds.pl	616	243	cinkciarz.pl	5	kozak-diamonds.pl	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kozak-diamonds.pl","kozak-diamonds.pl"]	[1493029494000,1493030564000]	17	4	24
film.wp.pl	616	243	wp.pl	6	film.wp.pl/anoreksja-depresja-i-choroba-alkoholowa-sandra-dee-za-slawe-zaplacila-bardzo-wysoka-cene-6114393445734529a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["film.wp.pl/anoreksja-depresja-i-choroba-alkoholowa-sandra-dee-za-slawe-zaplacila-bardzo-wysoka-cene-6114393445734529a"]	[1493028399000]	17	4	24
