site	country	source	site2	traffic_source	landingpage	sendingpage	user	pages	timestamps	refpath	year	month	day
lookfantastic.fr*	250	1240	google.fr	11171	lookfantastic.fr/l-oreal-professional-mythic-oil-colour-glow-oil-100ml/11164067.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjwzd3GBRDks7SYuNHi3JEBEiQAIm6EIwB2AtrubGskFmu5XJlkhYRCTJ8DS_p4GE6plkfxQzcaAk8f8P8HAQ&gclsrc=aw.ds&dclid=CNexya-S9dICFTMT0wodih4Mqw	google.fr/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=huile+mythic+oil&*	9a36cdf5997d59db7fb6e32505e5fab01cc8c6f3	"[""lookfantastic.fr/l-oreal-professional-mythic-oil-colour-glow-oil-100ml/11164067.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjwzd3GBRDks7SYuNHi3JEBEiQAIm6EIwB2AtrubGskFmu5XJlkhYRCTJ8DS_p4GE6plkfxQzcaAk8f8P8HAQ&gclsrc=aw.ds&dclid=CNexya-S9dICFTMT0wodih4Mqw"",""lookfantastic.fr/l-oreal-professional-mythic-oil-original-oil-100ml/11164053.html""]"	"[1490564755366,1490564766993]"	"[""lookfantastic.fr/l-oreal-professional-mythic-oil-colour-glow-oil-100ml/11164067.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjwzd3GBRDks7SYuNHi3JEBEiQAIm6EIwB2AtrubGskFmu5XJlkhYRCTJ8DS_p4GE6plkfxQzcaAk8f8P8HAQ&gclsrc=aw.ds&dclid=CNexya-S9dICFTMT0wodih4Mqw""]"	17	3	26
lookfantastic.fr*	250	576	NULL	6	lookfantastic.fr/eylure-pro-brow-dybrow-brown/11030641.html	NULL	gr1ij0056mrigqamhlg6r9gkajr	"[""lookfantastic.fr/eylure-pro-brow-dybrow-brown/11030641.html""]"	[1490627583000]	"[""lookfantastic.fr/eylure-pro-brow-dybrow-brown/11030641.html""]"	17	3	27
lookfantastic.fr*	250	576	google.fr	5	lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket	google.fr/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=dior+lip+glow+berry&*	0cp4pjanpkil9lacjf8c9c60bkc	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket"",""lookfantastic.fr/shiseido-veiled-rouge-lipstick-various-shades/11190515.html?variation=11190516""]"	"[1489333891000,1489334021000]"	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket""]"	17	3	12
lookfantastic.fr*	250	576	youtube.com	4900	lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket	youtube.com/user/ConnieTalbotOfficial/videos	0cp4pjanpkil9lacjf8c9c60bkc	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket""]"	[1489342083000]	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket""]"	17	3	12
lookfantastic.fr*	250	576	youtube.com	4900	lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket	youtube.com/watch?v=3LA8u5kxW3I	0cp4pjanpkil9lacjf8c9c60bkc	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket""]"	[1489346311000]	"[""lookfantastic.fr/my.basket?section=checkout&counter=4&page=basket""]"	17	3	12
lookfantastic.fr*	250	241	google.fr	1117	lookfantastic.fr/melvita-aloe-vera-soft-moisturising-balm-100ml/10567379.html	google.fr/#q=Aloe+vera+soft+Melvita+100+ml&start=20&*	QaraRqdonJIgDjeqbyAPDD3w4qBA6uN8	"[""lookfantastic.fr/melvita-aloe-vera-soft-moisturising-balm-100ml/10567379.html""]"	[1489315478000]	"[""lookfantastic.fr/melvita-aloe-vera-soft-moisturising-balm-100ml/10567379.html""]"	17	3	12
lookfantastic.fr*	504	586	philopress.net	3028024	lookfantastic.fr/paco-rabanne-invictus-for-him-eau-de-toilette-50ml/10952558.html?affil=thgppc&utm_source=criteo&utm_medium=cpc&utm_campaign=DynamicRemarketingCriteoFR&switchcurrency=EUR&shippingcountry=FR	philopress.net/2013/02/blog-post_22.html	UPk63hpzedKccXPh78EvaigH4Pj6OJ6f	"[""lookfantastic.fr/paco-rabanne-invictus-for-him-eau-de-toilette-50ml/10952558.html?affil=thgppc&utm_source=criteo&utm_medium=cpc&utm_campaign=DynamicRemarketingCriteoFR&switchcurrency=EUR&shippingcountry=FR"",""lookfantastic.fr/home.dept""]"	"[1488920370000,1488920375000]"	"[""lookfantastic.fr/paco-rabanne-invictus-for-him-eau-de-toilette-50ml/10952558.html?affil=thgppc&utm_source=criteo&utm_medium=cpc&utm_campaign=DynamicRemarketingCriteoFR&switchcurrency=EUR&shippingcountry=FR""]"	17	3	7
lookfantastic.fr*	250	1240	google.fr	11171	lookfantastic.fr/kerastase-resistance-therepiste-serum-30ml/11134708.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&gclid=Cj0KEQjw-73GBRCC7KODl9zToJMBEiQAj1JgfwkXBxHrkldWmwvY6YPs-psDakyC6oduNjBTcaOlRNwaAn0R8P8HAQ&gclsrc=aw.ds&dclid=CPHu94mB5tICFZNIGwodjfUGyw	google.fr/?gws_rd=ssl#q=apr%C3%A9s+shampoing+pour+cheveux+secs+%C3%A0+la+base+des+pointes&*	2c43dd0776b6907e81d0b350ed3f7a4a2f77a4de	"[""lookfantastic.fr/kerastase-resistance-therepiste-serum-30ml/11134708.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&gclid=Cj0KEQjw-73GBRCC7KODl9zToJMBEiQAj1JgfwkXBxHrkldWmwvY6YPs-psDakyC6oduNjBTcaOlRNwaAn0R8P8HAQ&gclsrc=aw.ds&dclid=CPHu94mB5tICFZNIGwodjfUGyw""]"	[1490044708676]	"[""lookfantastic.fr/kerastase-resistance-therepiste-serum-30ml/11134708.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&gclid=Cj0KEQjw-73GBRCC7KODl9zToJMBEiQAj1JgfwkXBxHrkldWmwvY6YPs-psDakyC6oduNjBTcaOlRNwaAn0R8P8HAQ&gclsrc=aw.ds&dclid=CPHu94mB5tICFZNIGwodjfUGyw""]"	17	3	20
lookfantastic.fr*	250	1240	google.fr	11171	lookfantastic.fr/davidoff-champion-eau-de-toilette/11210273.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjw2fLGBRDopP-vg7PLgvsBEiQAUOnIXHl-y_0dapJr6SFDlhBmSz0MB5GGuY97AsgVhbg1A7saAjTx8P8HAQ&gclsrc=aw.ds&dclid=CM7GzeX6_dICFTIj0wodgG0DpA&variation=11210274	google.fr/search?q=davidoff+champion+prix&oq=davidoff+champion+&aqs=chrome.2.69i57j0l5.9454j0j4&sourceid=chrome&ie=UTF-8	96888cd3061b3ef66b356a03456a935512f84488	"[""lookfantastic.fr/davidoff-champion-eau-de-toilette/11210273.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjw2fLGBRDopP-vg7PLgvsBEiQAUOnIXHl-y_0dapJr6SFDlhBmSz0MB5GGuY97AsgVhbg1A7saAjTx8P8HAQ&gclsrc=aw.ds&dclid=CM7GzeX6_dICFTIj0wodgG0DpA&variation=11210274""]"	[1490867653345]	"[""lookfantastic.fr/davidoff-champion-eau-de-toilette/11210273.html?affil=thggpsad&switchcurrency=EUR&shippingcountry=FR&thg_ppc_campaign=71700000008993422&gclid=Cj0KEQjw2fLGBRDopP-vg7PLgvsBEiQAUOnIXHl-y_0dapJr6SFDlhBmSz0MB5GGuY97AsgVhbg1A7saAjTx8P8HAQ&gclsrc=aw.ds&dclid=CM7GzeX6_dICFTIj0wodgG0DpA&variation=11210274""]"	17	3	30
lookfantastic.fr*	56	3017	rstyle.me	5	lookfantastic.fr/caudalie-beauty-elixir-100ml/10306472.html?affil=zanox&zanpid=2280801684957856768&utm_source=Zanox_1517766&utm_medium=affiliate&utm_campaign=Zanox	rstyle.me/n/ciq3prqase	2.26299E+13	"[""lookfantastic.fr/caudalie-beauty-elixir-100ml/10306472.html?affil=zanox&zanpid=2280801684957856768&utm_source=Zanox_1517766&utm_medium=affiliate&utm_campaign=Zanox""]"	[1490470297000]	"[""lookfantastic.fr/caudalie-beauty-elixir-100ml/10306472.html?affil=zanox&zanpid=2280801684957856768&utm_source=Zanox_1517766&utm_medium=affiliate&utm_campaign=Zanox""]"	17	3	25
lookfantastic.fr*	250	739	netflix.com	5	lookfantastic.fr/pixi-glow-tonic-250ml/11200055.html	netflix.com/watch/80161055?trackId=250017981&tctx=0%2C0%2C4b62c736-a1e9-4a0f-82e7-4b8e916f3f20-141378413	453fed1c-00d5-043b-26e0-243b88572a10	"[""lookfantastic.fr/pixi-glow-tonic-250ml/11200055.html""]"	[1490479482000]	"[""lookfantastic.fr/pixi-glow-tonic-250ml/11200055.html""]"	17	3	25
lookfantastic.fr*	360	587	feelingsurf.fr	5	lookfantastic.fr/referrals.list?applyCode=MARIE-R2EL&amp%3Bli=	feelingsurf.fr/visiter	KN9Fb3H4vM9isxDPsTPYzc7C4C6dhMMY	"[""lookfantastic.fr/referrals.list?applyCode=MARIE-R2EL&amp%3Bli=""]"	[1489438433000]	"[""lookfantastic.fr/referrals.list?applyCode=MARIE-R2EL&amp%3Bli=""]"	17	3	13
lookfantastic.fr*	826	739	facebook.com	5	lookfantastic.fr/home.dept	facebook.com	c298b831-5c53-b060-120e-f3cd28ba1f16	"[""lookfantastic.fr/home.dept"",""lookfantastic.fr/brands/this-works.list"",""lookfantastic.fr/brands/this-works/sleep.list?widget_id=413046"",""lookfantastic.fr/elysium.search?search=sisley"",""lookfantastic.fr/blog"",""lookfantastic.fr/blog/decouvrir/top-5-des-sejours-romantiques-en-europe"",""lookfantastic.fr/home.dept"",""lookfantastic.fr/elysium.search?search=eudoxia"",""lookfantastic.fr/brands/nous-ne-stockons-pas/peau.list"",""lookfantastic.fr/elysium.search?search=thickening+tonic"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux"",""lookfantastic.fr/aveda-purescription-volumising-tonic-100ml/10541400.html"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux&pageNumber=2"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux&pageNumber=3"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux&pageNumber=4"",""lookfantastic.fr/aveda-pure-abundance-volumising-trio-shampoo-conditioner-purescription-volumising-tonic/10657210.html"",""lookfantastic.fr/elysium.search?autocomplete=searchsuggestion&search=aveda&facetFilters=categoryLevel2:Cheveux&pageNumber=4"",""lookfantastic.fr/elysium.search?search=colourpop"",""lookfantastic.fr/elysium.search?search=starskin"",""lookfantastic.fr/starskin-dreamkiss-lip-mask-coconut-bio-cellulose-second-skin-lip-mask-2-masks/11306846.html"",""lookfantastic.fr/elysium.search?search=starskin"",""lookfantastic.fr/brands/obsessive-compulsive-cosmetics.list"",""lookfantastic.fr/brands/obsessive-compulsive-cosmetics/outils.list""]"	"[1488451975000,1488452304000,1488452309000,1488452339000,1488453595000,1488453598000,1488454019000,1488454024000,1488454076000,1488454975000,1488454988000,1488454990000,1488454997000,1488455008000,1488455024000,1488455036000,1488455046000,1488455049000,1488455052000,1488455236000,1488456290000,1488456297000,1488456302000,1488456398000,1488456402000]"	"[""lookfantastic.fr/home.dept""]"	17	3	2
