visits.site	visits.country	visits.source	visits.site2	visits.traffic_source	visits.landingpage	visits.sendingpage	visits.user	visits.pages	visits.refpath	visits.year	visits.month	visits.day
ynet.co.il	376	123017	mako.co.il	4	ynet.co.il/articles/0,7340,L-4938970,00.html	mako.co.il/news-world/international-q2_2017/article-c502d4bae170c51004.htm?partner=rss&utm_source=start&utm_medium=Content&utm_campaign=start_Content&Partner=start_Content	av6JhhW9PSd5ymb	["ynet.co.il/articles/0,7340,L-4938970,00.html"]	["paid.outbrain.com/network/redir?p=K7n7ErEnlze9wEv2nQN_1UKGP4Nfg52iRoVVybSUCftWEtdlHEeW-AEvG0elHUukH5Rl6alDbLpNcq_lcoJlC80aHvO_4QpFiyyRjykgFDQHgghZH0l-AVVvkl0QFyCdmknkNlkG4qXfTllwwIq-cioKpVQW8jXnIzXWAY290D7-S7GfJfzEc97T5mdLWqXsJDwJgFO_O7omTxveJ0tJGG4Wkr3-71yzqgnLnu9PbnqILUGXyhnLHvdfXF17fjhZQeAYTqjWZERfaahgq7QR3ia-16InsUSt955kaA26FuBmiuj6cjRw-gXCrIESaO9kjk2__8i0djeWEuX56_Zjs2hxWAVp2BFLRY-4fxh7vuA6scHRreLwSEvLyW5X-Zvgjf_B8vK6vxnbgV3ubxXhVnqQJyR0nyZ6No0AaRHaeebiXbVpXMyvbl0wMVJoOo8WlA8VHYpiV9QbPJ6y6D69SzpP_myZc-XiKdKH6r6QBDTNfOL_beR33zO0dVIyFS2-AI0Ka0VDSg0VMabYLfv-FkfiM2ozFCHfnPMSsWfIlO_uLO6Bv1TmsIpHrJ1nQcpQ9wryJSjbJijuAMKKIjsG_vR3nlddKJS7LOBQs4USYP1w0kt46y6gorRcdx-Oa8oKznkEXwRvl761sMmOc_KUKJblV45wpmvhKgoIzbMF7enrZjnK6PAOWFuO9X3h0m4KemIas2Kklr_iCz_7Rirp1H4bGExqTFWyYuTxvBayjpUs3vdqnzOS99SoUx_hFXmvBnh0pFJbeDJ07ud_QF5OjqEqiiunx5yM9HZKAzoWjF21Udug50HDBwRvadfD047Aq0AryF4hb4zfLFoj5wNye-3UvxdOKa1euyt8ZkjpebM&c=7bc528f&v=3","landing-page-media.co.il/redirectBase-Gedera.php?targeturl=http://www.ynet.co.il/articles/0,7340,L-4938970,00.html"]	17	5	14
ynet.co.il	376	1240	shironet.mako.co.il	4	ynet.co.il/articles/0,7340,L-4952928,00.html	shironet.mako.co.il/artist?type=chords&lang=1&prfid=333&wrkid=26133	abed602f0d9b24ffe72ef170d7467714cebc8727	["ynet.co.il/articles/0,7340,L-4952928,00.html"]	["ynet.co.il/articles/0,7340,L-4952928,00.html"]	17	5	19
ynet.co.il	376	1822	mako.co.il	4	ynet.co.il/articles/0,7340,L-4952928,00.html	mako.co.il/nexter-cellular/Article-d49e026549b1c51006.htm	OEtIJqSkJbH7VeX	["ynet.co.il/articles/0,7340,L-4952928,00.html","ynet.co.il/articles/0,7340,L-4964140,00.html"]	["paid.outbrain.com/network/redir?p=ADcg57jYn2mYTarbR47agmetriz4em6X7KKaXp1hJtOunNq0prOaYXQTduTXuXmlbi79pSF-UQJrP1XqhqHrvDSBgqgibudx5Z9SL6Stzl-hmlne3FgI3qESN_ykmmTEpdyL18bIyICJUMOXMidg-1F0TlhZvG7XJIxVEuU5DfUlDuLTQL5bXSEos3jJwx-kb7390LzjAXItHd1MtXHqruIDdeqA3buKSET0m9zLZGa8Gz6kttbaOoh1PiOsoUUnC2V24tTGfEpwuwtVeUSn9xqm9uT7iSYchiegw2RZyp75_i3cC1pCy4sA6EiTtis8IzQOhl7W_InfYkqNBrU4Pd13ZWe766kQVMitF4L2eFLt69QhVtQErQHo9rE3d-ZADjptRbYMkSvCJlwfSvDKIqZSXwVqYnBeXOZZ8w2yN2Fx-Sbld3HwP3b6uMO2CJNFqIlB2CEjhMvhxPc3AqkNwRloq4ZuQX7GED4G0GhWJ0-uc2g9qM-MQ9HYIZVokJJA8ffNSLlOL6u72DT_LxN6oxoJNyqcJm_wVCCPNAml_q3DVqU4HsI9XCJRFbI3VSU3lX077BxMGx8cb75iFPvc4n98U9V-r0JrwQKAldoQt3NzkGNMC7HG4c7rjN07B3zrWS2rl8gJzC7qc_4aOyoX6gQPJsg0wEuIiahdC7vz9xzznVWA_-v-oJFdoJ6mmrF8DtXypx4FQ5qy8BBg76MRMHfC4LlzhPZ4uwtERFZF9v6_CTVjMG1kvFapdOXhIXF-buSxbTHPy4HXISBw6Eyb5Yc3rspdw2WITvFjatVJIL-5DWGPOW4AscvbXay6B1AVK3XRrw7y6JGNBR9te-BFUA&c=6db79d10&v=3"]	17	5	19
ynet.co.il	376	586	mako.co.il	4	ynet.co.il/articles/0,7340,L-4953136,00.html	mako.co.il	HlvWjN1G68tgKBNqfpuZrdVsUBMubDjf	["ynet.co.il/articles/0,7340,L-4953136,00.html","ynet.co.il/articles/0,7340,L-4953136,00.html"]	["ynet.co.il/articles/0,7340,L-4953136,00.html"]	17	5	14
ynet.co.il	376	123017	mako.co.il	4	ynet.co.il/articles/0,7340,L-4804493,00.html	mako.co.il	ILOylKQS0mZsMIZ	["ynet.co.il/articles/0,7340,L-4804493,00.html","ynet.co.il/articles/0,7340,L-4802192,00.html"]	["paid.outbrain.com/network/redir?p=yb68oWZy4-m5ErJf6dr2XtYzsSTO_3uPChIodqhV1nXvFj94z86B8E5qpHP85Da1J5ubyHDUTbgXeEDX2YB1mOBWHfhwsKE7RmDESlNXnuvvuM8yh8J_mVSu8coHFFVkJYCuMRt9EKn0T9ED2tT5_vIi4EIisIkWyp1NjlgR514uoXi4a4L77CXeOuRRkNVTE6PDi3uR3zHwMLhJqyEqgYSbxOtIPjCW_DlJJunYqpL7XYTSYjBfumHvEAJtHK3iK8N9gbT-R2F5IQr7M2AGilpFMWC2GqC_gVfeX804DSt9YmaW7SXVUdme4JO_0Vh7J9zZ-FuQ2uW94MlIa-NohVbQfJb45bsY-YUqaDc5LLCPHsVBtNYZeeCPMjM3Ws5yTfxOv3Div_taD0oICWr3kFdO9nbjle38ZS6nxN3kyyGFCdY2Spofpv8ru08yOl8hdT_tP5-KFiuIFwulKImefOwbxdFqEeQz4CQlM5GCfN0VIxexi7cY8FDMOyf0Y3o0PgQx5w-6RH8VAYyLVugyC8WuDKtRndfF5CtxAUtuRWZ1iQcEtBOjOSmgpfytY4-3l8nP3VrnTzuqQUDDKtnoSLHCHV0TTBC0U8xUhWuzvQ9kVTVPLD1FyIQvhLM5XvDPsghuLqsTeKbjLySllt6M2sPcN8T4ZWrYQi_gSjmOigIerm3Fj6rmBBIIwDxjUldsnKRkzoMbpbG6Y4kSJ3HYrAF0oEbv1iKYmPPGKFehOCgQfz_9h8dLkAwCYAeGmm_HP5nTO-cZuVfJSdyetFoLvluwNftc-ku4sOw8FKoem8o_qH7efl-P1V179OySy7xFuUKsxNHfw8JUoxoYfNh97dCt0bs1ufHQZXXkMqxt4l5Fv4SjK3X5UKNCTVtKREW2syeh2OyE7EVdsidSXNm0K2EuMWsEyJ36LVSMd-mjCN4&c=9a9a554&v=3"]	17	5	4
ynet.co.il	376	1822	mako.co.il	4	ynet.co.il/articles/0,7340,L-4922507,00.html	mako.co.il	lzd1GcYobhhnig9	["ynet.co.il/articles/0,7340,L-4922507,00.html"]	["paid.outbrain.com/network/redir?p=M9dXxMZEc37vV1adrCtEkymqctQCQxsvoFOI6zXHxlMAsNq2g4PVP7-fU-Sh90hk2wuHlZfawNb3Jtz6GmsSruSnqwaWVHszudnPGZDKxDerjV6M7te49jLXo8X_3uWTjnJAIB9-auQY8_BA6WcKAFAxXvHLt61kHu9xiK_zOyGGPyXz3fsRfO8sZO4Vz7113Cvjpwt1QkKW31q8oD11S73XADEpIrhU4Ph_CjmbmuIMBKOzMyiyDS4oCroZGekdCzdJqVmkrtXi0u19rhXl5qoIGNnwg65i_o7A7a4KEnX2TxV0cRWCUpXDiHdgSZlp6WLsPzhbWjncMHinDyGAK0SjJ-wxbRh1-Uw27xIryLJZprChQdur68c0ZGe15MJ07BnvK07WlQj3eYuaEwcz3xPm9H8Tj-qGrN0spzvGSHXjuBFHOfyZD7NtpIZvb14AY-KMj5ow9UftjpythbZ506KDou_HYfAWd62LGBi3WEwoaJH5_W6Qra18rFWQUcQyDBSqPcVJ9zBGHQVBwEkIlWhG7LAoLzWJJ2rvptyV-v-wWHVOQ7YCavgF8aa5ERu2-HKr5h9MNqaD-L58bGpgK4P2C5bhxRBFTMNHjJnBHvlzzIdaPqnX2xLszvjaNkMJElg2OdJN0IghJtPLbFkPFxs1eGpKYB1-am2o55eFdTJTLdQgK5hbq3udyvSv3YjlWfK4sFomF3nH_CJ_ZfcSkoxrvacZGZxurJR45x_6QeB-RokCP2EDC6B5bX_2mVfN0zjAQV8HNKXkwouD1pu1maDEH2siEnHd-ra1vPhqGSunfL_7tVwotPAP0xgypn1jkal5uLAaBxybRzjjy-zdyA&c=511311e0&v=3","landing-page-media.co.il/redirectBaseV4-SHILA-MASHLIMA.php?targeturl=http://www.ynet.co.il/articles/0,7340,L-4922507,00.html"]	17	5	28
ynet.co.il	376	1240	mako.co.il	4	ynet.co.il/home/0,7340,L-8,00.html	mako.co.il	34854681e9df8c1d2c7e9a6565841c229cc1c707	["ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4961059,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4959554,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4961125,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/articles/0,7340,L-4957719,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html","ynet.co.il/home/0,7340,L-8,00.html"]	["ynet.co.il/home/0,7340,L-8,00.html"]	17	5	12
ynet.co.il	376	586	mako.co.il	4	ynet.co.il/articles/0,7340,L-4952928,00.html	mako.co.il/entertainment-celebs/local-2017/Article-892c3d951df2c51006.htm?partner=obfeed	sUgVkgaLX1Di2lFw6Vx8YN59o9Y4KN13	["ynet.co.il/articles/0,7340,L-4952928,00.html"]	["ynet.co.il/articles/0,7340,L-4952928,00.html"]	17	5	22
ynet.co.il	376	1577	mako.co.il	4	ynet.co.il/articles/0,7340,L-4935797,00.html	mako.co.il/entertainment-celebs/local-2017/Article-2073c27a3e25c51006.htm?sCh=46bbe76404864110&pId=1595820704	FN6pZskkpBMIShE	["ynet.co.il/articles/0,7340,L-4935797,00.html"]	["paid.outbrain.com/network/redir?p=rnwYHSE-4EI1TsQ-qtehWYq7Cy2j2yPmNOEtNr-SWNkrXpjmmYSwc-7SINM1WM_hF67ScqE-0MR37edaFcUvQP9nilegBRPEZRVXo4Olpt2na67KVTGyc6pVYnnPKu5KrWRQaY4R61-WCw-Emw-OLvIliev3UmBmVz1DQR8deVLCm08EDa8vvRxP2WaI-guGqOkujhJpaS-f7aztWFPZCq9qKzdbzihAuHzK8hKAAyyRJ9b_VsmBtY_2Iflg2wokj3YkSXY9kZBP2VCQ9JsEXccZVgG4-dPvzdB1xytOP3VWAm-xMsFFqOXX3j-jMgdlZ67g0Og6f9gz7XBBg8-YlHrgctcYxodW0lGEBgO5-ZY0iDmVIE7sZCiwZsERt2z9kJLvlaVgZTAZMUrwa4OCdVpPtABdH2HSUSxx46lwkNM1JavvL_97JUhDSg2jPzbXOWwPwrMt7CnZyE1jj9PNGw3joR_GNfLUBggHKqTOUR95epMBfjsB6RuP7MBSPTQI8p3YSNuSQ4kEQKc9G6D8a-85v3vodN2cPcxqBtzDf1hzpLgxD1e3V1ngUekXmouOs8TKS4Nm_GJlKEI7puG_mohwdS8XBMDS0EnMCwwpWMoGg3zQFeCNdmC-g-IbtJ6xb3_aFh3NhRIWPowsIPRcuh3jr_XHUoo0DXS27fgP3PyErF0ZhyqtWXXdpHYFyfVChopT2b6ZFmyr6Ju_dPJbGvcvXilBKvmUspks9G8KRj6w3BlVZ3BbwiupOaUAfnivSunEMQM0r7tidkvmOVpoDZBenHRSKjD0T3j7JLNfUHWgLfVZLYSg9SnLEIPD-ICf3HYjA58cr5LtkP8Af84kO2CC-lTGZF0hvWU1H_09Uto&c=435b6594&v=3","landing-page-media.co.il/redirectBaseV4-SHILA-ESTETICA.php?targeturl=http://www.ynet.co.il/articles/0,7340,L-4935797,00.html"]	17	5	29
ynet.co.il	376	123017	mako.co.il	4	ynet.co.il/articles/0,7340,L-4952472,00.html?utm_source=outbrain&utm_medium=referral	mako.co.il/study-career-career/articles/Article-ef5c6b9af22eb51006.htm?sCh=3d385dd2dd5d4110&pId=1898243326	ILOylKQS0mZsMIZ	["ynet.co.il/articles/0,7340,L-4952472,00.html?utm_source=outbrain&utm_medium=referral"]	["paid.outbrain.com/network/redir?p=IfRUTpbzIqAvS2ncDDDcKxl8AzAQe_C07FDzR_sCfSbwP20thQhmheOD9AyNB4mUCKearSxs6-cLBsy2vYzBJqVR6cpmwc47iDnkXW_qewteYNQTHXhJ9qO4EurV_OLQviqJ9yTWP12ewXBKYCCBIbAyPO__VTL8F21s3evVG1n3Ivb5us3Rb_wy5owFheL6mQga-SKMUeagU3FU3z2PXL46kX8B4ITsD5QaKqYIlZdGhH4uAAhepfVwt2nN27s7yP8BKB2flalPl7-QaIdl7YQ7MA0qj2yKbbG7fw2GDx5pBJh7uYgjnpBZvdKwo5L8rlW2_PVQNbi0nrCdZF9f8d3uCeaqZE6FbwBHi2NOGvwVA3nSl-rQowgm0AAHllEHwdrbDudqnAgSnyN3NWtUEka2xh9ILo7DxQEciArHjSALHjbub0lB28uZ3o1ghW-soSHcUEAe_KhLhrnfQiZt9uzwsTV0WZMGuSixv70Xk5HscX8rB1wl7tScpp_kZMd7_n8pbdKfwO4t4CHg7YXw2Fm_jH5Lz-mU2fEIRffDQUfA8mwGYZRujJR8lrb6M1P0Svi1XkdIUJC7wvsLKPWvXE5Wsjtpu35RKdjQcoUaZO6KgzF4zzN-MBoVFfTtj02YWPJJdKkikzebrZ-d1Kjc0qEKEBnGuGwNqX-6pcqL7NP16b4vqvaB6_Ru-j17sw3gJ6nnLlRS1SU_9cSNzF6j4WVb16cUq1PnxJAk7iK3o1vYuSkKinZDVQ1NbEMqllCQldfxDfrKbQcga8vQoysw72HHPhnl5vR59U0IkAmzfWqDLCPX4hX4heeR5-jOiYPr88gxWDJ-_ua6Kfgecfj6UL4IHJ5FbKtHX3Vd5c4y8R3fFMeecu7vZH0Cql4iMZC5WYzuOziCdCgUzMNYkig98g&c=8b99da3e&v=3"]	17	5	7
