ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
01.org	643	724	16806	326	4323	367	5988	12997.58015	14196.38527	4	17
015.by	643	4295	9178	1733	5555	1979	5908	2730.638782	6426.85811	4	17
015.by	643	4589	7986	1745	4099	1984	4520	2723.330541	22383.67164	5	17
015.by	643	2880	13923	1394	11027	1566	11214	2126.734567	2632.317468	6	17
023.by	643	107	442	61	223	67	230	433.6549004	2001.092966	5	17
023.by	643	104	334	60	188	60	194	131.7920918	2577.598127	6	17
0312.ua	643	709	1116	497	772	611	851	631.2580702	3540.113075	4	17
032.ua	643	3223	97723	2048	70007	2116	70652	2824.189841	6369.890999	6	17
0332.ua	643	333	1110	254	920	265	929	605.312565	150.2214395	4	17
0332.ua	643	387	1854	265	1447	277	1664	337.6248446	0	6	17
0342.ua	643	1011	2113	702	1600	769	1697	1989.488388	2130.414863	4	17
0342.ua	643	886	1794	602	1251	660	1337	1241.22526	7671.952298	5	17
0342.ua	643	940	1609	595	819	633	889	1129.701963	181.8174588	6	17
0352.ua	643	4406	13028	1174	11348	1568	11597	2309.201584	12655.68648	4	17
0352.ua	643	6897	19285	1779	15483	2279	15775	3004.544087	27043.93712	5	17
0352.ua	643	5152	15420	1957	13598	2374	13848	1836.894439	191.2355766	6	17
0382.ua	643	664	1173	377	732	428	771	347.1009624	0	5	17
04141.com.ua	643	719	863	272	443	322	529	832.253464	0	5	17
0432.ua	643	1262	9386	368	2627	400	2847	1987.248377	3510.78624	4	17
0462.ua	643	3592	19350	808	4209	1024	4968	2584.13958	4277.005052	4	17
0462.ua	643	1968	9541	727	2805	784	3457	988.7664431	10459.99753	6	17
048.ua	643	21327	305069	8183	167426	8669	168677	18438.20954	19104.523	4	17
048.ua	643	28158	344247	9660	194852	10376	197816	24123.24119	12585.97035	5	17
048.ua	643	19432	306221	7722	178511	8242	180438	17455.75019	14798.72223	6	17
04868.com.ua	643	1089	1753	426	1051	501	1100	1625.198395	2936.521317	4	17
04868.com.ua	643	982	1805	378	885	442	959	1294.793493	793.8057332	5	17
0512.com.ua	643	4895	70769	2502	60400	2837	61067	6599.106853	3257.676984	4	17
0512.com.ua	643	5127	74760	2643	63084	2843	64440	6116.460356	15724.29331	5	17
0522.ua	643	644	3915	375	1872	403	1966	743.4282087	3757.202519	4	17
0522.ua	643	812	4655	402	1973	436	2272	466.2176527	160.1624172	5	17
0532.ua	643	1609	10532	729	3835	808	4087	2532.625955	4060.508181	4	17
0532.ua	643	2124	8801	831	3323	933	3541	2975.894538	1454.787401	5	17
0532.ua	643	2949	6225	605	2389	770	2653	1176.353079	2924.193832	6	17
05366.com.ua	643	1628	9471	734	4398	790	4619	3365.009043	2691.798404	4	17
05366.com.ua	643	2838	8737	1082	4157	1205	4380	2379.968658	8804.443585	5	17
05366.com.ua	643	1544	6568	907	3092	959	3406	2114.581847	9765.558557	6	17
0542.ua	643	11761	22768	3410	10893	4041	11957	4247.621995	7975.579331	4	17
0542.ua	643	13137	22400	3372	11589	4211	12564	5762.341301	4614.638627	5	17
0542.ua	643	11909	46351	3652	32114	4373	33665	4184.227375	5428.862792	6	17
0552.ua	643	3530	11010	1368	3918	1573	4168	4223.0299	20136.48606	4	17
0552.ua	643	3424	8738	1193	3643	1385	3899	3232.317433	22318.92997	5	17
056.ua	643	18979	154726	8231	96835	9302	100608	16099.84583	18087.86807	4	17
056.ua	643	17816	153054	6820	94515	7943	98474	17539.36679	8620.708205	5	17
056.ua	643	12177	107135	6059	71449	6624	75439	10872.09348	2402.385747	6	17
0564.ua	643	13756	172927	6415	142721	7130	144740	11105.09359	10226.69931	4	17
0564.ua	643	15508	167955	6526	140549	7593	143464	10596.09649	11573.0291	5	17
0564.ua	643	12324	139843	5250	114231	6044	116470	7755.936239	3745.002722	6	17
0566.com.ua	643	912	1138	324	588	376	609	499.2323788	2621.053844	4	17
0566.com.ua	643	1294	1574	428	622	472	655	371.3692942	1225.645795	5	17
0569.com.ua	643	893	947	603	584	640	598	877.8218028	2231.156369	4	17
0569.com.ua	643	641	894	426	537	449	582	815.7356107	0	6	17
057.ua	643	23649	444408	8904	123658	9368	124742	13967.80836	38557.86347	4	17
057.ua	643	24525	497939	9037	140470	9478	141713	16270.87963	22778.97424	5	17
057.ua	643	20277	461230	8043	126272	8403	127331	12580.77374	20007.94303	6	17
061.ua	643	16710	106034	7127	80239	8105	82563	10494.34695	17363.57021	4	17
061.ua	643	15660	101006	7500	78703	8149	81385	22291.16683	16973.12275	5	17
061.ua	643	11568	74813	4858	58836	5466	60674	8891.34736	21350.28784	6	17
06153.com.ua	643	3469	5778	675	2051	853	2208	1457.385337	1359.049675	5	17
0619.com.ua	643	1079	1519	478	958	508	987	792.8688763	6293.235141	4	17
0619.com.ua	643	2493	6497	919	2251	1011	2514	3054.226557	885.7012697	5	17
0619.com.ua	643	1058	1093	471	640	538	665	627.532374	0	6	17
06239.com.ua	643	6951	11300	1853	4086	2534	4539	3417.317837	7627.1191	4	17
06239.com.ua	643	9640	11610	2482	4380	3466	5081	4045.900987	13167.94366	5	17
06239.com.ua	643	9141	11138	2529	3769	3513	4598	3297.376254	692.7445313	6	17
06274.com.ua	643	9293	18150	2403	6769	3163	7610	8182.479361	4419.602766	4	17
06274.com.ua	643	9120	14697	2221	5661	2870	6443	6411.279502	4247.973051	5	17
06277.com.ua	643	1167	2664	586	1693	648	1798	1039.954845	4938.061895	4	17
0629.com.ua	643	140548	183961	29057	69328	43687	90210	63211.4983	61189.29283	4	17
0629.com.ua	643	155300	202124	30051	78267	46075	107240	62653.33271	66132.2494	5	17
0629.com.ua	643	137526	160973	27612	61352	41918	76222	63260.37965	85832.28883	6	17
0642.ua	643	10222	23213	3528	8514	4837	10176	6766.764125	11726.27957	4	17
0642.ua	643	9730	20390	3276	7854	4564	9391	6678.369367	5951.418469	5	17
0642.ua	643	10899	18416	3773	6957	4903	8374	9141.351058	4850.07108	6	17
06452.com.ua	643	721	1755	245	788	271	842	635.4897141	365.1601056	4	17
06452.com.ua	643	833	1478	318	699	351	728	603.5424031	16741.78664	5	17
06452.com.ua	643	1019	1151	357	574	387	596	507.3651669	11018.54247	6	17
0800-horoscope.com	643	313	346	50	175	87	232	187.8659618	11247.40077	5	17
1-2-3.fr	643	1726	2046	276	308	319	339	207.6808971	3465.560136	4	17
1-handmade.ru	643	149292	301085	18155	32239	21355	38670	43768.13336	72373.26676	4	17
1-handmade.ru	643	158985	317582	19695	36355	23338	44085	43648.60411	68828.44785	5	17
1-handmade.ru	643	165408	348396	18887	34245	22667	42313	47365.98556	37104.20993	6	17
1-ofd.ru	643	79183	1405009	18902	88771	24567	145402	99176.44573	21493.95444	4	17
1-ofd.ru	643	77424	1558165	21457	100450	27536	164194	100164.447	82857.99768	5	17
1-ofd.ru	643	103455	2770202	26188	159541	33920	273883	171941.2008	54739.36823	6	17
1.kz	643	5666	134053	1566	19976	1770	31373	2870.033401	3586.882913	4	17
1.kz	643	5658	170098	1703	25316	1885	40907	3022.317829	0	5	17
1.kz	643	7385	105548	1839	18791	2056	27660	2858.798268	0	6	17
1.zt.ua	643	510	2453	351	2283	378	2294	323.5151728	9217.719843	6	17
1000ideas.ru	643	35286	55485	17731	23908	19218	26505	36596.43552	48175.24291	5	17
1000ideas.ru	643	29876	46485	15654	19885	16868	22110	31953.65732	28613.6007	6	17
1000imen.ru	643	33350	17272	22226	12189	23699	12642	12250.48216	98682.2812	4	17
1000imen.ru	643	34657	15658	23469	11050	25053	11453	9763.570623	72732.08044	5	17
1000imen.ru	643	31832	12176	21666	8549	23078	8824	8235.676448	58817.42373	6	17
1000km.by	643	449	1126	193	589	201	607	451.988046	7246.643615	4	17
1000km.by	643	532	1439	244	705	255	729	1066.128613	5081.053715	5	17
1000novostroek.ru	643	10126	25546	3027	5080	3254	5495	4138.423059	10350.77402	4	17
1000novostroek.ru	643	17162	32878	5253	6482	5577	7084	7087.089278	3834.702648	5	17
1000novostroek.ru	643	13223	27738	4151	6654	4494	7213	7016.382022	7144.494342	6	17
1000sovetov.ru	643	16907	32343	6548	6391	7011	7835	7826.25815	70910.39255	5	17
1000sovetov.ru	643	53993	92943	24771	41237	26353	44583	35688.83818	61282.25507	6	17
1000ukg.kz	643	6421	12027	1227	3087	1547	3842	5466.097868	7446.066681	4	17
1000ukg.kz	643	6632	11689	1172	2989	1452	3631	4220.532198	1840.346859	5	17
1001cupomdedescontos.com.br	643	48	1081	19	400	20	410	37.18385424	1377.247448	5	17
1001faktov.ru	643	69205	49724	17843	12423	21298	14801	13943.96975	10455.29411	4	17
1001faktov.ru	643	31277	25658	5515	3973	6525	4666	4919.048141	11739.54511	5	17
1001gardens.org	643	1884	1420	1335	677	1379	700	1166.246304	4317.825399	4	17
1001guru.ru	643	399	4587	216	2134	227	2325	9071.371454	0	5	17
1001guru.ru	643	3092	47125	1344	15424	1411	18120	15032.48849	0	6	17
1001shkaf.ru	643	10241	23222	3373	7052	3715	7939	6145.313134	7060.896838	5	17
1001shkaf.ru	643	10310	22168	3508	7120	3877	7908	6339.475763	32418.3993	6	17
1001tur.ru	643	1824335	2144214	449841	414228	590922	553370	450976.9379	510392.8519	4	17
1001tur.ru	643	2321965	2494012	538078	430350	713440	593048	444497.1636	593408.8847	5	17
1001tur.ru	643	3450928	3927112	796737	713733	1047181	961736	839228.8981	963269.9079	6	17
100500miles.ru	643	141441	75567	43321	22199	55818	29629	42266.16409	43352.2785	4	17
100500miles.ru	643	156434	94770	45071	24085	61103	32924	43507.18637	31277.40689	5	17
100500miles.ru	643	152029	113469	47588	29432	66034	39652	62827.80035	38108.42501	6	17
100chehlov.com.ua	643	156	93	101	57	109	60	216.401994	0	4	17
100diet.net	643	54465	23871	42666	15514	45377	16136	23720.84336	126317.7254	5	17
100diet.net	643	47861	19682	37687	12639	40085	13118	20405.96989	118413.2802	6	17
100druzey.net	643	3504	2933	3000	2353	3164	2542	2823.21058	14838.21787	4	17
100druzey.net	643	3945	3054	3345	2421	3547	2531	3032.288001	12775.21626	5	17
100druzey.net	643	4190	2827	3446	2179	3692	2278	3316.28575	14962.71252	6	17
100lustr.ru	643	11400	32586	2997	5175	3311	6058	4599.231898	18462.84759	4	17
100lustr.ru	643	10567	37499	2819	5162	3125	5970	5502.524554	2281.491023	5	17
100lustr.ru	643	10919	41648	3287	6357	3627	7147	6271.24764	5954.724964	6	17
100metrov.com.ua	643	424	468	139	239	143	267	339.0169419	0	5	17
100metrov.com.ua	643	580	489	125	225	128	230	278.0050649	0	6	17
100pdf.net	643	45331	249787	5798	31620	6665	36901	64378.34914	34663.71834	4	17
100pdf.net	643	43917	251319	5959	34216	6776	39184	67739.25618	35372.58378	5	17
100pdf.net	643	44628	227360	5329	29156	5994	33775	60319.30351	15665.29189	6	17
100vitaminov.ru	643	4528	3966	3788	2779	4006	2922	3992.359032	35718.00906	5	17
100vitaminov.ru	643	2482	1764	2102	1290	2194	1350	2264.852133	11890.8779	6	17
100zubov.ru	643	3157	5428	2584	3966	2701	4245	4650.945423	3869.176142	4	17
100zubov.ru	643	3057	5246	2541	3844	2648	4065	4297.983349	5271.387273	5	17
100zubov.ru	643	2867	4596	2385	3365	2473	3520	3945.571669	5803.535213	6	17
101.ru	643	1830441	6512304	897398	2401943	1085859	3303609	3659097.421	1465302.706	4	17
101.ru	643	1771618	5932918	800015	2142917	989712	2962801	3408623.823	1554631.77	5	17
101.ru	643	1683789	5294697	760342	1965544	947907	2700442	3158750.241	1439348.163	6	17
1011now.com	643	59	119	35	104	36	107	40.1345968	1129.717685	4	17
101dog.ru	643	134192	93119	25907	16329	30658	19505	13608.00723	79881.58323	5	17
101dog.ru	643	130829	97332	22812	20353	27315	23518	14894.55244	30786.47894	6	17
101internet.ru	643	109214	161696	43368	53476	47114	58641	88410.24249	64922.26111	4	17
101internet.ru	643	107624	167127	42505	53799	46411	58895	86501.58088	96173.11453	5	17
101internet.ru	643	114299	161706	44428	51084	48318	55607	95688.93949	114050.6415	6	17
