Date	Visits	tool	plat	month	year
42583	819461	ga	desktop	8	16
42614	869587	ga	desktop	9	16
42644	1026695	ga	desktop	10	16
42675	1363670	ga	desktop	11	16
42705	818421	ga	desktop	12	16
42736	891219	ga	desktop	1	17
42767	912130	ga	desktop	2	17
42795	922218	ga	desktop	3	17
42826	916468	ga	desktop	4	17
42856	1146790	ga	desktop	5	17
42887	1035191	ga	desktop	6	17
42917	1193748	ga	desktop	7	17
42583	485215.808	sw	desktop	8	16
42614	459872.4704	sw	desktop	9	16
42644	488605.2963	sw	desktop	10	16
42675	759068.6149	sw	desktop	11	16
42705	545802.1235	sw	desktop	12	16
42736	549739.2946	sw	desktop	1	17
42767	499831.6174	sw	desktop	2	17
42795	516293.7282	sw	desktop	3	17
42826	637593.8726	sw	desktop	4	17
42856	604657.8811	sw	desktop	5	17
42887	585114.4503	sw	desktop	6	17
42917	675518.3599	sw	desktop	7	17
42583	617565	ga	mobile	8	16
42614	665885	ga	mobile	9	16
42644	865651	ga	mobile	10	16
42675	1089802	ga	mobile	11	16
42705	709050	ga	mobile	12	16
42736	679267	ga	mobile	1	17
42767	683124	ga	mobile	2	17
42795	708303	ga	mobile	3	17
42826	842911	ga	mobile	4	17
42856	935644	ga	mobile	5	17
42887	1021799	ga	mobile	6	17
42917	1099542	ga	mobile	7	17
42583	853343.0548	sw	mobile	8	16
42614	1093068.279	sw	mobile	9	16
42644	1164207.982	sw	mobile	10	16
42675	1350044.157	sw	mobile	11	16
42705	862028.2548	sw	mobile	12	16
42736	884821.7706	sw	mobile	1	17
42767	778136.3822	sw	mobile	2	17
42795	856844.2442	sw	mobile	3	17
42826	1092317.768	sw	mobile	4	17
42856	1128384.985	sw	mobile	5	17
42887	802269.2619	sw	mobile	6	17
42917	1033637.117	sw	mobile	7	17
