monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
swissquote.com	682	1240	1	1	1	17	3
swissquote.com	356	1560	1	1	1	17	4
swissquote.com	756	1240	1	1	1	17	3
swissquote.com	756	1822	1	1	1	17	3
swissquote.com	643	1814	1	1	1	17	3
swissquote.com	643	1841	1	1	1	17	3
swissquote.com	250	1240	1	1	1	17	3
swissquote.com	398	1240	1	1	1	17	2
de.swissquote.com	826	1576	1	1	1	17	1
apply.swissquote.com	8406	1586	1	1	1	17	1
ar.swissquote.com	818	1240	2	1	2	17	2
fr.swissquote.com	756	1241	1	1	1	17	2
de.swissquote.com	756	1576	6	4	5	17	2
en.swissquote.com	792	1822	10	1	6	17	2
ar.swissquote.com	275	1240	1	1	1	17	2
en.swissquote.com	604	18900	1	1	1	17	2
files.swissquote.com	380	1940	4	1	4	17	2
ru.swissquote.com	348	1814	1	1	1	17	2
ar.swissquote.com	682	1586	3	2	2	17	3
en.swissquote.com	702	1560	1	1	1	17	3
fr.swissquote.com	756	1576	9	4	8	17	3
ru.swissquote.com	804	1814	2	2	2	17	3
en.swissquote.com	158	1586	1	1	1	17	3
en.swissquote.com	356	123017	1	1	1	17	3
en.swissquote.com	756	123017	5	1	4	17	3
de.swissquote.com	756	170	4	3	4	17	4
en.swissquote.com	398	1560	1	1	1	17	4
en.swissquote.com	756	13004	1	1	1	17	4
apply.swissquote.com	360	1587	1	1	1	17	4
en.swissquote.com	756	13022	1	1	1	17	4
es.swissquote.com	218	1576	1	1	1	17	4
fr.swissquote.com	380	1822	1	1	1	17	4
tw.swissquote.com	158	1739	1	1	1	17	4
en.swissquote.com	356	1586	3	1	3	17	4
en.swissquote.com	702	1586	1	1	1	17	4
ru.swissquote.com	804	1560	9	3	7	17	4
de.swissquote.com	756	1240	18	11	16	17	4
fr.swissquote.com	250	1586	1	1	1	17	4
mailing.swissquote.com	380	1240	1	1	1	17	4
ar.swissquote.com	512	1560	1	1	1	17	1
de.swissquote.com	756	13017	3	2	2	17	1
en.swissquote.com	804	1586	10	5	7	17	1
livechat2.swissquote.com	764	1240	1	1	1	17	1
tw.swissquote.com	158	1586	1	1	1	17	1
apply.swissquote.com	682	1240	1	1	1	17	1
de.swissquote.com	756	1243	1	1	1	17	1
en.swissquote.com	84033	1661	1	1	1	17	1
ru.swissquote.com	84023	1586	7	1	6	17	1
en.swissquote.com	788	1560	5	2	4	17	2
apply.swissquote.com	144	1587	1	1	1	17	2
fr.swissquote.com	756	1242	4	1	3	17	2
en.swissquote.com	50	1587	1	1	1	17	2
en.swissquote.com	380	1244	1	1	1	17	2
files.swissquote.com	643	1586	1	1	1	17	2
fr.swissquote.com	756	1940	5	1	5	17	2
it.swissquote.com	380	1587	2	2	2	17	2
apply.swissquote.com	682	1577	2	1	2	17	3
