app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	54	5197	2	2	849.21	25	17	3	20
com.venmo	559	5482	63	85	21529.236	371	17	3	20
com.venmo	3	5401	0	0	0	3	17	3	20
com.venmo	8	971	0	0	0	3	17	3	20
com.venmo	52	951	0	0	0	6	17	3	20
com.venmo	498	960	21	31	2872.42	330	17	3	20
com.venmo	6	5134	1	1	140.004	4	17	3	20
com.venmo	705	5087	25	36	2160.985	312	17	3	20
com.venmo	1577	5220	106	180	35720.617	731	17	3	20
com.venmo	15	5067	0	0	0	2	17	3	20
com.venmo	59	5003	0	0	0	18	17	3	20
com.venmo	3	654	0	0	0	0	17	3	20
com.venmo	120	957	9	12	1344.087	68	17	3	20
com.venmo	15	902	0	0	0	5	17	3	20
com.venmo	22	655	0	0	0	13	17	3	20
com.venmo	2	5121	0	0	0	2	17	3	20
com.venmo	1	5139	0	0	0	0	17	3	20
com.venmo	3	864	0	0	0	3	17	3	20
com.venmo	3	5179	0	0	0	0	17	3	20
com.venmo	22	5048	0	0	0	5	17	3	20
com.venmo	1	5126	0	0	0	1	17	3	20
com.venmo	3	5177	0	0	0	3	17	3	20
com.venmo	320	961	8	12	367.393	107	17	3	20
com.venmo	140	5424	1	2	91.396	16	17	3	20
com.venmo	84	981	6	9	1988.668	38	17	3	20
com.venmo	8	5415	0	0	0	3	17	3	20
com.venmo	20	5084	1	4	115.533	9	17	3	20
com.venmo	1	653	0	0	0	0	17	3	20
com.venmo	3	656	0	0	0	1	17	3	20
com.venmo	10128	5019	368	551	143666.248	2826	17	3	20
com.venmo	12123	5304	359	510	178935.101	3707	17	3	20
com.venmo	92	5497	7	8	518.506	42	17	3	20
com.venmo	10	878	0	0	0	8	17	3	20
com.venmo	27	5059	3	3	97.495	22	17	3	20
com.venmo	186	5149	11	17	1539.259	131	17	3	20
com.venmo	9	5129	0	0	0	7	17	3	20
com.venmo	55	5240	2	4	170.457	37	17	3	20
com.venmo	217	955	11	15	1391.802	104	17	3	20
com.venmo	20	5072	1	1	174.107	15	17	3	20
com.venmo	1	650	0	0	0	0	17	3	20
com.venmo	10	5125	3	3	100.005	10	17	3	20
com.venmo	8	883	0	0	0	7	17	3	20
com.venmo	5545	5119	76	111	7717.784	3169	17	3	20
com.venmo	1	652	0	0	0	0	17	3	20
com.venmo	77	877	1	1	20.001	55	17	3	20
com.venmo	2	904	0	0	0	2	17	3	20
com.venmo	42	5180	2	4	150.235	27	17	3	20
com.venmo	21	5120	1	1	20.897	10	17	3	20
com.venmo	3867	952	217	382	23608.958	2224	17	3	20
com.venmo	4	5130	1	3	223.39	1	17	3	20
com.venmo	1	8888	0	0	0	1	17	3	20
com.venmo	9	990	1	1	110.004	6	17	3	20
com.venmo	67	966	2	4	156.349	32	17	3	20
com.venmo	1	651	0	0	0	0	17	3	20
com.venmo	1	903	0	0	0	0	17	3	20
com.venmo	3	5160	0	0	0	2	17	3	20
com.venmo	2	5121	0	0	0	2	17	3	3
com.venmo	2	5139	0	0	0	1	17	3	3
com.venmo	143	5424	1	2	30.655	23	17	3	3
com.venmo	20	5067	0	0	0	2	17	3	3
com.venmo	96	981	3	3	741.287	46	17	3	3
com.venmo	10	5125	0	0	0	9	17	3	3
com.venmo	9	883	0	0	0	8	17	3	3
com.venmo	317	961	14	22	11484.609	110	17	3	3
com.venmo	48	951	0	0	0	5	17	3	3
com.venmo	730	5087	35	59	3482.079	333	17	3	3
com.venmo	20	655	3	4	648.96	10	17	3	3
com.venmo	51	5197	2	2	41.158	23	17	3	3
com.venmo	572	5482	75	133	26444.079	382	17	3	3
com.venmo	45	5180	3	10	546.611	31	17	3	3
com.venmo	195	5149	10	15	1238.952	139	17	3	3
com.venmo	176	5059	3	4	253.707	133	17	3	3
com.venmo	1	651	0	0	0	0	17	3	3
com.venmo	1	903	0	0	0	0	17	3	3
com.venmo	23	5120	0	0	0	13	17	3	3
com.venmo	20	5084	0	0	0	8	17	3	3
com.venmo	11	5129	1	1	70.002	10	17	3	3
com.venmo	58	5240	5	6	460.042	45	17	3	3
com.venmo	2	5179	0	0	0	0	17	3	3
com.venmo	1	886	0	0	0	1	17	3	3
com.venmo	40	5048	0	0	0	6	17	3	3
com.venmo	4	5126	0	0	0	4	17	3	3
com.venmo	3	5177	0	0	0	2	17	3	3
com.venmo	1	8888	0	0	0	1	17	3	3
com.venmo	6	5134	1	2	160.057	4	17	3	3
com.venmo	4	5401	0	0	0	1	17	3	3
com.venmo	4012	952	274	477	36730.948	2828	17	3	3
com.venmo	1636	5220	120	180	46643.137	753	17	3	3
com.venmo	502	960	21	36	2914.919	343	17	3	3
com.venmo	9	971	0	0	0	5	17	3	3
com.venmo	5486	5119	96	133	9980.698	3413	17	3	3
com.venmo	2	652	0	0	0	0	17	3	3
com.venmo	81	877	4	6	320.28	60	17	3	3
com.venmo	3	904	0	0	0	3	17	3	3
com.venmo	201	955	15	22	1458.68	88	17	3	3
com.venmo	91	5497	6	11	3209.469	40	17	3	3
com.venmo	4	864	0	0	0	3	17	3	3
com.venmo	1	653	0	0	0	0	17	3	3
com.venmo	8	878	1	1	70.173	7	17	3	3
com.venmo	10335	5019	379	521	174538.58	2928	17	3	3
com.venmo	4	5130	0	0	0	3	17	3	3
com.venmo	12115	5304	351	508	115199.845	3777	17	3	3
com.venmo	4	5415	0	0	0	1	17	3	3
com.venmo	1	870	0	0	0	1	17	3	3
com.venmo	65	966	5	7	316.234	36	17	3	3
com.venmo	6	654	0	0	0	3	17	3	3
com.venmo	122	957	4	5	1261.683	57	17	3	3
com.venmo	46	990	3	4	69.863	29	17	3	3
com.venmo	2	5121	1	3	68.046	2	17	3	1
com.venmo	2	5139	0	0	0	1	17	3	1
com.venmo	144	5424	2	2	80.154	20	17	3	1
com.venmo	22	5072	0	0	0	21	17	3	3
com.venmo	2	650	0	0	0	0	17	3	3
com.venmo	18	902	0	0	0	2	17	3	3
com.venmo	2	5160	0	0	0	1	17	3	3
com.venmo	4	656	0	0	0	1	17	3	3
com.venmo	67	5003	1	1	140.51	21	17	3	3
com.venmo	48	951	0	0	0	7	17	3	1
com.venmo	187	5149	16	22	2684.589	146	17	3	1
com.venmo	10	5125	2	2	140.005	10	17	3	1
com.venmo	8	883	0	0	0	8	17	3	1
com.venmo	321	961	7	11	1799.469	108	17	3	1
com.venmo	44	5180	1	6	264.402	31	17	3	1
com.venmo	59	5197	3	3	78.898	27	17	3	1
com.venmo	558	5482	58	83	7424.525	365	17	3	1
com.venmo	22	5067	0	0	0	1	17	3	1
com.venmo	96	981	3	4	816.594	48	17	3	1
com.venmo	1	653	0	0	0	0	17	3	1
com.venmo	9	878	1	1	20.04	7	17	3	1
com.venmo	1	905	1	2	121.196	1	17	3	1
com.venmo	725	5087	35	79	38072.832	317	17	3	1
com.venmo	3	5401	0	0	0	1	17	3	1
com.venmo	4022	952	253	481	39809.616	2844	17	3	1
com.venmo	6	5134	0	0	0	3	17	3	1
com.venmo	3	651	0	0	0	0	17	3	1
com.venmo	1	903	0	0	0	0	17	3	1
com.venmo	6	654	0	0	0	3	17	3	1
com.venmo	125	957	6	12	2472.236	67	17	3	1
com.venmo	46	990	5	6	404.22	25	17	3	1
com.venmo	25	5084	1	1	15.567	11	17	3	1
com.venmo	12	5129	0	0	0	8	17	3	1
com.venmo	60	5240	4	5	225.495	49	17	3	1
com.venmo	3	5179	0	0	0	0	17	3	1
com.venmo	1	886	0	0	0	1	17	3	1
com.venmo	10448	5019	319	444	129525.243	2921	17	3	1
com.venmo	4	5130	1	1	254.269	3	17	3	1
com.venmo	12226	5304	370	527	118555.194	3719	17	3	1
com.venmo	328	5059	23	40	5349.901	248	17	3	1
com.venmo	1678	5220	105	148	17386.735	748	17	3	1
com.venmo	23	5120	0	0	0	15	17	3	1
com.venmo	42	5048	0	0	0	6	17	3	1
com.venmo	4	5126	0	0	0	4	17	3	1
com.venmo	2	5177	0	0	0	2	17	3	1
com.venmo	2	5121	0	0	0	2	17	3	4
com.venmo	2	5139	0	0	0	1	17	3	4
com.venmo	149	5424	1	1	29.533	19	17	3	4
com.venmo	190	5149	12	15	1138.998	139	17	3	4
com.venmo	20	655	1	1	14.613	8	17	3	1
com.venmo	90	5497	5	9	1393.666	37	17	3	1
com.venmo	9	5125	0	0	0	9	17	3	4
com.venmo	8	883	1	1	115.007	8	17	3	4
com.venmo	294	961	7	7	393.869	122	17	3	4
com.venmo	5440	5119	99	134	10540.494	3458	17	3	1
com.venmo	2	652	0	0	0	0	17	3	1
com.venmo	88	877	8	15	697.35	64	17	3	1
com.venmo	4	904	1	2	100.261	3	17	3	1
com.venmo	204	955	13	17	377.603	99	17	3	1
com.venmo	1	8888	0	0	0	1	17	3	1
com.venmo	21	5067	0	0	0	1	17	3	4
com.venmo	87	981	4	5	113.456	37	17	3	4
com.venmo	65	5003	1	1	20	21	17	3	1
com.venmo	17	655	1	1	82.773	11	17	3	4
com.venmo	2	5121	0	0	0	2	17	3	2
com.venmo	2	5139	0	0	0	1	17	3	2
com.venmo	143	5424	0	0	0	25	17	3	2
com.venmo	508	960	30	36	1962.565	358	17	3	1
com.venmo	11	971	0	0	0	5	17	3	1
com.venmo	46	951	0	0	0	6	17	3	4
com.venmo	703	5087	51	79	9585.084	307	17	3	4
com.venmo	23	5120	0	0	0	14	17	3	4
com.venmo	18	5067	0	0	0	1	17	3	2
com.venmo	83	981	4	4	249.752	42	17	3	2
com.venmo	4	656	0	0	0	1	17	3	1
com.venmo	27	5072	1	8	1474.805	21	17	3	1
com.venmo	2	650	0	0	0	0	17	3	1
com.venmo	18	902	0	0	0	4	17	3	1
com.venmo	6	5415	1	1	5.1	3	17	3	1
com.venmo	1	870	0	0	0	1	17	3	1
com.venmo	63	966	4	5	213.272	37	17	3	1
com.venmo	3	5160	0	0	0	1	17	3	1
com.venmo	53	5197	1	1	313.519	24	17	3	4
com.venmo	566	5482	66	109	17837.937	372	17	3	4
com.venmo	51	951	0	0	0	7	17	3	2
com.venmo	6	5134	1	2	170.007	4	17	3	4
com.venmo	55	5197	4	5	320.32	24	17	3	2
com.venmo	571	5482	70	107	51978.393	377	17	3	2
com.venmo	9	5125	2	4	341.447	8	17	3	2
com.venmo	8	883	1	1	115.005	8	17	3	2
com.venmo	319	961	11	22	5927.521	109	17	3	2
com.venmo	5	5415	0	0	0	1	17	3	4
com.venmo	1	870	0	0	0	1	17	3	4
com.venmo	65	966	1	2	281.054	35	17	3	4
com.venmo	1613	5220	104	173	63857.657	751	17	3	4
com.venmo	4	864	0	0	0	3	17	3	4
com.venmo	5	864	0	0	0	4	17	3	1
com.venmo	23	655	1	1	15.661	13	17	3	2
com.venmo	10163	5019	360	545	239961.76	2856	17	3	4
com.venmo	4	5130	1	1	120.007	3	17	3	4
com.venmo	11963	5304	378	535	228272.947	3744	17	3	4
com.venmo	4	5401	0	0	0	1	17	3	4
com.venmo	3866	952	267	464	43406.977	2740	17	3	4
com.venmo	708	5087	35	52	3425.981	300	17	3	2
com.venmo	46	5180	4	8	623.133	33	17	3	4
com.venmo	187	5149	13	20	813.333	137	17	3	2
com.venmo	487	960	28	44	4481.551	331	17	3	4
com.venmo	7	654	0	0	0	4	17	3	4
com.venmo	126	957	6	12	2864.782	56	17	3	4
com.venmo	43	990	4	4	2701.55	23	17	3	4
com.venmo	4	5401	0	0	0	2	17	3	2
com.venmo	4000	952	252	422	27817.229	2793	17	3	2
com.venmo	92	5497	10	13	2804.144	43	17	3	4
com.venmo	22	5072	0	0	0	19	17	3	4
com.venmo	2	650	0	0	0	0	17	3	4
com.venmo	16	902	0	0	0	2	17	3	4
com.venmo	1	653	0	0	0	0	17	3	4
com.venmo	10	878	0	0	0	9	17	3	4
com.venmo	10	971	0	0	0	6	17	3	4
com.venmo	503	960	23	36	3297.438	352	17	3	2
com.venmo	6	5134	0	0	0	5	17	3	2
com.venmo	103	5059	8	17	1550.533	90	17	3	4
com.venmo	46	5180	4	5	121.769	32	17	3	2
com.venmo	5403	5119	88	118	6800.188	3277	17	3	4
com.venmo	2	652	0	0	0	0	17	3	4
com.venmo	81	877	6	7	365.709	56	17	3	4
com.venmo	3	904	0	0	0	3	17	3	4
com.venmo	187	955	13	20	6160.906	80	17	3	4
com.venmo	36	5048	0	0	0	5	17	3	4
com.venmo	4	5126	0	0	0	3	17	3	4
com.venmo	3	5177	0	0	0	2	17	3	4
com.venmo	2	5179	0	0	0	0	17	3	4
com.venmo	5463	5119	87	117	8965.597	3442	17	3	2
com.venmo	1	652	0	0	0	0	17	3	2
com.venmo	83	877	1	1	20	59	17	3	2
com.venmo	3	904	0	0	0	2	17	3	2
com.venmo	207	955	13	20	709.934	90	17	3	2
com.venmo	21	5084	0	0	0	8	17	3	2
com.venmo	11	5129	0	0	0	10	17	3	2
com.venmo	57	5240	4	6	251.198	45	17	3	2
com.venmo	2	651	0	0	0	0	17	3	2
com.venmo	1	903	0	0	0	0	17	3	2
com.venmo	26	5084	2	2	33.394	12	17	3	4
com.venmo	12	5129	0	0	0	9	17	3	4
com.venmo	53	5240	3	3	70.002	38	17	3	4
com.venmo	36	5048	0	0	0	6	17	3	2
com.venmo	3	5126	0	0	0	2	17	3	2
com.venmo	2	5177	0	0	0	2	17	3	2
com.venmo	3	5160	0	0	0	1	17	3	4
com.venmo	310	5059	9	32	3236.212	232	17	3	2
com.venmo	3	5179	0	0	0	0	17	3	2
com.venmo	2	886	0	0	0	2	17	3	2
com.venmo	8	654	0	0	0	4	17	3	2
com.venmo	120	957	9	12	629.036	62	17	3	2
com.venmo	41	990	2	3	1731.807	26	17	3	2
com.venmo	1	653	0	0	0	0	17	3	2
com.venmo	1	860	0	0	0	1	17	3	2
com.venmo	10	878	0	0	0	8	17	3	2
com.venmo	1	905	0	0	0	1	17	3	2
com.venmo	3	656	0	0	0	0	17	3	4
com.venmo	4	864	0	0	0	3	17	3	2
com.venmo	92	5497	8	18	2870.004	44	17	3	2
com.venmo	1650	5220	96	139	16736.581	753	17	3	2
