Site	Device	Year	Month	Omni value	SW value	sw-new
mtv.com	Desktop	2016	March	"6,749,168"	"7,330,296"	"7,330,296"
mtv.com	Desktop	2016	April	"6,883,884"	"7,350,047"	"7,350,047"
mtv.com	Desktop	2016	May	"6,793,004"	"7,644,455"	"7,644,455"
mtv.com	Desktop	2016	June	"5,926,734"	"7,191,182"	"7,191,182"
mtv.com	Desktop	2016	July	"5,366,379"	"6,817,020"	"6,817,020"
mtv.com	Desktop	2016	August	"7,566,442"	"8,780,984"	"8,780,984"
mtv.com	Desktop	2016	September	"5,998,116"	"6,593,156"	"6,593,156"
mtv.com	Desktop	2016	October	"4,665,081"	"5,230,625"	"5,230,625"
mtv.com	Desktop	2016	November	"4,400,223"	"4,772,842"	"4,772,842"
mtv.com	Desktop	2016	December	"4,010,770"	"4,327,828"	"4,327,828"
mtv.com	Desktop	2016	January	"4,769,352"	"4,743,980"	"4,743,980"
mtv.com	Desktop	2017	February 	"4,737,687"	"4,682,973"	"4,682,973"
mtv.com	Desktop	2017	March	"5,151,909"	"5,211,469"	"5,211,469"
mtv.com	Mobile	2016	March	"25,773,481"	"14,465,156"	1.97E+07
mtv.com	Mobile	2016	April	"22,381,645"	"12,896,538"	1.71E+07
mtv.com	Mobile	2016	May	"20,310,489"	"9,503,920"	1.34E+07
mtv.com	Mobile	2016	June	"17,033,804"	"9,083,651"	1.28E+07
mtv.com	Mobile	2016	July	"17,151,217"	"9,666,641"	1.20E+07
mtv.com	Mobile	2016	August	"26,533,311"	"13,884,637"	1.73E+07
mtv.com	Mobile	2016	September	"21,125,420"	"8,938,160"	1.09E+07
mtv.com	Mobile	2016	October	"19,479,525"	"7,054,805"	8317499.939
mtv.com	Mobile	2016	November	"15,850,751"	"6,398,051"	7757634.742
mtv.com	Mobile	2016	December	"15,231,495"	"5,729,833"	6747426.628
mtv.com	Mobile	2016	January	"20,598,539"	"5,815,782"	7765866.406
mtv.com	Mobile	2017	February 	"19,125,212"	"4,798,967"	7113741.194
mtv.com	Mobile	2017	March	"17,639,206"	"4,665,125"	6462758.831
cc.com	Desktop	2016	March	"5,900,870"	"9,490,280"	"9,490,280"
cc.com	Desktop	2016	April	"5,508,472"	"8,303,269"	"8,303,269"
cc.com	Desktop	2016	May	"5,866,062"	"8,107,147"	"8,107,147"
cc.com	Desktop	2016	June	"3,768,366"	"6,644,510"	"6,644,510"
cc.com	Desktop	2016	July	"4,124,727"	"8,066,598"	"8,066,598"
cc.com	Desktop	2016	August	"4,129,331"	"7,045,823"	"7,045,823"
cc.com	Desktop	2016	September	"6,561,009"	"10,189,792"	"10,189,792"
cc.com	Desktop	2016	October	"7,171,493"	"11,786,123"	"11,786,123"
cc.com	Desktop	2016	November	"6,133,995"	"10,101,347"	"10,101,347"
cc.com	Desktop	2016	December	"4,999,532"	"8,318,904"	"8,318,904"
cc.com	Desktop	2016	January	"4,118,945"	"7,118,368"	"7,118,368"
cc.com	Desktop	2017	February 	"4,098,993"	"7,003,069"	"7,003,069"
cc.com	Desktop	2017	March	"5,018,137"	"8,788,216"	"8,788,216"
cc.com	Mobile	2016	March	"6,283,611"	"6,322,288"	7252187.605
cc.com	Mobile	2016	April	"6,641,631"	"6,345,618"	7094034.166
cc.com	Mobile	2016	May	"8,564,958"	"4,949,527"	6115227.451
cc.com	Mobile	2016	June	"6,353,842"	"4,629,740"	5879982.926
cc.com	Mobile	2016	July	"6,289,967"	"4,650,356"	5272927.402
cc.com	Mobile	2016	August	"6,231,770"	"4,451,781"	5043684.345
cc.com	Mobile	2016	September	"8,903,474"	"7,371,543"	8158872.723
cc.com	Mobile	2016	October	"8,171,427"	"6,133,303"	6725294.027
cc.com	Mobile	2016	November	"5,917,171"	"6,036,019"	6755349.992
cc.com	Mobile	2016	December	"7,167,153"	"5,455,932"	6038047.958
cc.com	Mobile	2016	January	"5,400,152"	"3,844,731"	4865647.266
cc.com	Mobile	2017	February 	"5,223,689"	"3,978,777"	5251851.842
cc.com	Mobile	2017	March	"5,539,319"	"4,586,892"	5906505.26
tvland.com	Desktop	2016	March	"320,663"	"287,905"	"287,905"
tvland.com	Desktop	2016	April	"201,083"	"165,368"	"165,368"
tvland.com	Desktop	2016	May	"173,612"	"149,370"	"149,370"
tvland.com	Desktop	2016	June	"207,719"	"191,539"	"191,539"
tvland.com	Desktop	2016	July	"182,729"	"201,602"	"201,602"
tvland.com	Desktop	2016	August	"190,337"	"156,342"	"156,342"
tvland.com	Desktop	2016	September	"314,330"	"258,044"	"258,044"
tvland.com	Desktop	2017	October	"636,975"	"278,272"	"278,272"
tvland.com	Desktop	2017	November	"489,288"	"253,142"	"253,142"
tvland.com	Desktop	2017	December	"427,651"	"222,779"	"222,779"
tvland.com	Desktop	2017	January	"336,740"	"186,435"	"186,435"
tvland.com	Desktop	2017	February 	"170,499"	"135,736"	"135,736"
tvland.com	Desktop	2017	March	"201,465"	"160,486"	"160,486"
tvland.com	Mobile	2016	March	"48,664"	"316,128"	465340.6279
tvland.com	Mobile	2016	April	"55,190"	"191,295"	286388.4471
tvland.com	Mobile	2016	May	"18,683"	"105,261"	176345.8489
tvland.com	Mobile	2016	June	"92,308"	"306,405"	520403.174
tvland.com	Mobile	2016	July	"47,737"	"118,537"	181004.2121
tvland.com	Mobile	2016	August	"35,050"	"150,401"	213623.4078
tvland.com	Mobile	2016	September	"309,093"	"307,327"	420155.1558
tvland.com	Mobile	2017	October	"402,931"	"283,756"	378745.9889
tvland.com	Mobile	2017	November	"185,584"	"187,485"	256058.1203
tvland.com	Mobile	2017	December	"157,596"	"134,785"	179503.7955
tvland.com	Mobile	2017	January	"254,428"	"250,896"	384504.7163
tvland.com	Mobile	2017	February 	"118,810"	"131,361"	225588.4405
tvland.com	Mobile	2017	March	"274,655"	"180,175"	328552.0992
