laredoute_outgoing_clickstream.ts	laredoute_outgoing_clickstream.user_id	laredoute_outgoing_clickstream.country_id	laredoute_outgoing_clickstream.http_referer	laredoute_outgoing_clickstream.previous_site	laredoute_outgoing_clickstream.requested_site	laredoute_outgoing_clickstream.client_redirect	laredoute_outgoing_clickstream.server_redirect
1487503079.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/	http://www.ikea.com/fr/fr/catalog/products/00162634/		
1487503111.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	http://www.ikea.com/fr/fr/catalog/products/00162634/	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/		
1487503142.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/	http://www.ikea.com/fr/fr/catalog/products/40162646/		
1487503162.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	http://www.ikea.com/fr/fr/catalog/products/40162646/	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/		
1487503169.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250		http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/20527/	https://www.google.fr/#q=couvre+lit		
1487503182.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	https://www.google.fr/#q=couvre+lit	http://rdc.apicit.net/j/1/0/http://action.metaffiliation.com/trk.php?mclic=P497474A8CD1D1&argsite=B6e883dc5&redir=http://www.linvosges.com/fr/la-chambre/sur-le-lit/		
1487503189.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	http://rdc.apicit.net/j/1/0/http://action.metaffiliation.com/trk.php?mclic=P497474A8CD1D1&argsite=B6e883dc5&redir=http://www.linvosges.com/fr/la-chambre/sur-le-lit/	http://rdc.apicit.net/j/1/0/http://action.metaffiliation.com/trk.php?mclic=P497474A8CD1D1&argsite=B6e883dc5&redir=http://www.linvosges.com/fr/la-chambre/sur-le-lit/	http://www.linvosges.com/fr/la-chambre/sur-le-lit/?xtor=AL-522-[aff_pe15_deeplink]-20150720		
1487503201.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	http://www.linvosges.com/fr/la-chambre/sur-le-lit/?xtor=AL-522-[aff_pe15_deeplink]-20150720	http://www.linvosges.com/fr/la-chambre/sur-le-lit/?xtor=AL-522-[aff_pe15_deeplink]-20150720	http://www.linvosges.com/fr/la-chambre/sur-le-lit/boutis/villa-toscane/		
1487538909.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250		http://www.ubaldi.com/retourCICok_75baab0204_WEB70219B482	http://wwwi.orange.fr/portail		
1487538913.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	http://wwwi.orange.fr/portail	http://wwwi.orange.fr/portail	https://id.orange.fr/auth_user/bin/auth_user.cgi?return_url=https://id.orange.fr/auth_user/bin/auth_user.cgi?service=communiquer&return_url=https://webmail1g.orange.fr/webmail/fr_FR/inbox.html		
1487538917.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	https://id.orange.fr/auth_user/bin/auth_user.cgi?return_url=https://id.orange.fr/auth_user/bin/auth_user.cgi?service=communiquer&return_url=https://webmail1g.orange.fr/webmail/fr_FR/inbox.html	https://id.orange.fr/auth_user/bin/auth_user.cgi?return_url=https://id.orange.fr/auth_user/bin/auth_user.cgi?service=communiquer&return_url=https://webmail1g.orange.fr/webmail/fr_FR/inbox.html	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html		
1487538919.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FromSubmit=true&dub=1		
1487538926.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FromSubmit=true&dub=1	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FromSubmit=true&dub=1	https://webmail1g.orange.fr/webmail/fr_FR/read.html?FOLDER=SF_INBOX&IDMSG=23864&check=&SORTBY=1		
1487538973.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	https://webmail1g.orange.fr/webmail/fr_FR/read.html?FOLDER=SF_INBOX&IDMSG=23864&check=&SORTBY=1	https://webmail1g.orange.fr/webmail/fr_FR/read.html?FOLDER=SF_INBOX&IDMSG=23864&check=&SORTBY=1	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FOLDER=SF_INBOX		
1487538983.000	IzumqJwfGT9nx31gy7XGQWC6fbZ2GNz7	250	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FOLDER=SF_INBOX	https://webmail1g.orange.fr/webmail/fr_FR/inbox.html?FOLDER=SF_INBOX	https://webmail1g.orange.fr/webmail/fr_FR/read.html?FOLDER=SF_INBOX&IDMSG=23863&check=&SORTBY=1		
1487511005.000	4773ee046ce78c7d2caa241a681bffb4a7c874c9	250		https://carriere.ooreka.fr/comprendre/carriere-medicale	https://www.google.fr/?gfe_rd=cr&ei=TZ2pWNvdG67_8Af82acY#q=m%C3%A9tier+m%C3%A9dical+d%C3%A9vouement		
1487511024.000	4773ee046ce78c7d2caa241a681bffb4a7c874c9	250		https://www.google.fr/?gfe_rd=cr&ei=TZ2pWNvdG67_8Af82acY#q=m%C3%A9tier+m%C3%A9dical+d%C3%A9vouement	https://www.google.fr/?gfe_rd=cr&ei=TZ2pWNvdG67_8Af82acY#q=m%C3%A9tier+de+la+recherche++d%C3%A9vouement		
1487511045.000	e462bsbmdrc7rfbc77rtimp7jc4	250	http://www.laredoute.fr/ppdp/prod-500809212.aspx?docid=00000000000001	http://www.laredoute.fr/ppdp/prod-500809212.aspx?docid=00000000000001	http://r.twenga.fr/g1.php?cpz=PVHLbtswEPwVgWcl4Zuibqnjg9EWNWLHpwABRVK1YIlUJNpFUPTfu5TaADqsZnZ3Zpa_0c6hWmhNlSCy4porpbDWpETHj9GjGh1RiQ5d8rmPSSVEBdzWjhbV-J5CfYp7k87QSZgQXL8-UKmwUq8PP5YPxh_HEWjTtl3oknGA7Kf4czJD3gkbNjGkydi0SDCqZIm--g8YEYxw4xolrNYWxr6PLnXQhGTe8a9mqsq_m7MJwfcAON-aa5-y72uztKRBWIdJC9BL6BfNpywmqcRSKgmSWiqmmebAuEzhXBz8-1Id4nWyywU4pyX6cu16d5xhMcVE3WF6R1RBcU15zXG2YpYo6z0-nWUIkYpkX_bTbBqDGbvz-z0jRC05Ymgva3rpK8FaTioqG2B289HPaWP6PJd1dskPqzUA5thPKOcKt3jx6-OxEl1-AfetS4WNbTv5wty8LeY4DJ2fisn3_maa3hd7E-w5ov9RN3EYY_AhwfDj02H7fNo-v50o8M1kgnvLV12f-c9f		
1487511084.000	e462bsbmdrc7rfbc77rtimp7jc4	250	http://www.ikea.com/fr/fr/	http://www.laredoute.fr/ppdp/prod-500809212.aspx?docid=00000000000001	http://www.ikea.com/ms/fr_FR/produits.html		
1487511094.000	e462bsbmdrc7rfbc77rtimp7jc4	250	http://www.ikea.com/ms/fr_FR/produits.html	http://www.ikea.com/ms/fr_FR/produits.html	http://www.ikea.com/fr/fr/catalog/categories/departments/bedroom/16284/		
1487503221.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	http://rdc.apicit.net/j/1/0/http://action.metaffiliation.com/trk.php?mclic=P497474A8CD1D1&argsite=B6e883dc5&redir=http://www.linvosges.com/fr/la-chambre/sur-le-lit/	http://www.linvosges.com/fr/la-chambre/sur-le-lit/boutis/villa-toscane/	http://www.linvosges.com/fr/la-chambre/sur-le-lit/?xtor=AL-522-[aff_pe15_deeplink]-20150720		
1487503236.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250		http://www.linvosges.com/fr/la-chambre/sur-le-lit/?xtor=AL-522-[aff_pe15_deeplink]-20150720	https://www.google.fr/#q=couvre+lit		
1487503265.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	https://www.google.fr/#q=couvre+lit	https://www.amazon.fr/Dessus-de-lits-et-couvre-lits/b?ie=UTF8&node=3213196031		
1487503279.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.amazon.fr/Dessus-de-lits-et-couvre-lits/b?ie=UTF8&node=3213196031	https://www.amazon.fr/Dessus-de-lits-et-couvre-lits/b?ie=UTF8&node=3213196031	https://www.amazon.fr/Dessus-lit-240-Arabesque-taies/dp/B01AC2LH8Y/ref=lp_3213196031_1_2?s=kitchen&ie=UTF8&qid=1487503250&sr=1-2		
1487503301.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	https://www.amazon.fr/Dessus-lit-240-Arabesque-taies/dp/B01AC2LH8Y/ref=lp_3213196031_1_2?s=kitchen&ie=UTF8&qid=1487503250&sr=1-2	https://www.amazon.fr/Dessus-de-lits-et-couvre-lits/b?ie=UTF8&node=3213196031		
1487503323.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250		https://www.amazon.fr/Dessus-de-lits-et-couvre-lits/b?ie=UTF8&node=3213196031	https://www.google.fr/#q=couvre+lit		
1487503329.000	6f38ce82fe244008fbc93358ab4910438075fc8a	250	https://www.google.fr/	https://www.google.fr/#q=couvre+lit	https://www.zarahome.com/fr/literie/couvre-lits-c1020031198.html		
1487532391.000	FKZ68L3pUYj8UP2ZAqLZKoeL61fAMuoH	250	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE#facets=pgnt*4|	http://www.laredoute.fr/ppdp/prod-500807600.aspx?docid=00010000000001		
1487532422.000	FKZ68L3pUYj8UP2ZAqLZKoeL61fAMuoH	250	http://www.laredoute.fr/pplp/100/cat-157938.aspx	http://www.laredoute.fr/ppdp/prod-500807600.aspx?docid=00010000000001	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE#facets=pgnt*4|		
1487532456.000	FKZ68L3pUYj8UP2ZAqLZKoeL61fAMuoH	250	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE#facets=pgnt*4|	http://www.laredoute.fr/ppdp/prod-500669661.aspx?docid=00000000000001		
1487532484.000	FKZ68L3pUYj8UP2ZAqLZKoeL61fAMuoH	250	http://www.laredoute.fr/pplp/100/cat-157938.aspx	http://www.laredoute.fr/ppdp/prod-500669661.aspx?docid=00000000000001	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE#facets=pgnt*4|		
1487532504.000	FKZ68L3pUYj8UP2ZAqLZKoeL61fAMuoH	250	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE	http://www.laredoute.fr/pplp/100/157938/cat-244.aspx?nc=GAGNE#facets=pgnt*4|	http://www.laredoute.fr/ppdp/prod-501006148.aspx?docid=00000000000001		
