johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
figleaves.com*	WorldWide	08.13.2017	08.19.2017	0.32116554594940766	0.003202049311559398	0.04803073967339097	0.35350624399615743	0.12039705411463336	0.12167787383925711	0.032020493115593976	54870.94155513507
achica.com*	WorldWide	08.14.2016	08.20.2016	0.5816876122082585	0.0	0.17235188509874327	0.10412926391382406	0.012567324955116697	0.11669658886894076	0.012567324955116697	102457.35433885314
aeg.co.uk*	WorldWide	08.14.2016	08.20.2016	0.16911764705882354	0.0	0.0	0.3897058823529412	0.15441176470588236	0.2426470588235294	0.04411764705882353	22460.80257672453
aldoshoes.com*	WorldWide	08.14.2016	08.20.2016	0.2774363476733977	0.04741000877963126	0.03555750658472344	0.39376646180860403	0.09306409130816505	0.12598770851624233	0.026777875329236173	289709.3897799688
allbeauty.com*	WorldWide	08.14.2016	08.20.2016	0.32154882154882153	0.003367003367003367	0.0707070707070707	0.13973063973063973	0.23063973063973064	0.2222222222222222	0.011784511784511785	103543.3746199235
amazon.co.uk*	WorldWide	08.14.2016	08.20.2016	0.433051642560976	0.0037259853852594908	0.0401922178020049	0.2674840519082224	0.02590030635132545	0.20013047674453796	0.029515319247673782	4.767134824058747E7
ao.com*	WorldWide	08.14.2016	08.20.2016	0.3345238095238095	0.006547619047619048	0.055357142857142855	0.2523809523809524	0.17857142857142858	0.15892857142857142	0.01369047619047619	339734.61293449946
appliancesdirect.co.uk*	WorldWide	08.14.2016	08.20.2016	0.14148351648351648	0.05357142857142857	0.012362637362637362	0.49175824175824173	0.19917582417582416	0.09615384615384616	0.005494505494505495	158732.84288606825
argos.co.uk*	WorldWide	08.14.2016	08.20.2016	0.27844516066022074	0.025002441644691866	0.014356870788162907	0.4407168668815314	0.07359117101279422	0.15323762086141224	0.01464986815118664	4217570.4081103075
asos.com*	WorldWide	08.14.2016	08.20.2016	0.35367804560613864	0.018708820259754344	0.03457064613215477	0.1800791735582007	0.09122583444049781	0.2639841652883599	0.057753314714893846	7637019.91049347
