johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
figleaves.com*	WorldWide	08.06.2017	08.12.2017	0.2733976176971072	0.031196823596142936	0.03403289846851957	0.393079977311401	0.11230856494611458	0.14180374361883155	0.014180374361883153	61033.82242546228
achica.com*	WorldWide	08.07.2016	08.13.2016	0.5762081784386617	0.0	0.19516728624535315	0.11152416356877323	0.013011152416356878	0.08364312267657993	0.020446096654275093	96605.88722310445
aeg.co.uk*	WorldWide	08.07.2016	08.13.2016	0.136	0.008	0.0	0.496	0.144	0.208	0.008	22900.67670077562
aldoshoes.com*	WorldWide	08.07.2016	08.13.2016	0.254259501965924	0.031891655744866756	0.04325032765399738	0.41939711664482304	0.0926168632590651	0.1328090869375273	0.025775447793796417	293474.6134449473
allbeauty.com*	WorldWide	08.07.2016	08.13.2016	0.3581847649918963	0.004862236628849271	0.03889789303079417	0.10372771474878444	0.22690437601296595	0.24473257698541329	0.022690437601296597	96892.90613872127
amazon.co.uk*	WorldWide	08.07.2016	08.13.2016	0.4339607622016949	0.003698237118360172	0.04102555597936947	0.2634537886200434	0.02712814474535233	0.19934658949567985	0.03138692183949983	4.695964614522576E7
ao.com*	WorldWide	08.07.2016	08.13.2016	0.3238095238095238	0.004166666666666667	0.026785714285714284	0.23273809523809524	0.17857142857142858	0.22083333333333333	0.013095238095238096	316050.5920084614
appliancesdirect.co.uk*	WorldWide	08.07.2016	08.13.2016	0.20448179271708683	0.04481792717086835	0.0	0.4677871148459384	0.23529411764705882	0.046218487394957986	0.0014005602240896359	143947.26935846533
argos.co.uk*	WorldWide	08.07.2016	08.13.2016	0.2771215786727385	0.025520610976708887	0.018215454674825673	0.43792988947393385	0.07267207437977326	0.15445187609695935	0.014088515725060482	4333815.229521236
asos.com*	WorldWide	08.07.2016	08.13.2016	0.3565706291491243	0.01930868824981193	0.035159497947709485	0.17335585793662317	0.08272512505114228	0.28045770697778777	0.05242249468780108	7625680.468485083
barbour.com*	WorldWide	08.07.2016	08.13.2016	0.2997946611909651	0.006160164271047228	0.018480492813141684	0.43121149897330596	0.043121149897330596	0.1601642710472279	0.04106776180698152	53094.614702023755
bathstore.com*	WorldWide	08.07.2016	08.13.2016	0.1509433962264151	0.007547169811320755	0.0	0.7132075471698113	0.06792452830188679	0.04905660377358491	0.011320754716981131	56407.976171895454
bensonsforbeds.co.uk*	WorldWide	08.07.2016	08.13.2016	0.13215859030837004	0.00881057268722467	0.013215859030837005	0.44493392070484583	0.2422907488986784	0.14977973568281938	0.00881057268722467	45859.7577542235
bhs.co.uk*	WorldWide	08.07.2016	08.13.2016	0.2593856655290102	0.0	0.0	0.6450511945392492	0.0	0.09215017064846416	0.0034129692832764505	50458.006561829454
bhsdirect.co.uk*	WorldWide	08.07.2016	08.13.2016	0.2553191489361702	0.1702127659574468	0.0	0.2127659574468085	0.3191489361702128	0.0425531914893617	0.0	9107.133857147139
blinds-2go.co.uk*	WorldWide	08.07.2016	08.13.2016	0.23706896551724138	0.0	0.03879310344827586	0.1810344827586207	0.3922413793103448	0.13793103448275862	0.01293103448275862	44404.61673961539
boden.co.uk*	WorldWide	08.07.2016	08.13.2016	0.4154818325434439	0.00631911532385466	0.023696682464454975	0.24486571879936808	0.08056872037914692	0.1943127962085308	0.03475513428120063	108832.62915079256
