autoc_one.site	autoc_one.country	autoc_one.mobile_rawvisits	autoc_one.mobile_visits	autoc_one.desktop_rawvisits	autoc_one.desktop_visits	autoc_one.year	autoc_one.month
autoc-one.jp	999	2934	1472070.733	11157.44762	1260092.854	16	1
autoc-one.jp	999	3128	1505942.814	11707.06104	1490974.668	16	2
autoc-one.jp	999	3021	1562597.446	13791.88961	1702633.955	16	3
autoc-one.jp	999	2524	1405646.058	10854.01913	1412592.541	16	4
autoc-one.jp	999	2233	1434812.287	6613.071429	1404280.777	16	5
autoc-one.jp	999	1084	1291358.303	7393.80303	1501808.372	16	9
autoc-one.jp	999	795	1046015.154	7773.990476	1609731.994	16	10
autoc-one.jp	999	821	1246255.665	7476.022944	1575328.697	16	11
autoc-one.jp	999	815	1179942.944	6975.000733	1512254.277	16	12
car.watch.impress.co.jp	999	508	623997.7593	25859.33029	2241700.897	16	1
car.watch.impress.co.jp	999	406	538972.4886	23315.05371	2287725.766	16	2
car.watch.impress.co.jp	999	573	826125.8091	28031.01778	2821988.732	16	3
car.watch.impress.co.jp	999	455	712460.0669	24864.62125	2719836.4	16	4
car.watch.impress.co.jp	999	344	718236.8531	15376.22847	2998747.184	16	5
car.watch.impress.co.jp	999	418	2133919.707	14560.32584	2860101.738	16	9
car.watch.impress.co.jp	999	239	1346150.38	14485.12035	2968610.544	16	10
car.watch.impress.co.jp	999	307	1856630.334	13252.83939	2756310.404	16	11
car.watch.impress.co.jp	999	445	2332085.888	12761.47086	2757282.996	16	12
carsensor.net	999	16886	6604081.199	26093.87592	3332632.343	16	1
carsensor.net	999	15499	6029083.874	26227.495	3616434.069	16	2
carsensor.net	999	15245	6343805.815	28230.41489	3911751.051	16	3
carsensor.net	999	13772	6193682.302	25150.16405	3478076.554	16	4
carsensor.net	999	12157	6379289.19	17663.5821	3880615.753	16	5
carsensor.net	999	6378	5435946.792	18772.37306	3952355.81	16	9
carsensor.net	999	5215	4868095.155	18006.11618	3674078.712	16	10
carsensor.net	999	4538	4649748.851	17361.10047	3562383.327	16	11
carsensor.net	999	4470	4665258.924	15973.96467	3445208.686	16	12
carview.yahoo.co.jp	999	5247	3235479.661	22385.11575	2549611.346	16	1
carview.yahoo.co.jp	999	4834	3240539.269	21778.85455	2886799.723	16	2
carview.yahoo.co.jp	999	5511	3930070.771	24252.7334	3082283.691	16	3
carview.yahoo.co.jp	999	5088	3714436.171	20928.57779	2698940.036	16	4
carview.yahoo.co.jp	999	4072	3498368.284	13681.53463	3111362.14	16	5
carview.yahoo.co.jp	999	1941	3174538.645	13735.15777	2823367.67	16	9
carview.yahoo.co.jp	999	1526	2610565.644	13019.18948	2831394.692	16	10
carview.yahoo.co.jp	999	1564	2938515.254	13001.12294	2845772.403	16	11
carview.yahoo.co.jp	999	1991	3372749.737	12476.47606	2851390.041	16	12
driveplaza.com	999	2779	914123.6187	5745.061472	654856.0337	16	1
driveplaza.com	999	2460	795716.6238	5279.975325	649537.2211	16	2
driveplaza.com	999	3174	1069737.024	7025.433333	855420.565	16	3
driveplaza.com	999	2829	1061243.03	6553.328139	846461.1553	16	4
driveplaza.com	999	2601	1095473.542	4070.6329	865464.2899	16	5
